Name,Abbr Name,subcategory,Field,JIF5Years,Threshold
Biznes Informatika-Business Informatics,BIZN INFORM,BUSINESS,Mathematics,0.4,0.7
Brewing Science,BREW SCI,FOOD SCIENCE & TECHNOLOGY,Chemistry,0.8,1.5
CHEMISTRY AND TECHNOLOGY OF FUELS AND OILS,CHEM TECH FUELS OIL+,"ENGINEERING, PETROLEUM",Engineering,0.6,1.5
China Petroleum Processing & Petrochemical Technology,CHINA PET PROCESS PE,"ENGINEERING, PETROLEUM",Engineering,0.4,1.5
CRITIQUE,CRITIQUE,LITERARY REVIEWS,Environmental Science,0.4,0.5
DISSENT,DISSENT,SOCIAL ISSUES,Mathematics,0.9,0.7
FERROELECTRICS,FERROELECTRICS,"PHYSICS, CONDENSED MATTER",Physics,0.7,1.0
GLASS AND CERAMICS,GLASS CERAM+,"MATERIALS SCIENCE, CERAMICS",Materials Science,0.6,1.5
IEICE TRANSACTIONS ON ELECTRONICS,IEICE T ELECTRON,"ENGINEERING, ELECTRICAL & ELECTRONIC",Engineering,0.5,1.5
International Journal of Cognitive Informatics and Natural Intelligence,INT J COGN INFORM NA,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",Computer Science,0.5,0.8
International Journal of Digital Crime and Forensics,INT J DIGIT CRIME FO,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS",Computer Science,0.6,0.8
International Journal of Modelling Identification and Control,INT J MODEL IDENTIF,AUTOMATION & CONTROL SYSTEMS,Engineering,0.7,1.5
Journal of Endocrinology Metabolism and Diabetes of South Africa,JEMDSA,ENDOCRINOLOGY & METABOLISM,Medicine,0.6,1.0
JOURNAL OF ENVIRONMENTAL BIOLOGY,J ENVIRON BIOL,ENVIRONMENTAL SCIENCES,Environmental Science,0.7,0.5
JOURNAL OF IMAGING SCIENCE AND TECHNOLOGY,J IMAGING SCI TECHN,IMAGING SCIENCE & PHOTOGRAPHIC TECHNOLOGY,Engineering,0.8,1.5
LOW TEMPERATURE PHYSICS,LOW TEMP PHYS+,"PHYSICS, APPLIED",Physics,0.7,1.0
MATERIALE PLASTICE,MATER PLAST,"MATERIALS SCIENCE, MULTIDISCIPLINARY",Materials Science,0.6,1.5
Materiali in Tehnologije,MATER TEHNOL,METALLURGY & METALLURGICAL ENGINEERING,Materials Science,0.6,1.5
OBETS-Revista de Ciencias Sociales,OBETS-REV CIENC SOC,"SOCIAL SCIENCES, INTERDISCIPLINARY",Mathematics,0.5,0.7
SAE International Journal of Commercial Vehicles,SAE INT J COMMER VEH,TRANSPORTATION SCIENCE & TECHNOLOGY,Engineering,0.7,1.5
Slovak Journal of Civil Engineering,SLOVAK J CIV ENG,"ENGINEERING, CIVIL",Engineering,0.7,1.5
SOLVENT EXTRACTION RESEARCH AND DEVELOPMENT-JAPAN,SOLVENT EXTR RES DEV,"ENGINEERING, CHEMICAL",Engineering,0.8,1.5
Turkish Journal of Biochemistry-Turk Biyokimya Dergisi,TURK J BIOCHEM,BIOCHEMISTRY & MOLECULAR BIOLOGY,Biology,0.7,1.0
ANNALES DE CHIMIE-SCIENCE DES MATERIAUX,ANN CHIM-SCI MAT,"MATERIALS SCIENCE, MULTIDISCIPLINARY",Materials Science,0.7,1.5
PHILOSOPHICAL TRANSACTIONS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,PHILOS T R SOC B,BIOLOGY,Biology,6.3,1.0
Communications Physics,COMMUN PHYS-UK,"PHYSICS, MULTIDISCIPLINARY",Physics,5.7,1.0
GLIA,GLIA,NEUROSCIENCES,Biology,6.6,1.0
ACM TRANSACTIONS ON INFORMATION SYSTEMS,ACM T INFORM SYST,"COMPUTER SCIENCE, INFORMATION SYSTEMS",Computer Science,6.0,0.8
Propulsion and Power Research,PROPULS POWER RES,THERMODYNAMICS,Physics,5.1,1.0
Human Resource Management Journal,HUM RESOUR MANAG J,MANAGEMENT,Mathematics,6.6,0.7
npj Aging and Mechanisms of Disease,NPJ AGING MECH DIS,GERIATRICS & GERONTOLOGY,Medicine,4.9,1.0
Trauma Violence & Abuse,TRAUMA VIOLENCE ABUS,SOCIAL WORK,Medicine,7.0,1.0
ECOGRAPHY,ECOGRAPHY,ECOLOGY,Environmental Science,6.4,0.5
DIABETES OBESITY & METABOLISM,DIABETES OBES METAB,ENDOCRINOLOGY & METABOLISM,Medicine,5.5,1.0
ASTRONOMY & ASTROPHYSICS,ASTRON ASTROPHYS,ASTRONOMY & ASTROPHYSICS,Physics,5.5,1.0
Communications Medicine,COMMUN MED-LONDON,"MEDICINE, RESEARCH & EXPERIMENTAL",Medicine,5.4,1.0
npj Quantum Materials,NPJ QUANTUM MATER,QUANTUM SCIENCE & TECHNOLOGY,Physics,5.6,1.0
Strategic Entrepreneurship Journal,STRATEG ENTREP J,MANAGEMENT,Mathematics,11.0,0.7
HEADACHE,HEADACHE,CLINICAL NEUROLOGY,Medicine,5.2,1.0
JMIR mHealth and uHealth,JMIR MHEALTH UHEALTH,MEDICAL INFORMATICS,Computer Science,5.6,0.8
Stem Cells Translational Medicine,STEM CELL TRANSL MED,CELL & TISSUE ENGINEERING,Biology,6.1,1.0
Current Plant Biology,CURR PLANT BIOL,PLANT SCIENCES,Biology,4.7,1.0
GLOBAL BIOGEOCHEMICAL CYCLES,GLOBAL BIOGEOCHEM CY,METEOROLOGY & ATMOSPHERIC SCIENCES,Environmental Science,6.6,0.5
Sensing and Bio-Sensing Research,SENS BIO-SENS RES,"CHEMISTRY, ANALYTICAL",Chemistry,5.1,1.5
CONTROL ENGINEERING PRACTICE,CONTROL ENG PRACT,"ENGINEERING, ELECTRICAL & ELECTRONIC",Engineering,4.5,1.5
INFECTION,INFECTION,INFECTIOUS DISEASES,Medicine,4.6,1.0
COLLOIDS AND SURFACES B-BIOINTERFACES,COLLOID SURFACE B,"MATERIALS SCIENCE, BIOMATERIALS",Materials Science,5.1,1.5
BIODRUGS,BIODRUGS,PHARMACOLOGY & PHARMACY,Medicine,5.3,1.0
Resources Conservation & Recycling Advances,RESOUR CONS RECY ADV,ENVIRONMENTAL SCIENCES,Environmental Science,5.4,0.5
IEEE ROBOTICS & AUTOMATION MAGAZINE,IEEE ROBOT AUTOM MAG,ROBOTICS,Engineering,6.8,1.5
GIANT,GIANT-AMSTERDAM,POLYMER SCIENCE,Materials Science,5.5,1.5
ACS Applied Energy Materials,ACS APPL ENERG MATER,"MATERIALS SCIENCE, MULTIDISCIPLINARY",Materials Science,5.9,1.5
Environmental and Sustainability Indicators,ENVIRON SUSTAIN IND,ENVIRONMENTAL STUDIES,Environmental Science,5.3,0.5
ACS Biomaterials Science & Engineering,ACS BIOMATER SCI ENG,"MATERIALS SCIENCE, BIOMATERIALS",Materials Science,5.4,1.5
EXPERT OPINION ON THERAPEUTIC PATENTS,EXPERT OPIN THER PAT,PHARMACOLOGY & PHARMACY,Medicine,6.4,1.0
Smart Energy,SMART ENERGY-UK,ENERGY & FUELS,Engineering,5.4,1.5
NEUROPSYCHOLOGY REVIEW,NEUROPSYCHOL REV,"PSYCHOLOGY, CLINICAL",Medicine,7.2,1.0
Journal of Hazardous Materials Advances,J HAZARD MATER ADV,ENVIRONMENTAL SCIENCES,Environmental Science,5.4,0.5
Journal of Power Sources Advances,J POWER SOURCE ADV,"MATERIALS SCIENCE, MULTIDISCIPLINARY",Materials Science,5.0,1.5
APPLIED SPECTROSCOPY REVIEWS,APPL SPECTROSC REV,SPECTROSCOPY,Chemistry,6.0,1.5
CURRENT ALLERGY AND ASTHMA REPORTS,CURR ALLERGY ASTHM R,IMMUNOLOGY,Medicine,5.0,1.0
Wiley Interdisciplinary Reviews-Energy and Environment,WIRES ENERGY ENVIRON,ENERGY & FUELS,Engineering,5.1,1.5
Asian Economic Papers,ASIAN ECON PAP,ECONOMICS,Mathematics,2.7,0.7
IEEE Transactions on Cloud Computing,IEEE T CLOUD COMPUT,"COMPUTER SCIENCE, THEORY & METHODS",Computer Science,4.6,0.8
BRITISH JOURNAL OF GENERAL PRACTICE,BRIT J GEN PRACT,PRIMARY HEALTH CARE,Medicine,6.0,1.0
CHAOS SOLITONS & FRACTALS,CHAOS SOLITON FRACT,"PHYSICS, MULTIDISCIPLINARY",Physics,5.4,1.0
International Journal of Clinical and Health Psychology,INT J CLIN HLTH PSYC,"PSYCHOLOGY, CLINICAL",Medicine,4.8,1.0
JOURNAL OF HUMAN RESOURCES,J HUM RESOUR,INDUSTRIAL RELATIONS & LABOR,Mathematics,5.2,0.7
ACADEMIC MEDICINE,ACAD MED,HEALTH CARE SCIENCES & SERVICES,Medicine,6.7,1.0
Chinese Journal of Aeronautics,CHINESE J AERONAUT,"ENGINEERING, AEROSPACE",Engineering,4.6,1.5
CLIMATE POLICY,CLIM POLICY,PUBLIC ADMINISTRATION,Mathematics,6.5,0.7
European Heart Journal-Cardiovascular Pharmacotherapy,EUR HEART J-CARD PHA,PHARMACOLOGY & PHARMACY,Medicine,5.1,1.0
TRANSPLANTATION,TRANSPLANTATION,TRANSPLANTATION,Medicine,4.7,1.0
International Journal of Pharmaceutics,INT J PHARMACEUT,PHARMACOLOGY & PHARMACY,Medicine,5.6,1.0
JOURNAL OF SMALL BUSINESS MANAGEMENT,J SMALL BUS MANAGE,MANAGEMENT,Mathematics,5.8,0.7
Marine Pollution Bulletin,MAR POLLUT BULL,MARINE & FRESHWATER BIOLOGY,Biology,6.1,1.0
GeroScience,GEROSCIENCE,GERIATRICS & GERONTOLOGY,Medicine,6.2,1.0
IEEE Transactions on Green Communications and Networking,IEEE T GREEN COMMUN,TELECOMMUNICATIONS,Engineering,4.5,1.5
Journal of Cosmology and Astroparticle Physics,J COSMOL ASTROPART P,"PHYSICS, PARTICLES & FIELDS",Physics,5.5,1.0
SCHIZOPHRENIA BULLETIN,SCHIZOPHRENIA BULL,PSYCHIATRY,Medicine,6.7,1.0
International Journal of Advertising,INT J ADVERT,COMMUNICATION,Computer Science,6.2,0.8
PROGRESS IN NEURO-PSYCHOPHARMACOLOGY & BIOLOGICAL PSYCHIATRY,PROG NEURO-PSYCHOPH,PSYCHIATRY,Medicine,4.9,1.0
Autism Research,AUTISM RES,"PSYCHOLOGY, DEVELOPMENTAL",Medicine,5.5,1.0
BIOCHEMICAL PHARMACOLOGY,BIOCHEM PHARMACOL,PHARMACOLOGY & PHARMACY,Medicine,5.2,1.0
Journal of Hospitality and Tourism Technology,J HOSP TOUR TECHNOL,"HOSPITALITY, LEISURE, SPORT & TOURISM",Environmental Science,6.4,0.5
MULTIVARIATE BEHAVIORAL RESEARCH,MULTIVAR BEHAV RES,STATISTICS & PROBABILITY,Mathematics,5.3,0.7
INTERNATIONAL JOURNAL OF HUMAN-COMPUTER STUDIES,INT J HUM-COMPUT ST,"PSYCHOLOGY, MULTIDISCIPLINARY",Medicine,5.6,1.0
Earth Systems and Environment,EARTH SYST ENVIRON,METEOROLOGY & ATMOSPHERIC SCIENCES,Environmental Science,5.2,0.5
JOURNAL OF ECOLOGY,J ECOL,PLANT SCIENCES,Biology,6.1,1.0
SLEEP,SLEEP,NEUROSCIENCES,Biology,5.7,1.0
COMPUTERS AND GEOTECHNICS,COMPUT GEOTECH,"GEOSCIENCES, MULTIDISCIPLINARY",Geology,5.7,0.8
Chinese Medicine,CHIN MED-UK,PHARMACOLOGY & PHARMACY,Medicine,5.5,1.0
MICROCHIMICA ACTA,MICROCHIM ACTA,"CHEMISTRY, ANALYTICAL",Chemistry,5.0,1.5
EUROPEAN JOURNAL OF ENDOCRINOLOGY,EUR J ENDOCRINOL,ENDOCRINOLOGY & METABOLISM,Medicine,5.7,1.0
Molecular Therapy Oncolytics,MOL THER ONCOLYTICS,ONCOLOGY,Medicine,5.2,1.0
JOURNAL OF MANAGEMENT IN ENGINEERING,J MANAGE ENG,"ENGINEERING, INDUSTRIAL",Engineering,5.8,1.5
Business & Society,BUS SOC,BUSINESS,Mathematics,7.2,0.7
Emerging Contaminants,EMERG CONTAM,ENVIRONMENTAL SCIENCES,Environmental Science,,0.5
Food Engineering Reviews,FOOD ENG REV,FOOD SCIENCE & TECHNOLOGY,Chemistry,7.3,1.5
MOLECULAR CANCER THERAPEUTICS,MOL CANCER THER,ONCOLOGY,Medicine,5.4,1.0
ACTA PSYCHIATRICA SCANDINAVICA,ACTA PSYCHIAT SCAND,PSYCHIATRY,Medicine,6.6,1.0
Biocybernetics and Biomedical Engineering,BIOCYBERN BIOMED ENG,"ENGINEERING, BIOMEDICAL",Engineering,5.6,1.5
Environmental Health,ENVIRON HEALTH-GLOB,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",Medicine,6.7,1.0
JOURNAL OF MOLECULAR LIQUIDS,J MOL LIQ,"PHYSICS, ATOMIC, MOLECULAR & CHEMICAL",Physics,5.1,1.0
APPLIED CLAY SCIENCE,APPL CLAY SCI,MINERALOGY,Geology,5.2,0.8
International Journal of Hydromechatronics,INT J HYDROMECHATRON,"ENGINEERING, MECHANICAL",Engineering,2.9,1.5
General Psychiatry,GEN PSYCHIAT,PSYCHIATRY,Medicine,6.2,1.0
Food and Bioprocess Technology,FOOD BIOPROCESS TECH,FOOD SCIENCE & TECHNOLOGY,Chemistry,5.9,1.5
SURFACE & COATINGS TECHNOLOGY,SURF COAT TECH,"PHYSICS, APPLIED",Physics,4.9,1.0
CELL BIOLOGY AND TOXICOLOGY,CELL BIOL TOXICOL,TOXICOLOGY,Medicine,5.3,1.0
PLANT CELL REPORTS,PLANT CELL REP,PLANT SCIENCES,Biology,5.3,1.0
WEAR,WEAR,"MATERIALS SCIENCE, MULTIDISCIPLINARY",Materials Science,5.2,1.5
Cancer Cell International,CANCER CELL INT,ONCOLOGY,Medicine,5.0,1.0
IEEE Open Journal of Vehicular Technology,IEEE OPEN J VEH TECH,TRANSPORTATION SCIENCE & TECHNOLOGY,Engineering,6.1,1.5
Journal of Pharmaceutical Investigation,J PHARM INVEST,PHARMACOLOGY & PHARMACY,Medicine,,1.0
SCRIPTA MATERIALIA,SCRIPTA MATER,NANOSCIENCE & NANOTECHNOLOGY,Materials Science,5.7,1.5
JOURNAL OF FOOD ENGINEERING,J FOOD ENG,FOOD SCIENCE & TECHNOLOGY,Chemistry,5.3,1.5
PHYSIOLOGY,PHYSIOLOGY,PHYSIOLOGY,Biology,8.7,1.0
APL Materials,APL MATER,"PHYSICS, APPLIED",Physics,5.5,1.0
JCO Precision Oncology,JCO PRECIS ONCOL,ONCOLOGY,Medicine,5.1,1.0
MATERIALS RESEARCH BULLETIN,MATER RES BULL,"MATERIALS SCIENCE, MULTIDISCIPLINARY",Materials Science,4.5,1.5
MECHANISMS OF AGEING AND DEVELOPMENT,MECH AGEING DEV,GERIATRICS & GERONTOLOGY,Medicine,5.5,1.0
IEEE Transactions on Emerging Topics in Computational Intelligence,IEEE T EM TOP COMP I,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",Computer Science,5.7,0.8
Arabian Journal of Chemistry,ARAB J CHEM,"CHEMISTRY, MULTIDISCIPLINARY",Chemistry,5.6,1.5
PROCEEDINGS OF THE COMBUSTION INSTITUTE,P COMBUST INST,THERMODYNAMICS,Physics,5.3,1.0
Advanced Electronic Materials,ADV ELECTRON MATER,"PHYSICS, APPLIED",Physics,6.6,1.0
ACS Applied Nano Materials,ACS APPL NANO MATER,NANOSCIENCE & NANOTECHNOLOGY,Materials Science,5.4,1.5
International Journal of Precision Engineering and Manufacturing-Green Technology,INT J PR ENG MAN-GT,GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY,Environmental Science,4.8,0.5
Cleaner Engineering and Technology,CLEAN ENG TECHNOL,GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY,Environmental Science,5.6,0.5
Skeletal Muscle,SKELET MUSCLE,CELL BIOLOGY,Biology,5.0,1.0
Biologics-Targets & Therapy,BIOL-TARGETS THER,"MEDICINE, RESEARCH & EXPERIMENTAL",Medicine,4.4,1.0
FOOD REVIEWS INTERNATIONAL,FOOD REV INT,NUTRITION & DIETETICS,Medicine,6.7,1.0
Journal of Molecular Cell Biology,J MOL CELL BIOL,CELL BIOLOGY,Biology,6.1,1.0
Composites Part C: Open Access,COMPOS PART C-OPEN,"MATERIALS SCIENCE, COMPOSITES",Materials Science,5.2,1.5
YALE LAW JOURNAL,YALE LAW J,LAW,Mathematics,5.3,0.7
Anatomical Sciences Education,ANAT SCI EDUC,"EDUCATION, SCIENTIFIC DISCIPLINES",Mathematics,5.7,0.7
Digital Journalism,DIGIT JOURNAL,COMMUNICATION,Computer Science,7.2,0.8
JOURNAL OF PUBLIC ADMINISTRATION RESEARCH AND THEORY,J PUBL ADM RES THEOR,PUBLIC ADMINISTRATION,Mathematics,6.6,0.7
Journal of King Saud University-Computer and Information Sciences,J KING SAUD UNIV-COM,"COMPUTER SCIENCE, INFORMATION SYSTEMS",Computer Science,5.2,0.8
CHINA ECONOMIC REVIEW,CHINA ECON REV,ECONOMICS,Mathematics,6.2,0.7
JOURNAL OF VOCATIONAL BEHAVIOR,J VOCAT BEHAV,"PSYCHOLOGY, APPLIED",Medicine,9.4,1.0
JOURNAL OF APPLIED CRYSTALLOGRAPHY,J APPL CRYSTALLOGR,CRYSTALLOGRAPHY,Chemistry,5.0,1.5
Body Image,BODY IMAGE,"PSYCHOLOGY, MULTIDISCIPLINARY",Medicine,6.1,1.0
TSINGHUA SCIENCE AND TECHNOLOGY,TSINGHUA SCI TECHNOL,"ENGINEERING, ELECTRICAL & ELECTRONIC",Engineering,3.7,1.5
ENVIRONMENTAL POLITICS,ENVIRON POLIT,POLITICAL SCIENCE,Mathematics,6.2,0.7
Chemical and Biological Technologies in Agriculture,CHEM BIOL TECHNOL AG,"AGRICULTURE, MULTIDISCIPLINARY",Biology,5.2,1.0
IMA Fungus,IMA FUNGUS,MYCOLOGY,Biology,5.2,1.0
MEASUREMENT,MEASUREMENT,INSTRUMENTS & INSTRUMENTATION,Engineering,4.8,1.5
International Journal of Pharmaceutics-X,INT J PHARM-X,PHARMACOLOGY & PHARMACY,Medicine,5.3,1.0
Communications Biology,COMMUN BIOL,BIOLOGY,Biology,5.6,1.0
AUTISM,AUTISM,"PSYCHOLOGY, DEVELOPMENTAL",Medicine,6.3,1.0
ACM Transactions on Multimedia Computing Communications and Applications,ACM T MULTIM COMPUT,"COMPUTER SCIENCE, THEORY & METHODS",Computer Science,4.9,0.8
RADIOGRAPHICS,RADIOGRAPHICS,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING",Medicine,7.1,1.0
Journal of NeuroEngineering and Rehabilitation,J NEUROENG REHABIL,REHABILITATION,Medicine,5.6,1.0
Psoriasis-Targets and Therapy,PSORIASIS-TARGETS TH,DERMATOLOGY,Medicine,4.3,1.0
LIFE SCIENCES,LIFE SCI,PHARMACOLOGY & PHARMACY,Medicine,5.3,1.0
NONLINEAR DYNAMICS,NONLINEAR DYNAM,MECHANICS,Physics,4.8,1.0
ADDICTION,ADDICTION,SUBSTANCE ABUSE,Medicine,5.9,1.0
Revista de Psiquiatria y Salud Mental,REV PSIQUIATR SALUD,PSYCHIATRY,Medicine,4.1,1.0
High Power Laser Science and Engineering,HIGH POWER LASER SCI,OPTICS,Physics,4.3,1.0
CONSERVATION BIOLOGY,CONSERV BIOL,ENVIRONMENTAL SCIENCES,Environmental Science,6.1,0.5
ENVIRONMENT AND BEHAVIOR,ENVIRON BEHAV,"PSYCHOLOGY, MULTIDISCIPLINARY",Medicine,6.8,1.0
PEDOSPHERE,PEDOSPHERE,SOIL SCIENCE,Environmental Science,5.3,0.5
ATMOSPHERIC CHEMISTRY AND PHYSICS,ATMOS CHEM PHYS,METEOROLOGY & ATMOSPHERIC SCIENCES,Environmental Science,5.7,0.5
Immunity & Ageing,IMMUN AGEING,IMMUNOLOGY,Medicine,6.4,1.0
Vaccines,VACCINES-BASEL,"MEDICINE, RESEARCH & EXPERIMENTAL",Medicine,4.9,1.0
Sustainability Accounting Management and Policy Journal,SUSTAIN ACCOUNT MANA,MANAGEMENT,Mathematics,5.9,0.7
Advances in Sample Preparation,ADV SAMPLE PREP,"CHEMISTRY, ANALYTICAL",Chemistry,5.2,1.5
AMYLOID-JOURNAL OF PROTEIN FOLDING DISORDERS,AMYLOID,"MEDICINE, RESEARCH & EXPERIMENTAL",Medicine,6.7,1.0
IEEE TRANSACTIONS ON CIRCUITS AND SYSTEMS I-REGULAR PAPERS,IEEE T CIRCUITS-I,"ENGINEERING, ELECTRICAL & ELECTRONIC",Engineering,4.5,1.5
Journal of Neuroimmune Pharmacology,J NEUROIMMUNE PHARM,PHARMACOLOGY & PHARMACY,Medicine,5.2,1.0
IEEE Open Journal of the Industrial Electronics Society,IEEE OPEN J IND ELEC,"ENGINEERING, ELECTRICAL & ELECTRONIC",Engineering,5.3,1.5
Journal of Product and Brand Management,J PROD BRAND MANAG,MANAGEMENT,Mathematics,5.7,0.7
REDOX REPORT,REDOX REP,BIOCHEMISTRY & MOLECULAR BIOLOGY,Biology,4.9,1.0
Strategic Organization,STRATEG ORGAN,MANAGEMENT,Mathematics,6.3,0.7
JOURNAL OF RARE EARTHS,J RARE EARTH,"CHEMISTRY, APPLIED",Chemistry,4.4,1.5
Journal of Future Foods,J FUTURE FOODS,FOOD SCIENCE & TECHNOLOGY,Chemistry,5.2,1.5
CATALYSIS TODAY,CATAL TODAY,"ENGINEERING, CHEMICAL",Engineering,5.0,1.5
CURRENT OPINION IN RHEUMATOLOGY,CURR OPIN RHEUMATOL,RHEUMATOLOGY,Medicine,5.0,1.0
SEPARATION AND PURIFICATION REVIEWS,SEP PURIF REV,"ENGINEERING, CHEMICAL",Engineering,5.7,1.5
EPIDEMIOLOGIC REVIEWS,EPIDEMIOL REV,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",Medicine,6.2,1.0
Current Diabetes Reports,CURR DIABETES REP,ENDOCRINOLOGY & METABOLISM,Medicine,5.8,1.0
ENERGY & FUELS,ENERG FUEL,"ENGINEERING, CHEMICAL",Engineering,4.5,1.5
Materials Advances,MATER ADV,"MATERIALS SCIENCE, MULTIDISCIPLINARY",Materials Science,5.1,1.5
Comunicar,COMUNICAR,EDUCATION & EDUCATIONAL RESEARCH,Mathematics,5.2,0.7
JOURNAL OF COMPUTER ASSISTED LEARNING,J COMPUT ASSIST LEAR,EDUCATION & EDUCATIONAL RESEARCH,Mathematics,5.4,0.7
PSYCHOLOGICAL REVIEW,PSYCHOL REV,"PSYCHOLOGY, MULTIDISCIPLINARY",Medicine,7.4,1.0
Child Development Perspectives,CHILD DEV PERSPECT,"PSYCHOLOGY, DEVELOPMENTAL",Medicine,7.8,1.0
IEEE Transactions on Emerging Topics in Computing,IEEE T EMERG TOP COM,TELECOMMUNICATIONS,Engineering,4.5,1.5
Behavioural Public Policy,BEHAV PUBLIC POLICY,PUBLIC ADMINISTRATION,Mathematics,,0.7
Limnology and Oceanography Letters,LIMNOL OCEANOGR LETT,OCEANOGRAPHY,Environmental Science,7.5,0.5
Engineering Science and Technology-An International Journal-JESTECH,ENG SCI TECHNOL,"ENGINEERING, MULTIDISCIPLINARY",Engineering,4.8,1.5
REGIONAL ANESTHESIA AND PAIN MEDICINE,REGION ANESTH PAIN M,ANESTHESIOLOGY,Medicine,5.4,1.0
Journal of Rural Studies,J RURAL STUD,REGIONAL & URBAN PLANNING,Environmental Science,5.5,0.5
JOURNAL OF DEVELOPMENT ECONOMICS,J DEV ECON,ECONOMICS,Mathematics,6.1,0.7
LABORATORY INVESTIGATION,LAB INVEST,PATHOLOGY,Medicine,5.2,1.0
RMD Open,RMD OPEN,RHEUMATOLOGY,Medicine,5.0,1.0
IEEE TRANSACTIONS ON AEROSPACE AND ELECTRONIC SYSTEMS,IEEE T AERO ELEC SYS,TELECOMMUNICATIONS,Engineering,4.7,1.5
NEUROBIOLOGY OF DISEASE,NEUROBIOL DIS,NEUROSCIENCES,Biology,5.6,1.0
HEART,HEART,CARDIAC & CARDIOVASCULAR SYSTEMS,Medicine,5.6,1.0
SURVEY OF OPHTHALMOLOGY,SURV OPHTHALMOL,OPHTHALMOLOGY,Medicine,5.9,1.0
Information Technology for Development,INFORM TECHNOL DEV,INFORMATION SCIENCE & LIBRARY SCIENCE,Computer Science,5.4,0.8
JOURNAL OF BONE AND MINERAL RESEARCH,J BONE MINER RES,ENDOCRINOLOGY & METABOLISM,Medicine,5.8,1.0
ACS Macro Letters,ACS MACRO LETT,POLYMER SCIENCE,Materials Science,5.7,1.5
mBio,MBIO,MICROBIOLOGY,Biology,5.9,1.0
INTERNATIONAL JOURNAL OF IMPACT ENGINEERING,INT J IMPACT ENG,MECHANICS,Physics,5.4,1.0
Ceramics International,CERAM INT,"MATERIALS SCIENCE, CERAMICS",Materials Science,4.7,1.5
Quantum,QUANTUM-AUSTRIA,QUANTUM SCIENCE & TECHNOLOGY,Physics,7.0,1.0
PROSTATE CANCER AND PROSTATIC DISEASES,PROSTATE CANCER P D,UROLOGY & NEPHROLOGY,Medicine,4.8,1.0
BIOLOGY AND FERTILITY OF SOILS,BIOL FERT SOILS,SOIL SCIENCE,Environmental Science,6.2,0.5
Travel Behaviour and Society,TRAVEL BEHAV SOC,TRANSPORTATION,Engineering,5.5,1.5
Function,FUNCTION,PHYSIOLOGY,Biology,5.2,1.0
ISME Communications,ISME COMMUN,MICROBIOLOGY,Biology,5.1,1.0
Water Biology and Security,WATER BIOL SECUR,MARINE & FRESHWATER BIOLOGY,Biology,5.1,1.0
MACROMOLECULES,MACROMOLECULES,POLYMER SCIENCE,Materials Science,5.1,1.5
ASTRONOMICAL JOURNAL,ASTRON J,ASTRONOMY & ASTROPHYSICS,Physics,5.6,1.0
Journal of Theoretical and Applied Electronic Commerce Research,J THEOR APPL EL COMM,BUSINESS,Mathematics,5.1,0.7
Food & Function,FOOD FUNCT,FOOD SCIENCE & TECHNOLOGY,Chemistry,5.6,1.5
Precision Clinical Medicine,PRECIS CLIN MED,"MEDICINE, RESEARCH & EXPERIMENTAL",Medicine,4.8,1.0
Tissue Engineering Part B-Reviews,TISSUE ENG PART B-RE,"MATERIALS SCIENCE, BIOMATERIALS",Materials Science,8.9,1.5
JOURNAL OF MARKETING RESEARCH,J MARKETING RES,BUSINESS,Mathematics,7.4,0.7
ADVANCES IN ANATOMIC PATHOLOGY,ADV ANAT PATHOL,PATHOLOGY,Medicine,5.2,1.0
Data Science and Engineering,DATA SCI ENG,"COMPUTER SCIENCE, THEORY & METHODS",Computer Science,3.6,0.8
BULLETIN OF THE AMERICAN MUSEUM OF NATURAL HISTORY,B AM MUS NAT HIST,ECOLOGY,Environmental Science,3.4,0.5
Asian Journal of Transfusion Science,ASIAN J TRANSF SCI,HEMATOLOGY,Medicine,0.7,1.0
Chiang Mai Journal of Science,CHIANG MAI J SCI,MULTIDISCIPLINARY SCIENCES,Mathematics,0.7,0.7
DEUTSCHE MEDIZINISCHE WOCHENSCHRIFT,DEUT MED WOCHENSCHR,"MEDICINE, GENERAL & INTERNAL",Medicine,0.5,1.0
European Journal of Environmental Sciences,EUR J ENVIRON SCI,ENVIRONMENTAL SCIENCES,Environmental Science,0.8,0.5
Indian Journal of Surgical Oncology,INDIA J SURG ONCOL,ONCOLOGY,Medicine,0.7,1.0
Industrial Engineering and Management Systems,IND ENG MANAG SYST,"ENGINEERING, INDUSTRIAL",Engineering,0.4,1.5
INMATEH-Agricultural Engineering,INMATEH-AGRIC ENG,AGRICULTURAL ENGINEERING,Engineering,0.6,1.5
International Journal of Biometrics,INT J BIOMETRICS,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",Computer Science,0.6,0.8
