No,Title,Inventors,Applicants,Publication number,Earliest priority,IPC,CPC,Publication date,Earliest publication,Family number,Unnamed: 11,first publication date,second publication date,first publication number,second publication number,family_jurisdictions,family_members
106,SITE MAINTENANCE UTILIZING AUTONOMOUS VEHICLES,"JANEY GREGORY S [US] 
FRICK ALEXANDER STEVEN [US]",THE TORO CO [US],US2023259893A1,2019-10-03,G06Q10/20,"G06Q10/0631 (EP) 
G06Q10/20 (EP,US)",2023-08-17,2021-04-08,75338620,,2023-08-17,,US2023259893A1,,"['EP', 'US', 'WO']","['EP4042248A1', 'EP4042248A4', 'US2023259893A1', 'WO2021067757A1']"
107,DELIVERY SERVICE SYSTEM AND METHOD USING AUTONOMOUS VEHICLES,"KWON SOON [KR] 
KIM JAE SUCK [KR] 
PARK JAE HYEONG [KR] 
LEE JIN HEE [KR]",DAEGU GYEONGBUK INST SCIENCE & TECH [KR],US2024067226A1,2020-12-30,"B60P3/07 
B60W40/06 
B60W60/00 
G05D1/00","B60P3/07 (US) 
B60W10/26 (EP,KR) 
B60W30/10 (KR) 
B60W30/143 (KR) 
B60W40/02 (KR) 
B60W40/06 (US) 
B60W40/105 (KR) 
B60W60/00 (EP) 
B60W60/00256 (KR,US) 
G05D1/0016 (US) 
G05D1/225 (EP) 
G05D1/667 (EP) 
G05D1/692 (EP) 
G05D1/6985 (EP) 
B60W2050/0005 (KR) 
B60W2050/0064 (KR) 
B60W2300/145 (KR,US) 
B60W2420/00 (KR,US) 
B60W2520/10 (KR) 
B60W2556/35 (US) 
B60W2556/40 (US) 
B60W2556/65 (US) 
B60W2720/28 (KR) 
B60Y2200/148 (KR) 
B60Y2200/30 (KR) 
B60Y2300/10 (KR) 
B60Y2300/143 (KR) 
G05D2105/28 (EP) 
G05D2107/13 (EP) 
G05D2107/17 (EP) 
G05D2109/10 (EP)",2024-02-29,2022-07-07,82259766,,2024-02-29,,US2024067226A1,,,
108,METHOD AND SYSTEM FOR CLOSED LOOP PERCEPTION IN AUTONOMOUS DRIVING VEHICLES,"ZHENG HAO [US] 
LIU DAVID WANQIAN [US] 
DALY JR  TIMOTHY PATRICK [US] 
DALY JR TIMOTHY PATRICK [US]","PLUSAI LTD [HK] 
PLUSAI INC [US]","US12093821B2 
US2021294326A1",2017-06-06,"G05D1/02 
G06N7/00 
B60W30/00 
G05D1/00 
G06N20/00 
G06N3/08 
G06N5/02 
G06V10/774 
G06V10/776 
G06F18/21 
G06F18/25 
G06N3/092 
G06N3/098 
G06N7/01 
G06V10/764 
G06V10/80 
G06V20/56 
G06V20/58","B60W30/00 (US) 
G05D1/0088 (US) 
G05D1/0274 (US) 
G05D1/0287 (US) 
G05D1/227 (US) 
G05D1/246 (US) 
G05D1/2462 (US) 
G05D1/692 (US) 
G05D1/81 (US) 
G06F18/217 (US) 
G06F18/251 (EP,US) 
G06N20/00 (EP,US) 
G06N3/08 (EP,US) 
G06N3/092 (US) 
G06N3/098 (US) 
G06N5/02 (US) 
G06N7/01 (US) 
G06V10/764 (US) 
G06V10/774 (EP,US) 
G06V10/776 (EP,US) 
G06V10/803 (EP,US) 
G06V20/56 (EP,US) 
G06V20/58 (EP,US) 
G06T2207/30261 (US)","2021-09-23 
2024-09-17",2018-12-06,64459792,,2021-09-23,2024-09-17,US12093821B2,"
US2021294326A1",,
109,Cloud Software Development Kit for Third-Party Autonomous Vehicles,"NIEMIEC KONRAD JULIAN [US] 
IASYNETSKYI ANDRII [US] 
CHEN JAY A [US] 
WAY MATTHEW JAMES [US] 
YEN MARK [US] 
VOZNESENSKY MICHAEL [US] 
ZAYTSEV VLADIMIR [US] 
GOLDMAN BRENT JUSTIN [US]",UBER TECHNOLOGIES INC [US],US2020241869A1,2019-01-25,"G06F8/10 
G06F8/65 
H04L29/06 
H04W4/40","G06F8/10 (US) 
G06F8/65 (US) 
H04L63/0823 (US) 
H04W12/106 (EP) 
H04W12/50 (EP) 
H04W4/40 (US) 
H04W4/50 (EP) 
G06F8/65 (EP) 
H04L67/53 (EP) 
H04W4/40 (EP)",2020-07-30,2020-07-30,71731299,,2020-07-30,,US2020241869A1,,,
110,LOCALITY ADAPTED COMPUTERIZED ASSISTED OR AUTONOMOUS DRIVING OF VEHICLES,"HEALEY JENNIFER A [US] 
ZAFIROGLU ALEXANDRA C [US]","HEALEY JENNIFER A [US] 
ZAFIROGLU ALEXANDRA C [US] 
INTEL CORP [US]","US2015057869A1 
US9134731B2",2013-08-22,"G05D1/00 
G01C22/00 
G06K9/00 
G08G1/16","B60W30/00 (US) 
B60W40/00 (US) 
G01C21/26 (EP,US) 
G01C21/28 (EP,US) 
G05D1/0088 (US) 
G06Q50/40 (EP,US) 
G07C5/00 (EP,US) 
G07C5/008 (EP,US) 
G08G1/0112 (EP,US) 
G08G1/0116 (EP,US) 
G08G1/0129 (EP,US) 
G08G1/0141 (EP,US) 
G08G1/096716 (EP,US) 
G08G1/096725 (EP,US) 
G08G1/096741 (EP,US) 
G08G1/096775 (EP,US) 
G06V20/584 (US) 
G06V20/588 (US) 
G08G1/167 (US)","2015-02-26 
2015-09-15",2015-02-26,52481100,,2015-02-26,2015-09-15,US2015057869A1,"
US9134731B2",,
111,GENERATING ADVERSARIAL DRIVING SCENARIOS FOR AUTONOMOUS VEHICLES,"PITTALUGA FRANCESCO [US] 
LIU BUYU [US] 
CHANDRAKER MANMOHAN [US] 
ZHANG KAIYUAN [US]",NEC LAB AMERICA INC [US],US2025115278A1,2023-10-04,B60W60/00,"B60W60/0013 (US) 
B60W60/0027 (US)",2025-04-10,2025-04-10,95253974,,2025-04-10,,US2025115278A1,,,
112,AUTONOMOUS DRIVING SYSTEM AND METHOD FOR VEHICLES AND VEHICLE INCLUDING THE SAME,"NOH HAHK REL [KR] 
SUNG SU LYUN [KR] 
HWANG DAE SUNG [KR] 
PARK JUN HO [KR] 
RYU CHO RONG [KR] 
LEE TAE JUN [KR] 
PARK DA YEON [KR] 
NOH DONG GYU [KR] 
PARK JONG ROK [KR]","HYUNDAI MOTOR CO LTD [KR] 
KIA MOTORS CORP [KR]","US11215991B2 
US2020183384A1",2018-12-10,"B60W50/14 
G05D1/00 
H04W4/46 
B60W50/00 
B60W60/00","B60K35/10 (KR) 
B60W30/14 (KR) 
B60W30/165 (EP) 
B60W40/02 (KR) 
B60W50/029 (KR) 
B60W50/14 (EP,KR,US) 
B60W60/0015 (KR) 
B60W60/0018 (EP) 
B60W60/0053 (EP) 
G05D1/0061 (US) 
G05D1/0088 (US) 
H04W4/024 (EP) 
H04W4/029 (EP) 
H04W4/44 (EP) 
H04W4/46 (EP,US) 
H04W4/90 (EP) 
B60W2050/0008 (US) 
B60W2050/143 (KR,US) 
B60W2554/801 (KR) 
B60W2554/802 (KR) 
B60W2556/45 (EP,KR) 
B60W2556/65 (EP,US) 
B60W60/005 (US)","2020-06-11 
2022-01-04",2020-06-10,70776431,,2020-06-11,2022-01-04,US11215991B2,"
US2020183384A1","['DE', 'KR', 'US']","['DE102019117493A1', 'KR102524297B1', 'KR20200075920A', 'US11215991B2', 'US2020183384A1']"
113,DYNAMIC EDGE COMPUTING WITH RESOURCE ALLOCATION TARGETING AUTONOMOUS VEHICLES,"RAKSHIT SARBAJIT K [IN] 
KARRI VENKATA VARA PRASAD [IN] 
MOYAL SHAILENDRA [IN] 
DHOOT AKASH U [IN]",IBM [US],US2023077360A1,2021-09-10,"B60W60/00 
G06F9/50 
H04W4/44","B60W60/001 (US) 
G06F9/5027 (EP) 
G06F9/505 (US) 
G06F9/5072 (EP,US) 
H04W4/44 (EP,US) 
G06F2209/502 (EP)",2023-03-16,2023-03-16,85480286,,2023-03-16,,US2023077360A1,,['US'],['US2023077360A1']
114,Autonomous Vehicles Featuring Machine-Learned Yield Model,"GREEN COLIN JEFFREY [US] 
LIU WEI [US] 
BRADLEY DAVID MCALLISTER [US] 
SUBRAMANIAN VIJAY [US]",UATC LLC [US],"US11822337B2 
US2022066461A1",2017-10-09,"B60W30/095 
B60W30/18 
G05D1/00 
G05D1/02 
G08G1/01 
G08G1/0962 
G08G1/16","B60W30/0953 (US) 
B60W30/0956 (EP,US) 
B60W30/18109 (US) 
B60W30/18154 (EP,US) 
B60W60/0017 (US) 
B60W60/0027 (US) 
B60W60/00276 (US) 
G05D1/0088 (US) 
G05D1/0221 (EP,US) 
G05D1/0223 (US) 
B60W2420/403 (US) 
B60W2420/408 (US) 
B60W2554/20 (US) 
B60W2554/4026 (US) 
B60W2554/4029 (US) 
B60W2554/4041 (US) 
B60W2554/4049 (US) 
B60W2555/60 (US) 
G08G1/0112 (EP,US) 
G08G1/0129 (EP,US) 
G08G1/09623 (EP,US) 
G08G1/166 (EP,US)","2022-03-03 
2023-11-21",2018-07-10,62750233,,2022-03-03,2023-11-21,US11822337B2,"
US2022066461A1",['US'],"['US10019011B1', 'US11175671B2', 'US11822337B2', 'US2019107840A1', 'US2022066461A1', 'US2024140487A1', 'US2025121856A1']"
115,Item exchange between autonomous vehicles of different services,"SIEGEL HILLIARD BRUCE [US] 
EVANS ETHAN ZANE [US]",AMAZON TECH INC [US],US11835947B1,2016-11-15,"G01C21/34 
G01C23/00 
G05D1/00 
G05D1/02 
G05D1/08 
G05D1/10 
G06Q10/0835","G01C21/3407 (EP) 
G01C21/3415 (EP) 
G01C21/3423 (EP) 
G01C21/343 (US) 
G01C23/00 (US) 
G05D1/0027 (US) 
G05D1/0225 (US) 
G05D1/0808 (US) 
G05D1/101 (US) 
G05D1/102 (EP) 
G06Q10/08355 (EP,US)",2023-12-05,2019-12-24,68979729,,2023-12-05,,US11835947B1,,['US'],"['US10514690B1', 'US11402837B1', 'US11835947B1']"
116,HYBRID MOTION PLANNER FOR AUTONOMOUS VEHICLES,"LIU BUYU [US] 
PITTALUGA FRANCESCO [US] 
ZHUANG BINGBING [US] 
CHANDRAKER MANMOHAN [US] 
SOHN SAMUEL [US]",NEC LAB AMERICA INC [US],US2025115254A1,2023-10-05,"B60W50/00 
B60W60/00 
G05B13/02","B60W50/0097 (US) 
B60W60/001 (US) 
G05B13/027 (US) 
B60W2050/0008 (US) 
B60W2050/0012 (US) 
B60W2050/0028 (US) 
B60W2552/10 (US)",2025-04-10,2025-04-10,95253933,,2025-04-10,,US2025115254A1,,"['US', 'WO']","['US2025115254A1', 'WO2025076366A1']"
117,Action Planning System and Method for Autonomous Vehicles,"SADAT SEYED ABBAS [US] 
GLASER THOMAS [US] 
HARDY JASON SCOTT [US] 
JACOB MITHUN [US] 
MUELLER JOERG [US]",BOSCH GMBH ROBERT [DE],"US11402839B2 
US2020097008A1",2017-03-07,"G05D1/00 
G05D1/02 
G08G1/01","B60W40/04 (EP) 
B60W50/0097 (EP) 
B60W60/0027 (EP) 
B60W60/00272 (EP) 
G01C21/005 (EP) 
G01C21/3407 (EP) 
G05D1/0027 (US) 
G05D1/0088 (US) 
G05D1/0212 (US) 
G08G1/0125 (US)","2020-03-26 
2022-08-02",2018-09-13,61622560,,2020-03-26,2022-08-02,US11402839B2,"
US2020097008A1","['CN', 'DE', 'JP', 'US', 'WO']","['CN110352330A', 'CN110352330B', 'DE112018000174T5', 'JP2020509966A', 'JP7191843B2', 'US11402839B2', 'US2020097008A1', 'WO2018162521A1']"
118,MULTI-DIMENSION OPERATION OF AUTONOMOUS VEHICLES,"SHMUELI AVIRAM [IL] 
ASCHER ALON [IL] 
ALFI BEN [IL] 
UR SHMUEL [IL]",BLUE WHITE ROBOTICS LTD [IL],"US11282401B2 
US2021295724A1",2020-03-23,"G05D1/02 
G05D1/10 
G08G9/00","G05D1/0206 (US) 
G05D1/021 (US) 
G05D1/0219 (EP) 
G05D1/101 (US) 
G08G5/26 (EP) 
G08G5/32 (EP) 
G08G5/55 (EP) 
G08G5/74 (EP) 
G08G9/00 (US) 
G08G5/57 (EP)","2021-09-23 
2022-03-22",2021-09-23,77748102,,2021-09-23,2022-03-22,US11282401B2,"
US2021295724A1",['US'],"['US11282401B2', 'US11688292B2', 'US2021295724A1', 'US2022157183A1']"
119,Driver Assistance System Operating Based On Autonomous Statuses Of Host And Local Vehicles While In A Multi-Level Autonomous Environment,"DOTZLER KEVIN [US] 
GRAVES JASON [US]",DENSO INT AMERICA INC [US],"US10723362B2 
US2019367043A1",2018-06-05,"B60W50/04 
G05D1/00 
G05D1/02 
G07C5/00 
B60W50/00","B60W50/045 (EP,US) 
G05D1/0061 (US) 
G05D1/0088 (US) 
G05D1/0287 (US) 
G07C5/008 (EP,US) 
B60W2050/0016 (US) 
B60W2050/0017 (US) 
B60W2050/0072 (EP,US) 
B60W2050/0075 (EP,US) 
B60W2556/10 (EP,US) 
B60W60/0053 (EP)","2019-12-05 
2020-07-28",2019-12-05,68695046,,2019-12-05,2020-07-28,US10723362B2,"
US2019367043A1",['US'],"['US10723362B2', 'US2019367043A1']"
120,A SYSTEM AND METHOD FOR SCHEDULING COMPUTING TASKS ON A NETWORK OF AUTONOMOUS VEHICLES,"GOLUB MAXIMILIAN [US] 
RAMAMURTHY DINESH [US] 
NUNES RODRIGO [US] 
BURGMEIER HERMANN [US]",MERCEDES BENZ GROUP AG [DE],US2023281046A1,2020-06-30,G06F9/50,"G06F9/5027 (EP,GB,US) 
G06F9/5072 (EP,GB) 
G06Q10/06315 (EP) 
G06Q50/40 (EP) 
G07C5/008 (EP) 
H04L67/12 (EP) 
H04W4/40 (EP) 
G06F2209/5011 (EP) 
G06F2209/5014 (EP) 
G06F2209/5019 (EP) 
G06F2209/509 (EP)",2023-09-07,2022-01-06,71949743,,2023-09-07,,US2023281046A1,,"['CN', 'EP', 'GB', 'US', 'WO']","['CN115769192A', 'EP4052127A1', 'GB202009986D0', 'GB2598281A', 'US2023281046A1', 'WO2022002648A1']"
121,REGIONAL OPERATION MODES FOR AUTONOMOUS VEHICLES,"CUDAK GARY D [US] 
HARDEE CHRISTOPHER J [US] 
ROBERTS ADAM [US] 
RODRIGUEZ ADRIAN X [US]",LENOVO ENTPR SOLUTIONS SINGAPORE PTE LTD [SG],"US2015309512A1 
US9304515B2",2014-04-24,"G05D1/02 
G05D1/00 
G06G7/48","B60W30/00 (US) 
B60W40/08 (EP) 
B60W40/09 (EP,US) 
G05D1/021 (US) 
G05D1/0287 (US) 
G08G1/0112 (EP,US) 
G08G1/0129 (EP,US) 
G08G1/096725 (EP,US) 
G08G1/096741 (EP,US) 
G08G1/096775 (EP,US) 
B60W2050/0075 (EP) 
B60W2050/0088 (EP) 
B60W2540/22 (EP) 
B60W2540/221 (EP) 
B60W2540/30 (EP) 
B60W2555/80 (EP) 
B60W2556/10 (EP) 
B60W2556/45 (EP) 
B60W2556/50 (EP)","2015-10-29 
2016-04-05",2015-10-29,54334694,,2015-10-29,2016-04-05,US2015309512A1,"
US9304515B2",['US'],"['US2015309512A1', 'US9304515B2']"
122,AUTONOMOUS CHARGING MANAGEMENT SYSTEM FOR ELECTRIC VEHICLES,"AL-AWAMI ALI TALEB [SA] 
AKHTAR GHOUS MUHAMMAD ASIM [SA]",UNIV KING FAHD PET & MINERALS [SA],"US2016257216A1 
US9616763B2",2014-06-12,"B60L11/18 
B60L11/00 
H02J7/00","B60L53/665 (EP,US) 
B60L58/13 (EP,US) 
B60L58/22 (EP,US) 
Y02T10/70 (EP,US) 
Y02T10/7072 (EP,US) 
Y02T90/12 (EP,US) 
Y02T90/14 (US) 
Y02T90/16 (EP,US) 
Y02T90/167 (EP,US) 
Y04S30/14 (EP,US)","2016-09-08 
2017-04-11",2016-09-08,56849625,,2016-09-08,2017-04-11,US2016257216A1,"
US9616763B2",['US'],"['US2016257216A1', 'US9616763B2']"
123,Anomalous condition detection and response for autonomous vehicles,"KONRARDY BLAKE [US] 
CHRISTENSEN SCOTT T [US] 
HAYWARD GREGORY [US] 
FARRIS SCOTT [US]",STATE FARM MUTUAL AUTOMOBILE INSURANCE CO [US],US11119477B1,2016-01-22,"B60Q1/50 
G05D1/00 
G05D1/02","B60L53/36 (EP,US) 
B60L58/12 (US) 
B60P3/12 (US) 
B60R16/0234 (US) 
B60R21/0136 (US) 
B60R21/34 (US) 
B60R25/04 (US) 
B60R25/10 (US) 
B60R25/1001 (US) 
B60R25/102 (US) 
B60R25/104 (US) 
B60R25/252 (US) 
B60R25/255 (US) 
B60R25/305 (US) 
B60R25/31 (US) 
B60W10/04 (US) 
B60W10/18 (US) 
B60W10/20 (US) 
B60W30/0956 (US) 
B60W30/12 (US) 
B60W30/16 (US) 
B60W30/18163 (US) 
B60W40/04 (US) 
B60W60/0023 (US) 
B60W60/0053 (US) 
B60W60/0059 (US) 
G01B21/00 (US) 
G01C21/34 (US) 
G01C21/3415 (US) 
G01C21/343 (US) 
G01C21/3438 (US) 
G01C21/3453 (US) 
G01C21/3461 (EP,US) 
G01C21/3469 (US) 
G01C21/3617 (US) 
G01C21/362 (US) 
G01C21/3697 (US) 
G01S19/13 (US) 
G05B15/02 (US) 
G05B23/0245 (US) 
G05D1/0011 (US) 
G05D1/0055 (US) 
G05D1/0212 (US) 
G05D1/0231 (US) 
G05D1/0246 (US) 
G05D1/0255 (US) 
G05D1/0285 (US) 
G05D1/0287 (US) 
G05D1/0289 (US) 
G05D1/0293 (US) 
G05D1/0295 (US) 
G05D1/223 (US) 
G05D1/227 (US) 
G05D1/228 (US) 
G05D1/247 (US) 
G05D1/249 (US) 
G05D1/617 (US) 
G05D1/646 (US) 
G05D1/69 (US) 
G05D1/692 (US) 
G05D1/693 (US) 
G05D1/695 (US) 
G05D1/697 (US) 
G06F11/3688 (US) 
G06F11/3692 (US) 
G06F16/2455 (US) 
G06F16/90335 (US) 
G06F17/00 (US) 
G06F21/32 (US) 
G06F21/55 (US) 
G06F30/15 (US) 
G06F30/20 (US) 
G06Q10/1095 (US) 
G06Q10/20 (US) 
G06Q30/0284 (US) 
G06Q30/0645 (US) 
G06Q40/08 (EP,US) 
G06Q50/163 (US) 
G06Q50/265 (US) 
G06Q50/40 (US) 
G07C5/006 (US) 
G07C5/008 (US) 
G07C5/0808 (US) 
G07C5/0816 (US) 
G07C5/0841 (US) 
G07C9/00563 (US) 
G08B21/00 (US) 
G08B21/02 (US) 
G08B21/18 (US) 
G08B25/00 (US) 
G08B25/014 (US) 
G08G1/017 (EP,US) 
G08G1/0965 (US) 
G08G1/096725 (EP,US) 
G08G1/096783 (EP) 
G08G1/143 (EP) 
G08G1/146 (EP,US) 
G08G1/148 (EP,US) 
G08G1/161 (US) 
G08G1/165 (US) 
G08G1/166 (US) 
G08G1/167 (US) 
G08G1/20 (US) 
G08G1/205 (EP) 
G16Y10/80 (US) 
G16Y30/00 (US) 
H04L12/2803 (US) 
H04L12/2816 (US) 
H04L12/2825 (US) 
H04L67/306 (US) 
H04N7/183 (US) 
B60R2021/0027 (US) 
B60R2021/01013 (US) 
B60R2025/1013 (US) 
B60W2420/403 (US) 
B60W2420/408 (US) 
B60W2530/209 (US) 
B60W2540/229 (US) 
B60W2552/05 (US) 
B60W2552/35 (US) 
B60W2554/4026 (US) 
B60W2554/4029 (US) 
B60W2554/4041 (US) 
B60W2554/406 (US) 
B60W2556/10 (US) 
G01S19/42 (US) 
G06F2221/034 (US) 
G06N20/00 (US) 
H04L67/12 (US) 
Y02A10/40 (EP) 
Y02T10/70 (EP) 
Y02T10/7072 (EP) 
Y02T90/12 (EP)",2021-09-14,2018-08-07,63014052,,2021-09-14,,US11119477B1,,"['AU', 'BR', 'CA', 'CN', 'DK', 'EP', 'ES', 'IL', 'JP', 'KR', 'MX', 'TW', 'US', 'WO']","['AU2017237099A1', 'AU2017237099B2', 'AU2017286128A1', 'AU2017286128B2', 'AU2017312662A1', 'AU2017312662B2', 'AU2017322324A1', 'AU2017322324B2', 'AU2017370937A1', 'AU2017370942A1', 'AU2017376801A1', 'AU2017376801B2', 'AU2017376801B9', 'AU2017376807A1', 'AU2017376807B2', 'AU2017378393A1', 'AU2017378393B2', 'AU2017378406A1', 'AU2018243312A1', 'AU2018243312B2', 'AU2022200774A1', 'AU2022218640A1', 'AU2022218640B2', 'AU2022283757A1', 'AU2023201056A1', 'AU2023201056B2', 'AU2023203543A1', 'AU2024278542A1', 'BR112019011689A2', 'BR112019011702A2', 'BR112019012071A2', 'CA3017932A1', 'CA3027705A1', 'CA3034263A1', 'CA3034267A1', 'CA3036334A1', 'CA3036364A1', 'CA3044526A1', 'CA3045296A1', 'CA3045307A1', 'CA3045310A1', 'CA3045475A1', 'CA3045931A1', 'CA3045944A1', 'CA3046023A1', 'CA3046093A1', 'CA3046489A1', 'CA3054156A1', 'CA3054632A1', 'CA3055762A1', 'CN109310324A', 'CN109562102A', 'CN109843182A', 'CN109862821A', 'CN109890299A', 'CN110072551A', 'CN110072551B', 'CN110087530A', 'CN110167589A', 'CN110167589B', 'CN110402097A', 'CN110430801A', 'CN110430801B', 'CN110446456A', 'CN110446456B', 'CN110505985A', 'CN115591091A', 'CN116712540A', 'CN117045784A', 'CN118873822A', 'DK3471722T3', 'DK3600009T3', 'EP3432781A1', 'EP3432781A4', 'EP3471722A1', 'EP3471722A4', 'EP3471722B1', 'EP3500177A1', 'EP3500178A1', 'EP3509469A1', 'EP3510377A1', 'EP3538404A1', 'EP3551034A1', 'EP3551046A1', 'EP3551046B1', 'EP3551046C0', 'EP3551047A1', 'EP3551050A1', 'EP3554342A1', 'EP3554342B1', 'EP3554342C0', 'EP3554343A1', 'EP3554346A1', 'EP3554346B1', 'EP3554346C0', 'EP3554539A1', 'EP3554539B1', 'EP3554539B9', 'EP3554539C0', 'EP3554540A1', 'EP3554540B1', 'EP3554540C0', 'EP3554541A1', 'EP3554541B1', 'EP3554541C0', 'EP3600009A2', 'EP3600009B1', 'EP3600414A1', 'EP3600416A1', 'EP3600416B1', 'EP3600416C0', 'EP3900613A1', 'EP3900613B1', 'EP3900613C0', 'EP4091538A1', 'EP4091538B1', 'EP4091538C0', 'EP4108183A1', 'EP4233902A2', 'EP4233902A3', 'EP4252629A2', 'EP4252629A3', 'EP4327879A2', 'EP4327879A3', 'EP4410832A2', 'EP4410832A3', 'EP4467182A2', 'EP4467182A3', 'ES2966973T3', 'IL261776A', 'IL261776B', 'IL263697A', 'IL265210A', 'IL265210B', 'IL265210B2', 'IL266642A', 'IL266642B2', 'IL266643A', 'IL268900A', 'IL268900B1', 'IL268900B2', 'IL294630A', 'IL294630B1', 'IL294630B2', 'IL297016A', 'IL297016B1', 'IL297016B2', 'IL304468A', 'IL304468B1', 'IL304468B2', 'IL305187A', 'IL313874A', 'JP2019518048A', 'JP2019526423A', 'JP2019528117A', 'JP2020501699A', 'JP2020502125A', 'JP2020508436A', 'JP2020512856A', 'JP2020513280A', 'JP2020513414A', 'JP2020513554A', 'JP2022137062A', 'JP2022177262A', 'JP2023002585A', 'JP2023071838A', 'JP2023175940A', 'JP2025026993A', 'JP7071995B2', 'JP7150723B2', 'JP7150724B2', 'JP7153633B2', 'JP7197370B2', 'JP7237834B2', 'KR102329597B1', 'KR102417504B1', 'KR102455911B1', 'KR102543015B1', 'KR102589081B1', 'KR102594123B1', 'KR102616436B1', 'KR102737336B1', 'KR20180122718A', 'KR20190018486A', 'KR20190082230A', 'KR20190091293A', 'KR20190091325A', 'KR20190095931A', 'KR20190095936A', 'KR20190098170A', 'KR20190104310A', 'KR20190133195A', 'KR20220101202A', 'KR20220143166A', 'KR20230042759A', 'KR20230152788A', 'KR20240115384A', 'MX2018011544A', 'MX2019005398A', 'MX2019006823A', 'MX2019006864A', 'MX2019006867A', 'MX2023007975A', 'TW201834690A', 'TW201834710A', 'TW201834711A', 'US10042359B1', 'US10065517B1', 'US10086782B1', 'US10134278B1', 'US10156848B1', 'US10168703B1', 'US10185327B1', 'US10249109B1', 'US10295363B1', 'US10308246B1', 'US10324463B1', 'US10384678B1', 'US10386192B1', 'US10386845B1', 'US10395332B1', 'US10469282B1', 'US10482226B1', 'US10493936B1', 'US10503168B1', 'US10545024B1', 'US10579070B1', 'US10588608B2', 'US10598318B1', 'US10610104B2', 'US10668897B2', 'US10679497B1', 'US10691126B1', 'US10747234B1', 'US10802477B1', 'US10818105B1', 'US10824145B1', 'US10828999B1', 'US10829063B1', 'US10925537B2', 'US10980739B2', 'US11015942B1', 'US11016504B1', 'US11020053B2', 'US11022978B1', 'US11045139B2', 'US11062414B1', 'US11119477B1', 'US11124186B1', 'US11126184B1', 'US11136024B1', 'US11181930B1', 'US11189112B1', 'US11191479B2', 'US11242051B1', 'US11348193B1', 'US11363964B2', 'US11369618B2', 'US11440494B1', 'US11441916B1', 'US11511736B1', 'US11513521B1', 'US11523772B2', 'US11526167B1', 'US11540772B2', 'US11547301B2', 'US11596670B2', 'US11597762B2', 'US11600177B1', 'US11625802B1', 'US11638555B2', 'US11656978B1', 'US11682244B1', 'US11719545B2', 'US11779273B2', 'US11793420B2', 'US11879742B2', 'US11896391B2', 'US11898862B2', 'US11918342B2', 'US11920938B2', 'US12055399B2', 'US12089916B2', 'US12104912B2', 'US12111165B2', 'US12150775B2', 'US12174027B2', 'US12226228B2', 'US2018049725A1', 'US2018052084A1', 'US2018070857A1', 'US2018070928A1', 'US2018126958A1', 'US2018164221A1', 'US2018193003A1', 'US2018206726A1', 'US2018206769A1', 'US2018279908A1', 'US2019192072A1', 'US2019343425A1', 'US2019350518A1', 'US2019350519A1', 'US2019350520A1', 'US2019350521A1', 'US2019350522A1', 'US2019350523A1', 'US2020093430A1', 'US2020093431A1', 'US2020170627A1', 'US2020170937A1', 'US2020221954A1', 'US2020245897A1', 'US2020253506A1', 'US2020262908A1', 'US2020306261A1', 'US2020315540A1', 'US2020317216A1', 'US2021039513A1', 'US2021116256A1', 'US2021121533A1', 'US2021138213A1', 'US2021196127A1', 'US2021293572A1', 'US2021294322A1', 'US2021294350A1', 'US2021294877A1', 'US2021295439A1', 'US2022071559A1', 'US2022071894A1', 'US2022087604A1', 'US2022087605A1', 'US2022087606A1', 'US2022237718A1', 'US2022322961A1', 'US2022388463A1', 'US2022390245A1', 'US2023025002A1', 'US2023028916A1', 'US2023037543A1', 'US2023043047A1', 'US2023086731A1', 'US2023154321A1', 'US2023172538A1', 'US2023205684A1', 'US2023222614A1', 'US2023306800A1', 'US2023309917A1', 'US2023332909A1', 'US2023363663A1', 'US2023414170A1', 'US2024110804A1', 'US2024183673A1', 'US2024335644A1', 'US2024384999A1', 'US2024410707A1', 'US2025000364A1', 'US2025082265A1', 'US2025085120A1', 'US9940834B1', 'WO2017165717A1', 'WO2017218191A1', 'WO2017218191A8', 'WO2018035394A1', 'WO2018035396A1', 'WO2018048754A1', 'WO2018048754A8', 'WO2018049133A1', 'WO2018089410A1', 'WO2018106931A1', 'WO2018106933A1', 'WO2018106945A1', 'WO2018106959A1', 'WO2018111321A1', 'WO2018111322A1', 'WO2018111325A1', 'WO2018111326A1', 'WO2018111328A1', 'WO2018111329A1', 'WO2018112215A1', 'WO2018112232A1', 'WO2018112237A1', 'WO2018112240A1', 'WO2018112255A1', 'WO2018112256A1', 'WO2018112264A1', 'WO2018183711A2', 'WO2018183711A3', 'WO2018183929A1', 'WO2018183931A1']"
124,Method and system for facilitating assistance of autonomous vehicles,SMOLINSKI JOHAN [SE],SCANIA CV AB [SE],"SE1751155A1 
SE541726C2",2017-09-19,"B60W40/00 
B60W60/00 
G01C21/34 
G05D1/02","B60W40/00 (SE) 
G01C21/34 (SE) 
G05D1/43 (SE)","2019-03-20 
2019-12-03",2019-03-20,66094117,,2019-03-20,2019-12-03,SE1751155A1,"
SE541726C2",['SE'],"['SE1751155A1', 'SE541726C2']"
