Title,Inventors,Applicants,first filing year,earliest priority year,IPC,CPC,first publication country
Hydrogen fuel turbine range extender system of electric vehicle and control method,"LIAN JINYI 
FENG RUI 
LI JIE 
ZHANG XIQING 
ZHI JINNING 
LI ZHANLONG",UNIV TAIYUAN SCIENCE & TECH,2020,2019,"['B60L50/62', 'B60L53/00', 'B60L58/12']","['B60L50/62 (CN)', 'B60L53/00 (CN)', 'B60L58/12 (CN)', 'Y02T10/62 (EP)', 'Y02T10/70 (EP)', 'Y02T10/7072 (EP)', 'Y02T90/14 (EP)', 'Y02T90/16 (EP)']",CN
Electro-optical hydrogen storage micro-grid for transformer substation and control method of electro-optical hydrogen storage micro-grid,"YANG YANG 
SONG ZHENGXIANG 
XIAO QIUYAO",UNIV XI AN JIAOTONG,2022,2022,"['H02J1/10', 'H02J1/14', 'H02J3/00', 'H02J3/28', 'H02J3/38', 'H02J5/00']","['H02J1/10 (CN)', 'H02J1/14 (CN)', 'H02J3/008 (CN)', 'H02J3/28 (CN)', 'H02J3/388 (CN)', 'H02J5/00 (CN)', 'H02J2300/24 (CN)']",CN
Charge operation method of electric vehicle,"TIELIANG WANG [CN] 
HUA WANG [CN]",TIELIANG WANG [CN],2007,2007,"['B60K1/04', 'H01M10/44', 'H02J7/00']",['Y02E60/10 (EP)'],CN
Charging system for electric automobile,XIANG HUA,SHANGHAI HYDROGEN MOBILE REFORMER INSTR CO LTD,2016,2016,"['B60L11/18', 'H01M4/90', 'H01M8/0612', 'H02J7/00']","['B60L53/30 (CN)', 'B60L53/51 (CN)', 'B60L53/52 (CN)', 'B60L53/54 (CN)', 'H01M4/9016 (CN)', 'H01M8/0618 (CN)', 'H02J7/0027 (CN)', 'H01M2250/20 (CN)', 'Y02E60/50 (EP)', 'Y02T10/70 (EP)', 'Y02T10/7072 (EP)', 'Y02T90/12 (EP)']",CN
Solar electric vehicle,MAO LILONG,MAO LILONG,2015,2014,['B60L8/00'],['Y02T10/7072 (EP)'],CN
fire extinguishing apparatus for electric vehicle,CHUNG DAE WON [KR],CHUNG DAE WON [KR],2022,2021,"['A62C3/07', 'A62C3/16', 'A62C31/02', 'A62C37/38', 'H01M10/42', 'H01M10/48', 'H01M10/613', 'H01M10/625']",['unkown)'],KR
"Battery electric vehicle with battery charging device (Machine-translation by Google Translate, not legally binding)",SCARDELLA PIERO [IT],SCARDELLA PIERO [IT],2024,2022,"['B60L50/60', 'H02J7/14']","['B60K1/00 (PL)', 'B60K1/02 (PL)', 'B60K1/04 (PL)', 'B60K16/00 (PL)', 'B60K17/00 (PL)', 'B60K25/08 (PL)', 'B60L50/50 (PL)', 'B60L50/60 (EP,BR,PL)', 'B60L53/00 (PL)', 'B60L58/14 (EP)', 'B60L58/18 (EP)', 'B60L7/10 (PL)', 'B60L7/24 (PL)', 'B60L8/00 (PL)', 'H02J7/00 (PL)', 'H02N11/008 (EP)', 'Y02T10/70 (EP)']",ES
"FUEL-CELL-BASED ELECTRIC VEHICLE CHARGING SYSTEM, METHOD AND DEVICE, AND STORAGE MEDIUM","SONG FENTAO [CN] 
ZHANG KEWEI [CN]",AIWAYS AUTOMOBILE SHANGHAI CO LTD [CN],2020,2018,['B60L53/00'],"['B60L53/00 (EP)', 'Y02T10/70 (EP)', 'Y02T10/7072 (EP)', 'Y02T10/72 (EP)', 'Y02T90/14 (EP)', 'Y02T90/167 (EP)', 'Y04S30/12 (EP)']",WO
Electricity-hydrogen composite energy charging station optimization scheduling strategy based on energy charging decision prediction,"ZHENG WENDI 
LEE KOO-YONG 
YUAN JIAJUN 
SHAO ZHENGUO 
LYU BOCHAO 
LIU ZHIYUAN 
ZHANG BINGTAO 
SUN JIN",UNIV FUZHOU,2023,2023,"['B60L53/00', 'B60L53/50', 'B60L53/60', 'B60L53/64', 'G06N3/126', 'G06Q10/04', 'G06Q10/0631', 'G06Q50/06']","['B60L53/00 (CN)', 'B60L53/50 (CN)', 'B60L53/60 (CN)', 'B60L53/64 (CN)', 'G06N3/126 (CN)', 'G06Q10/04 (CN)', 'G06Q10/06312 (CN)', 'G06Q50/06 (CN)', 'B60L2260/50 (CN)']",CN
Inter-city road charging station planning method including hydrogen energy distribution,"LIU YUQING 
HU FENG",UNIV WUCHANG TECHNOLOGY,2024,2024,"['G06Q10/047', 'G06Q10/0631', 'G06Q30/0201', 'G06Q30/0204', 'G06Q50/06']","['G06Q10/047 (CN)', 'G06Q10/06312 (CN)', 'G06Q10/06315 (CN)', 'G06Q30/0205 (CN)', 'G06Q30/0206 (CN)', 'G06Q50/06 (CN)']",CN
Double-layer optimization scheduling method and system for micro-energy network containing electric vehicle energy charging station,"XU DA 
ZHANG MINGCAN 
LI HONGJIA 
HUANG ZHANGYOU",UNIV CHINA GEOSCIENCES WUHAN,2024,2024,"['B60L53/31', 'B60L53/62', 'G06Q10/0631', 'G06Q50/06', 'H02J3/00']","['B60L53/31 (CN)', 'B60L53/62 (CN)', 'G06Q10/06312 (CN)', 'G06Q50/06 (CN)', 'H02J3/00 (CN)', 'H02J3/008 (CN)', 'H02J2203/10 (CN)', 'H02J2203/20 (CN)']",CN
Power supply system and method based on electric vehicle storage array and hydrogen fuel cell,"WANG KUAN 
LIU ZHENG 
LIU ZHENGYANG 
HAN FENG 
ZHOU DAXING 
CHEN JING 
SHI LEXIAN 
WEN KAI 
KANG WEIDE 
ZHANG YAQI 
LI LUPING","CHINA RAILWAY CONSTR GROUP CO 
CHINA RAILWAY CONSTRUCTION CORP LTD",2020,2020,"['A62B13/00', 'B60P3/00', 'F24D15/00', 'F24F11/64', 'F24F11/72', 'F24F11/80', 'H02J9/06', 'H02J9/08', 'F24F110/10', 'F24F110/20', 'F24F110/65', 'F24F110/70', 'F24F110/76']","['A62B13/00 (CN)', 'B60P3/00 (CN)', 'F24D15/00 (CN)', 'F24F11/64 (CN)', 'F24F11/72 (CN)', 'F24F11/80 (CN)', 'H02J9/068 (CN)', 'H02J9/08 (CN)', 'F24F2110/10 (CN)', 'F24F2110/20 (CN)', 'F24F2110/65 (CN)', 'F24F2110/70 (CN)', 'F24F2110/76 (CN)', 'Y02B70/30 (EP)', 'Y04S20/20 (EP)']",CN
Hybrid power system of vehicle-mounted aluminum-water hydrogen production fuel cell electric vehicle,"WU QIAN 
YE LIANZHONG 
WU QIANG 
WU WANYI",GUANGDONG HONGYUAN HYDROGEN ENERGY POWER EQUIPMENT MFG CO LTD,2019,2019,"['B60L50/75', 'B60L58/40', 'H01M8/0656']","['B60L50/75 (CN)', 'B60L58/40 (CN)', 'H01M8/0656 (CN)', 'Y02E60/50 (EP)', 'Y02T10/70 (EP)', 'Y02T90/40 (EP)']",CN
Magnetic anti-collision shared charging vehicle for electric vehicle,"XU WEINAN 
XU YONGPING 
WANG ZHENXIANG","XU WEINAN 
XU YONGPING",2021,2021,"['B60L50/60', 'B60L53/16', 'B60L53/18', 'B60L58/12', 'B62D63/06', 'B62D63/08']","['Y02T10/70 (EP)', 'Y02T10/7072 (EP)', 'Y02T90/14 (EP)']",CN
Electric vehicle power system based on fuel cell and control method of electric vehicle power system,"JI MENGBO 
MA XUEMING 
WEI YINCANG",YINLONG ENERGY CO LTD,2019,2017,['B60L58/40'],"['B60L58/40 (CN)', 'B60L2210/10 (CN)', 'Y02T10/70 (EP)', 'Y02T10/72 (EP)']",CN
The invention discloses an electric vehicle power battery voltage balance teaching auxiliary simulation device,"CHEN SHANQIU 
FAN JIANWEN 
FANG RUILIAN 
JIANG ZONGJUN 
FENG CIHANG 
CHEN CHUNLIN 
ZHAO HAIJING 
XIE YIJIE",LUSHAN COLLEGE GUANGXI UNIV SCIENCE & TECHNOLOGY,2019,2018,['G09B23/18'],['unkown)'],CN
Apparatus for hydrogen electric vehicle monitoring for predict abnormal or dangerous situations and method thereof,"JANG JEONG AH 
LEE HYUNMI 
OH SEI CHANG 
YI YONGJU",UNIV AJOU IND ACADEMIC COOP FOUND [KR],2023,2021,"['B60L3/12', 'B60L58/30', 'G06F17/18', 'G06Q50/10', 'G06Q50/30', 'G08B21/18']",['unkown)'],KR
"Charging temperature control device of vehicle battery pack, battery management system and electric vehicle","XIU SHUDONG 
YANG ZHENYU 
LI SHUYE",SVOLT ENERGY TECH COMPANY LTD,2019,2018,"['H01M10/44', 'H01M10/615', 'H01M10/625', 'H01M10/633', 'H01M10/637']",['Y02E60/10 (EP)'],CN
Electric vehicle wind-solar complementary power generation infinite endurance system,ZHAO GUANGJUN,ZHAO GUANGJUN,2021,2020,"['B60L58/10', 'B60L8/00', 'F03D9/11', 'F03D9/32', 'H02J7/35']","['B60L58/10 (CN)', 'B60L8/003 (CN)', 'B60L8/006 (CN)', 'F03D9/11 (CN)', 'F03D9/32 (CN)', 'H02J7/35 (CN)', 'Y02E10/72 (EP)', 'Y02E10/728 (EP)', 'Y02E70/30 (EP)', 'Y02T10/70 (EP)', 'Y02T10/7072 (EP)']",CN
Energy management method and device of hydrogen fuel electric vehicle and storage medium,"ZHANG QINGZHENG 
DONG WENWEN 
ZHANG NING 
YANG XINGUANG 
LIU YANG 
ZENG XUNNAN 
LI ZHONGYU",XCMG CONSTR MACHINERY CO LTD SCIENCE & TECHNOLOGY BRANCH,2024,2023,"['B60L50/75', 'B60L58/12', 'B60L58/13', 'B60L58/40']","['B60L50/75 (CN)', 'B60L58/12 (CN)', 'B60L58/13 (CN)', 'B60L58/40 (CN)', 'B60L2200/40 (CN)']",CN
TEMPERATURE CONTROL METHOD FOR NICKEL-HYDROGEN BATTERY,"SATO NOBORU 
NAKATANI KATSUNORI",HONDA MOTOR CO LTD,1995,1993,"['H01M10/50', 'H01M10/50']",['unkown)'],JP
Hydrogen energy moped control system,"TAO ANPING 
HUANG DEYUN 
XU PEI 
CEN JIAN 
JIANG BING 
MIAO HONGXIA 
LI WEI",YOUON TECH CO LTD,2019,2019,"['B60L58/30', 'B60L58/33', 'B60L58/40', 'B62H5/00', 'B62M6/45']","['Y02T10/70 (EP)', 'Y02T90/40 (EP)']",CN
ELECTRIC VEHICLE,"TAKEI RIKI 
MIZUSHITA YOSHINORI 
HIRAMITSU YUSUKE 
NAKANE KAZUYOSHI 
TASHIRO KEISUKE",MITSUBISHI MOTORS CORP,2018,2017,"['B60L11/18', 'H01M8/04701', 'B60K1/04', 'B60K8/00', 'H01M8/00', 'H01M8/04', 'B60L50/75', 'H01M8/04291', 'H01M8/043']","['Y02E60/50 (EP)', 'Y02T10/70 (EP)', 'Y02T90/40 (EP)']",JP
"AN ADAPTER, SYSTEM AND ARRANGEMENT FOR MONITORING THE BATTERY OF AN ELECTRIC VEHICLE","ADAMS RALF ARNOLDUS ANTONIUS [NL] 
WIJNANS HENDRICUS JOHANNES BERNARDUS [NL] 
HUIJDING ERIC COENRAAD [NL]","ADAMS RALF ARNOLDUS ANTONIUS [NL] 
WIJNANS HENDRICUS JOHANNES BERNARDUS [NL]",2023,2021,"['B60L53/16', 'B60L53/62']","['B60L53/16 (EP)', 'B60L53/18 (EP)', 'B60L53/305 (EP)', 'B60L53/62 (EP)', 'B60L2250/10 (EP)', 'Y02T10/70 (EP)', 'Y02T10/7072 (EP)', 'Y02T90/12 (EP)', 'Y02T90/14 (EP)', 'Y02T90/16 (EP)']",EP
Extended range type electric vehicle power system based on fuel battery and control method for extended range type electric vehicle power system,"CHANGJUN XIE 
SHUHAI QUAN 
DI SHEN 
YING SHI 
LIANG HUANG 
QIHONG CHEN 
XIAOMING SUN 
LIYAN ZHANG 
JIAN DENG 
XIE CHANGJUN 
QUAN SHUHAI 
SHEN DI 
SHI YING 
HUANG LIANG 
CHEN QIHONG 
SUN XIAOMING 
ZHANG LIYAN 
DENG JIAN",UNIV WUHAN TECH,2012,2011,['B60L11/18'],['Y02T10/70 (EP)'],CN
Topological structure of extended-range hydrogen fuel cell hybrid electric vehicle and energy distribution method,"HYUN DONG-KIL 
HUANG YIN 
HU HAOQIN 
TAN JIAQI 
LU CHENLEI 
LIU SHENGNAN 
KANG ZEHAO 
MAO XUPING",UNIV WENZHOU,2023,2022,"['B60L50/40', 'B60L50/75', 'B60L58/40']","['B60L50/40 (CN)', 'B60L50/75 (CN)', 'B60L58/40 (CN)', 'B60L2240/54 (CN)', 'Y02T10/70 (EP)']",CN
Remove quick storage battery car,"FAN PINLIANG 
FAN DEXIAN 
FAN ZHIQIANG 
ZOU GUOHUI 
HONG CHENDAN","FAN PINLIANG 
ZOU GUOHUI",2016,2016,"['B60L11/18', 'B60P3/00', 'H02J7/00']","['Y02T10/70 (EP)', 'Y02T90/167 (EP)', 'Y04S30/12 (EP)']",CN
"Hybrid electric vehicle, discharging control method and control device thereof and storage medium","YIN JIANKUN 
MA YANHONG 
SONG HAOYUAN",CHINA FAW GROUP CORP,2022,2022,"['B60L53/20', 'B60L58/40']","['B60L53/20 (CN)', 'B60L58/40 (CN)', 'Y02T90/14 (EP)']",CN
Electric automobile water hydrogen charging device,XIANG HUA,SHANGHAI HYDROGEN MOBILE REFORMER INSTR CO LTD,2016,2015,"['C01B3/32', 'H01M8/0612', 'H01M8/22', 'H02J7/00']",['Y02E60/50 (EP)'],CN
Emergency power supply system based on coupling of electric vehicle storage array and hydrogen fuel cell,"WANG KUAN 
LIU ZHENG 
LIU ZHENGYANG 
HAN FENG 
ZHOU DAXING 
CHEN JING 
SHI LEXIAN 
WEN KAI 
KANG WEIDE 
ZHANG YAQI 
LI LUPING","CHINA RAILWAY CONSTR GROUP CO 
CHINA RAILWAY CONSTRUCTION CORP LTD",2021,2020,"['A62B13/00', 'B60P3/00', 'F24D15/00', 'F24F11/64', 'F24F11/72', 'F24F11/80', 'H02J9/06', 'H02J9/08', 'F24F110/10', 'F24F110/20', 'F24F110/65', 'F24F110/70', 'F24F110/76']",['unkown)'],CN
Vehicle-to-vehicle charging system and method and electric vehicle,"ZHENG SHUAI 
WU WEI 
LIU XILONG 
HE JIN 
ZHANG YAMING",AIWAYS AUTO CO LTD,2021,2021,"['B60L50/40', 'B60L50/60', 'B60L53/14', 'B60L58/10']","['B60L50/40 (CN)', 'B60L50/60 (CN)', 'B60L53/14 (CN)', 'B60L58/10 (CN)', 'Y02T10/70 (EP)', 'Y02T10/7072 (EP)', 'Y02T90/14 (EP)']",CN
Electric vehicle charge control method and system,DONG WAN,WUHU MOTIONTEC AUTOMOTIVE CO LTD,2012,2011,['H02J7/00'],['unkown)'],CN
Electric vehicle charging and discharging facility fire alarm system based on monitor,"OU HIROSHI 
ZHAO XIAORONG 
ZHAO XIAOYU 
LI TAISHENG 
LIN JUPENG 
HOU LIQUN 
ZHANG YAQI 
WEN KAI",CHINA RAILWAY CONSTR GROUP CO,2022,2021,"['G08B17/06', 'G08B17/10', 'G08B21/00', 'G08B21/16']",['unkown)'],CN
High-voltage system for fuel cell dual-source electric vehicle,"SONG WEI 
XUE YUNHONG 
NING FANKUN",SINO TRUK JINAN POWER CO LTD,2017,2017,"['B60L11/18', 'B60L3/04']","['B60L3/04 (CN)', 'B60L58/10 (CN)', 'B60L58/40 (CN)', 'B60L2210/10 (CN)', 'Y02T10/70 (EP)', 'Y02T10/72 (EP)']",CN
Wireless sensing charging system for composite multifunctional power supply of electric vehicle,"JIANXUN JIN 
JIN JIANXUN",UNIV ELECTRONIC SCIENCE & TECH,2011,2010,"['H02J50/12', 'H02J7/02']",['unkown)'],CN
Prevent charging system of electric motor car removal when charging,"LU SHIMIN 
DOU WANKUN 
XU WENQING 
ZHU HONGJUN",JIANGSU KINGBON VEHICLE CO LTD,2019,2018,"['B60L3/00', 'B60L53/66']","['Y02T10/70 (EP)', 'Y02T10/7072 (EP)', 'Y02T90/12 (EP)', 'Y02T90/16 (EP)']",CN
GENERATION CONTROLLER FOR HYBRID ELECTRIC VEHICLE,"MATSUSHITA KENJI 
FUJITSUKA MASASHI",MITSUBISHI ELECTRIC CORP,2002,2000,"['B60K6/02', 'B60L11/12', 'H01M10/42', 'H01M10/44', 'H01M10/48', 'H02J7/00', 'B60K6/20', 'B60K6/32', 'B60K6/46', 'B60L50/15', 'B60W10/06', 'B60W10/08', 'B60W10/26', 'B60W20/00', 'H01M10/42', 'H01M10/44', 'H01M10/48', 'H02J7/00']","['Y02E60/10 (EP)', 'Y02T10/62 (EP)', 'Y02T10/70 (EP)', 'Y02T10/7072 (EP)', 'Y02T90/40 (EP)']",JP
Energy management method and device for hydrogen fuel cell electric vehicle and storage medium,"ZHOU JIANHAO 
HAI BIN 
SAI YINGHUI 
SONG TINGLUN 
ZHOU ZHIGUANG 
WANG LEI 
FANG SHI",CHERY AUTOMOBILE CO LTD,2020,2020,"['B60W10/26', 'B60W10/28', 'B60W20/10', 'B60W40/00', 'B60W40/105']","['B60W10/26 (CN)', 'B60W10/28 (CN)', 'B60W20/10 (CN)', 'B60W40/00 (CN)', 'B60W40/105 (CN)', 'Y02T90/40 (EP)']",CN
Multi-source emergency power supply system based on electric vehicle storage array,"WANG KUAN 
LIN JUPENG 
WANG ZHENXING 
FANG HONGWEI 
HAN FENG 
CHEN JING 
SHI LEXIAN 
LI YIN","CHINA RAILWAY CONSTR GROUP CO 
CHINA RAILWAY CONSTRUCTION CORP LTD",2021,2020,"['A62B13/00', 'B60P3/00', 'F24D15/00', 'F24F11/64', 'F24F11/72', 'F24F11/80', 'H02J9/06', 'H02J9/08', 'F24F110/10', 'F24F110/20', 'F24F110/65', 'F24F110/70', 'F24F110/76']",['unkown)'],CN
Solar and hydrogen fuel battery field charging pile facing small-scaled equipment,"CHEN JIAN 
ZHANG ZICHAO 
HAN YU 
WANG SHUBO 
WANG GUANGQI 
DU NANNAN 
MENG HAO 
CAO YI 
ZHOU NING 
LI YECHEN 
WANG RUI",UNIV CHINA AGRICULTURAL,2019,2019,"['B60L53/31', 'B60L53/51', 'B60L53/53', 'B60L53/54', 'H02J7/00']","['H02J7/0027 (CN)', 'Y02E60/36 (EP)', 'Y02T10/70 (EP)', 'Y02T10/7072 (EP)', 'Y02T90/12 (EP)']",CN
Electric automobile removes storage battery car,XIANG HUA,SHANGHAI HYDROGEN MOBILE REFORMER INSTR CO LTD,2018,2016,"['B60L11/18', 'H01M8/04746', 'H01M8/0612', 'H02J7/32', 'H02J7/35']","['Y02E60/50 (EP)', 'Y02T10/70 (EP)']",CN
Fuel battery and solar energy combined supply type electric vehicle,LI JUNJIAO,LI JUNJIAO,2015,2013,"['B60L11/18', 'B60L8/00']","['Y02T10/70 (EP)', 'Y02T10/7072 (EP)', 'Y02T10/72 (EP)']",CN
SUPPLY STATION,"KIMURA KIYOSHI 
TAKESHIMA AYUMI",TATSUNO CORP,2024,2022,"['B60L53/53', 'B60L53/54', 'B60L53/57', 'F17C5/06', 'H02J7/00']",['unkown)'],JP
Vehicle-mounted hydrogen fuel cell pre-charge protection circuit and method and electric vehicle,"ZHONG PEIWEN 
DAI GUANGQIAO 
FU YOU 
WANG ZHENHUA",ZHONGZHI YIKE CHENGDU AUTOMOBILE CO LTD,2019,2019,"['B60L3/00', 'B60L53/14']","['B60L3/00 (CN)', 'B60L53/14 (CN)', 'Y02T10/70 (EP)', 'Y02T10/7072 (EP)', 'Y02T90/14 (EP)']",CN
Charging system using a hydrogen car,KIM JIN SEON [KR],DAE HAE CO LTD [KR],2018,2016,['B60L11/18'],"['B60L50/71 (KR)', 'B60L53/16 (KR)', 'B60L53/18 (KR)', 'B60L53/20 (KR)', 'B60L53/30 (KR)', 'B60L53/665 (KR)', 'B60L2210/10 (KR)', 'B60Y2200/91 (KR)', 'B60Y2200/92 (KR)', 'Y02T10/70 (EP)', 'Y02T10/7072 (EP)', 'Y02T90/12 (EP)', 'Y02T90/14 (EP)', 'Y02T90/40 (EP)']",KR
Fusion charging system for integrating hydrogen charging technique and electric charging echnique,KIM YOUNG HO [KR],KOREA ENERGY SOLUTION [KR],2023,2021,"['B60L3/00', 'B60L53/54', 'B60L58/30', 'B60L58/40', 'C01B3/38', 'F17C13/02', 'F17C5/06', 'H01M8/0606']","['B60L3/0092 (KR)', 'B60L53/54 (KR)', 'B60L58/30 (KR)', 'B60L58/40 (KR)', 'C01B3/38 (KR)', 'F17C13/025 (KR)', 'F17C5/06 (KR)', 'H01M8/0606 (KR)', 'B60Y2200/91 (KR)', 'F17C2221/012 (KR)', 'F17C2227/0157 (KR)', 'F17C2250/0626 (KR)', 'F17C2265/07 (KR)', 'F17C2270/0139 (KR)', 'H01M2250/10 (KR)', 'Y02E60/30 (KR)', 'Y02E60/50 (KR)', 'Y02T10/70 (KR)', 'Y02T10/7072 (KR)', 'Y02T90/10 (KR)', 'Y02T90/40 (KR)']",KR
New energy vehicle charging distribution method,PAN GUANGLIAN,FOSHAN QINHSHENG TECH CO LTD,2018,2018,"['B60L11/18', 'B60L53/30', 'B60L53/54', 'B60L53/68']","['B60L53/30 (CN)', 'B60L53/60 (CN)', 'Y02T10/70 (EP)', 'Y02T10/7072 (EP)', 'Y02T90/12 (EP)', 'Y02T90/16 (EP)']",CN
Wind/ luminous/electric integrated centralized energy storage type electric vehicle charging system,JING HUI,SICHUAN NEWBORN POWER MFG CO LTD,2014,2013,"['H02J3/28', 'H02J7/00']","['Y02P80/10 (EP)', 'Y02P80/20 (EP)']",CN
Charging system by hydrogen car,LEE HAE GON [KR],LEE HAE GON [KR],2018,2016,['B60L11/18'],"['B60L50/71 (KR)', 'B60L53/16 (KR)', 'B60L53/18 (KR)', 'B60L53/20 (KR)', 'B60L53/30 (KR)', 'B60L53/665 (KR)', 'B60L2210/10 (KR)', 'B60Y2200/91 (KR)', 'B60Y2200/92 (KR)', 'Y02T10/70 (EP)', 'Y02T10/7072 (EP)', 'Y02T10/72 (EP)', 'Y02T90/12 (EP)', 'Y02T90/14 (EP)', 'Y02T90/40 (EP)']",KR
Control system and method of hydrogen energy booster,"TAO ANPING 
HUANG DEYUN 
XU PEI 
CEN JIAN 
JIANG BING 
MIAO HONGXIA 
LI WEI",YOUON TECH CO LTD,2019,2019,"['B60L58/30', 'B60L58/33', 'B60L58/40', 'B62H5/00', 'B62M6/45']","['B62H5/00 (CN)', 'B62M6/45 (CN)', 'B60L2200/46 (CN)', 'Y02T10/70 (EP)', 'Y02T90/40 (EP)']",CN
Electric vehicle overall control device,"LI HUIQI 
OUYANG JIAN 
ZHOU YUANSHAN",GUANGZHOU YIWE ELECTRIC VEHICLE CO LTD,2015,2014,"['B60L15/00', 'B60L15/20', 'B60L3/00', 'H02J7/00']","['Y02T10/72 (EP)', 'Y02T90/16 (EP)']",CN
ELECTRIC VEHICLE CHARGING ROADWAY POWERED BY STANDALONE DYNAMIC OUTPUT HYDROGEN FUEL CELLS,"GULATI GURJEET [US] 
HARTSFIELD BARRY [US]","GULATI GURJEET [US] 
HARTSFIELD BARRY [US]",2024,2022,"['B60L53/39', 'B60L53/54', 'B60L53/57', 'H01M8/04858', 'H02J50/10', 'H02J50/40']","['B60L53/126 (EP)', 'B60L53/39 (EP,US)', 'B60L53/54 (EP,US)', 'B60L53/57 (EP,US)', 'H01M8/04932 (EP,US)', 'H02J50/10 (EP,US)', 'H02J50/40 (EP,US)', 'H01M2250/10 (US)', 'H02J2310/48 (EP)']",US
Mobile charging vehicle,ZHANG WEI,SHENZHEN GUOQI AOYUAN TECH CO LTD,2019,2018,"['B60L53/50', 'B60L53/51', 'B60L53/52', 'B60P3/00', 'H02J7/14', 'H02J7/35']","['Y02T10/70 (EP)', 'Y02T10/7072 (EP)', 'Y02T90/12 (EP)']",CN
Electric vehicle charging pile,WEN MING,SHENZHEN DIANLAN NEW ENERGY TECH CO LTD,2021,2020,"['B60L53/16', 'B60L53/302', 'B60L53/31', 'B60L53/66']","['Y02T10/70 (EP)', 'Y02T10/7072 (EP)', 'Y02T90/12 (EP)', 'Y02T90/14 (EP)', 'Y02T90/16 (EP)']",CN
Hierarchical energy management method for hybrid electric vehicle based on deep reinforcement learning algorithm,"FU ZHUMU 
GONG HUIXIAN 
TAO FAZHAN 
GAO SONG 
JI BAOFENG 
DONG YONGSHENG 
FAN PENGYU 
WU YANG",HENAN SCIENCE AND TECHNOLOGY UNIV,2022,2021,"['B60L50/40', 'B60L50/75', 'B60L58/12', 'B60L58/40']","['Y02T10/70 (EP)', 'Y02T90/40 (EP)']",CN
Design method for balancing dynamic performance and endurance mileage of hybrid energy electric vehicle,ZHAO XIN,ZHAO XIN,2024,2024,"['B60L58/12', 'B60L58/24', 'B60L58/40']",['Y02T10/70 (EP)'],CN
Hydrogen fuel and lithium ion battery combined electric vehicle power system,"LU GUIBING 
ZHAO YUMIN 
WANG FUJUN 
ZHANG JIAMOU 
CHEN XUQIANG",HANTENG AUTOMOBILE CO LTD,2019,2018,"['B60L15/20', 'B60L50/60', 'B60L50/75', 'B60L58/10', 'B60L58/30']","['Y02T10/70 (EP)', 'Y02T10/72 (EP)', 'Y02T90/40 (EP)']",CN
INTEGRATED SOLAR-POWERED HIGH-PRESSURE HYDROGEN PRODUCTION AND BATTERY CHARGING SYSTEM,"KELLY NELSON A [US] 
GIBSON THOMAS L [US] 
CAI MEI [US]","GM GLOBAL TECH OPERATIONS INC [US] 
KELLY NELSON A [US] 
GIBSON THOMAS L [US] 
CAI MEI [US]",2010,2009,"['C25B1/02', 'C01B3/04', 'C25B1/04']","['H01M8/04208 (EP,CN,US)', 'H01M8/0656 (EP,CN,US)', 'H02J7/35 (EP,CN,US)', 'H02S40/00 (CN)', 'H02S40/38 (EP,US)', 'H02S40/44 (EP,US)', 'H01M2250/20 (EP,CN,US)', 'H01M8/04216 (EP,CN,US)', 'Y02E10/56 (EP,US)', 'Y02E10/60 (EP,US)', 'Y02E60/36 (EP,US)', 'Y02E60/50 (EP)', 'Y02E70/30 (EP)', 'Y02P20/133 (EP,US)', 'Y02T90/40 (EP,US)']",US
"Electric vehicle energy service station based on SOFC, and running control method thereof","LI HANG 
LI WENYING 
WANG SHAORONG",SICHUAN ENERGY INT RES INST TSINGHUA UNIV,2019,2018,"['B60L53/57', 'B60L53/66', 'F17C13/02', 'F17C5/04', 'H02J3/38']","['Y02A30/60 (EP)', 'Y02E60/32 (EP)', 'Y02T10/70 (EP)', 'Y02T10/7072 (EP)', 'Y02T90/12 (EP)', 'Y02T90/16 (EP)']",CN
MOBILE DEVICE FOR CHARGING ELECTRIC VEHICLES,LASHIN DMITRII ALEKSANDROVICH [RU],LASHIN DMITRII ALEKSANDROVICH [RU],2023,2021,"['B60L53/53', 'B60L53/57', 'H02J7/00']","['B60L53/53 (EP)', 'B60L53/57 (EP)', 'H02J7/00 (EP)', 'Y02T10/70 (EP)']",WO
Multifunctional hydrogen refueling station based on fuel cell,"HOU ZHIPENG 
ZHANG WEIDONG 
GUO YAFENG 
CHEN LIHUA",SHAOXING SHENSEN ENERGY SCIENCE AND TECH LIMITED COMPANY,2022,2022,"['B60L53/30', 'E04H3/00', 'F24D15/00', 'F24D19/10', 'H01M8/04', 'H01M8/04082', 'H01M8/0606']","['Y02B10/70 (EP)', 'Y02E60/50 (EP)', 'Y02T10/70 (EP)', 'Y02T10/7072 (EP)', 'Y02T90/12 (EP)']",CN
BATTERY RECYCLE POWER STORAGE SYSTEM FOR ELECTRIC VEHICLE,TANAKA KATSUMI,TANAKA KATSUMI,2021,2019,"['B60K1/04', 'B60K6/28', 'B60L50/61', 'B60L53/80', 'H01M10/42', 'H01M10/44', 'H01M50/20', 'H02J7/00']","['Y02E60/10 (EP)', 'Y02T10/62 (EP)', 'Y02T10/70 (EP)', 'Y02T10/7072 (EP)']",JP
