,position,title,data_cid,link,publication,snippet,type,inline_links,resource,authors
120,1,Progettazione e implementazione di un chatbot intelligente tramite piattaforma LangChain: studio e valutazione dei VectorDB,IgL34JfSgl4J,https://amslaurea.unibo.it/id/eprint/32282/,M Florio - amslaurea.unibo.it,"… l'utilizzo della piattaforma Langchain, per conto dell'azienda Data Reply srl. Innanzitutto, saranno presentati argomenti come Generative AI, LLM e LangChain, sarà fornita una …",,"{'related_articles_link': 'https://scholar.google.com/scholar?q=related:IgL34JfSgl4J:scholar.google.com/&scioq=Langchain&hl=en&num=20&as_sdt=0,5', 'cached_page_link': 'https://scholar.googleusercontent.com/scholar?q=cache:IgL34JfSgl4J:scholar.google.com/+Langchain&hl=en&num=20&as_sdt=0,5'}","{'name': 'unibo.it', 'format': 'PDF', 'link': 'https://amslaurea.unibo.it/id/eprint/32282/1/Tesi_Michelangelo_Florio.pdf'}",
121,2,TrOCR-Enhanced Language Chains: Bridging Image-Based Text and Single Document Question Answering,SqfUjz305j8J,https://link.springer.com/chapter/10.1007/978-981-97-4359-9_49,"P Althaf, SR Vinta - International Conference on Machine Vision and …, 2023 - Springer","… LangChain. The number one objective of the investigation lies in the examination of LangChain, … This takes a look into an evaluation of the core attributes of LangChain, clarify its chains …",,"{'related_articles_link': 'https://scholar.google.com/scholar?q=related:SqfUjz305j8J:scholar.google.com/&scioq=Langchain&hl=en&num=20&as_sdt=0,5'}",,"[{'name': 'SR Vinta', 'id': '6Os6-z0AAAAJ', 'link': 'https://scholar.google.com/citations?user=6Os6-z0AAAAJ&hl=en&num=20&oi=sra'}]"
122,3,Ethereum AI Agent Coordinator (EAAC): A Framework for AI Agent Activity Coordination,ZIw9fviF1bUJ,https://openreview.net/forum?id=n2dVVwZwPP,"T Kim - Agentic Markets Workshop at ICML 2024, 2024 - openreview.net",… Code snippet of EAAC wrapper (Langchain). The EAAC wrapper is used with a Langchain-generated AI agent to maintain consistency in syntax and user experience. It automates …,,"{'cited_by': {'cites_id': '13102525993220672612', 'total': 2, 'link': 'https://scholar.google.com/scholar?cites=13102525993220672612&as_sdt=2005&sciodt=0,5&hl=en&num=20'}, 'related_articles_link': 'https://scholar.google.com/scholar?q=related:ZIw9fviF1bUJ:scholar.google.com/&scioq=Langchain&hl=en&num=20&as_sdt=0,5', 'cached_page_link': 'https://scholar.googleusercontent.com/scholar?q=cache:ZIw9fviF1bUJ:scholar.google.com/+Langchain&hl=en&num=20&as_sdt=0,5'}","{'name': 'openreview.net', 'format': 'PDF', 'link': 'https://openreview.net/pdf?id=n2dVVwZwPP'}",
123,4,An Automated Multi-Phase Facilitation Agent Based on LLM,qm74I0tM3tsJ,https://search.ieice.org/bin/summary.php?id=e107-d_4_426,"Y Dong, S Ding, T Ito - IEICE TRANSACTIONS on Information and …, 2024 - search.ieice.org","… , the comparison with the Python library called LangChain in the structure of projects also should be raised in this section since LangChain was designed and implemented based on …",,"{'cited_by': {'cites_id': '15843184424745725610', 'total': 7, 'link': 'https://scholar.google.com/scholar?cites=15843184424745725610&as_sdt=2005&sciodt=0,5&hl=en&num=20'}, 'versions': {'cluster_id': '15843184424745725610', 'total': 6, 'link': 'https://scholar.google.com/scholar?cluster=15843184424745725610&hl=en&num=20&as_sdt=0,5'}, 'related_articles_link': 'https://scholar.google.com/scholar?q=related:qm74I0tM3tsJ:scholar.google.com/&scioq=Langchain&hl=en&num=20&as_sdt=0,5'}","{'name': 'jst.go.jp', 'format': 'PDF', 'link': 'https://www.jstage.jst.go.jp/article/transinf/E107.D/4/E107.D_2023IHP0011/_pdf'}","[{'name': 'T Ito', 'id': 'eq7P_4YAAAAJ', 'link': 'https://scholar.google.com/citations?user=eq7P_4YAAAAJ&hl=en&num=20&oi=sra'}]"
124,5,APPLICABILITY OF AN AI CHAT ASSISTANT IN RESOLVING,CF66rmtnMEYJ,https://arkadiuszkulpa.co.uk/wp-content/uploads/2024/04/Public-Report-Arkadiusz-Kulpa-Applicability-of-an-AI-Chat-Assistant-in-resolving-knowledge-compartmentalization-within-a-workplace.pdf,A Kulpa - arkadiuszkulpa.co.uk,"This report aims to investigate whether AI Innovations can help manage complex operations of a company suffering from compartmentalized knowledge, where various teams need to …",PDF,"{'related_articles_link': 'https://scholar.google.com/scholar?q=related:CF66rmtnMEYJ:scholar.google.com/&scioq=Langchain&hl=en&num=20&as_sdt=0,5', 'cached_page_link': 'https://scholar.googleusercontent.com/scholar?q=cache:CF66rmtnMEYJ:scholar.google.com/+Langchain&hl=en&num=20&as_sdt=0,5'}","{'name': 'arkadiuszkulpa.co.uk', 'format': 'PDF', 'link': 'https://arkadiuszkulpa.co.uk/wp-content/uploads/2024/04/Public-Report-Arkadiusz-Kulpa-Applicability-of-an-AI-Chat-Assistant-in-resolving-knowledge-compartmentalization-within-a-workplace.pdf'}",
125,6,Effective documentation practices for enhancing user interaction through GPT-powered conversational interfaces,UO4qjjMEvskJ,https://aait.op.edu.ua/index.php/journal/article/view/245,"ОІ Шеремет, ОВ Садовой, КС Шеремет… - Прикладні аспекти …, 2024 - aait.op.edu.ua","… PDF documents using the LangChain infrastructure, highlighting … By leveraging the special capabilities of the LangChain … LangChain provides a versatile framework that bridges large …",,"{'cited_by': {'cites_id': '14537061266673561168', 'total': 1, 'link': 'https://scholar.google.com/scholar?cites=14537061266673561168&as_sdt=2005&sciodt=0,5&hl=en&num=20'}, 'versions': {'cluster_id': '14537061266673561168', 'total': 3, 'link': 'https://scholar.google.com/scholar?cluster=14537061266673561168&hl=en&num=20&as_sdt=0,5'}, 'related_articles_link': 'https://scholar.google.com/scholar?q=related:UO4qjjMEvskJ:scholar.google.com/&scioq=Langchain&hl=en&num=20&as_sdt=0,5', 'cached_page_link': 'https://scholar.googleusercontent.com/scholar?q=cache:UO4qjjMEvskJ:scholar.google.com/+Langchain&hl=en&num=20&as_sdt=0,5'}","{'name': 'op.edu.ua', 'format': 'PDF', 'link': 'https://aait.op.edu.ua/index.php/journal/article/download/245/248'}","[{'name': 'ОВ Садовой', 'id': 'N9_6bmQAAAAJ', 'link': 'https://scholar.google.com/citations?user=N9_6bmQAAAAJ&hl=en&num=20&oi=sra'}]"
126,7,Implementing traffic agent based on LangGraph,-Iwh97J7WVwJ,https://www.spiedigitallibrary.org/conference-proceedings-of-spie/13422/1342226/Implementing-traffic-agent-based-on-LangGraph/10.1117/12.3050639.short,"H Chen, Y Ding - … on Intelligent Traffic Systems and Smart City …, 2025 - spiedigitallibrary.org","… method provided by LangChain for assembling chains. Chains … However, chains constructed in LangChain do not have … LangChain but an extension library built on top of LangChain. …",,"{'versions': {'cluster_id': '6654485932997184760', 'total': 2, 'link': 'https://scholar.google.com/scholar?cluster=6654485932997184760&hl=en&num=20&as_sdt=0,5'}, 'related_articles_link': 'https://scholar.google.com/scholar?q=related:-Iwh97J7WVwJ:scholar.google.com/&scioq=Langchain&hl=en&num=20&as_sdt=0,5'}",,"[{'name': 'Y Ding', 'id': 'G7z5bZcAAAAJ', 'link': 'https://scholar.google.com/citations?user=G7z5bZcAAAAJ&hl=en&num=20&oi=sra'}]"
127,8,Chain-of-thoughts prompting with language models for accurate math problem-solving,CbI8WJ1Kkw4J,https://ieeexplore.ieee.org/abstract/document/10534945/,"SCE Fung, MF Wong, CW Tan - 2023 IEEE MIT Undergraduate …, 2023 - ieeexplore.ieee.org","… In this study, Langchain serves as the foundation for creating a framework to solve mathematical problems. The framework incorporates two powerful techniques: zero-shot learning and …",,"{'cited_by': {'cites_id': '1050265177758151177', 'total': 3, 'link': 'https://scholar.google.com/scholar?cites=1050265177758151177&as_sdt=2005&sciodt=0,5&hl=en&num=20'}, 'versions': {'cluster_id': '1050265177758151177', 'total': 2, 'link': 'https://scholar.google.com/scholar?cluster=1050265177758151177&hl=en&num=20&as_sdt=0,5'}, 'related_articles_link': 'https://scholar.google.com/scholar?q=related:CbI8WJ1Kkw4J:scholar.google.com/&scioq=Langchain&hl=en&num=20&as_sdt=0,5'}",,"[{'name': 'MF Wong', 'id': 'O-2toaQAAAAJ', 'link': 'https://scholar.google.com/citations?user=O-2toaQAAAAJ&hl=en&num=20&oi=sra'}]"
128,9,Reply: Refining retrieval and chunking strategies for enhanced clinical reliability of large language models in liver disease,-BbtWTRpsXQJ,https://journals.lww.com/hep/fulltext/2024/11000/reply__refining_retrieval_and_chunking_strategies.34.aspx,"J Ge, S Sun, J Owens, V Galvez, O Gologorskaya… - Hepatology, 2024 - journals.lww.com","… Finally, we utilized the LangChain library for our text chunking strategy. In summary, the contents of the pdf files were split into paragraphs (“\n\n”), sentences (“\n”), words (“ “), and …",,"{'versions': {'cluster_id': '8408617652845352696', 'total': 6, 'link': 'https://scholar.google.com/scholar?cluster=8408617652845352696&hl=en&num=20&as_sdt=0,5'}, 'related_articles_link': 'https://scholar.google.com/scholar?q=related:-BbtWTRpsXQJ:scholar.google.com/&scioq=Langchain&hl=en&num=20&as_sdt=0,5'}",,"[{'name': 'J Ge', 'id': 'L2JpoFsAAAAJ', 'link': 'https://scholar.google.com/citations?user=L2JpoFsAAAAJ&hl=en&num=20&oi=sra'}]"
129,10,An abstractive summarization and conversation bot using t5 and its variants,HhVcqms4ZRsJ,https://ieeexplore.ieee.org/abstract/document/10465740/,"D Sudharson, KST Vaishnavi… - … on Advances in …, 2023 - ieeexplore.ieee.org","… LangChain helps in building large language model applications. It discusses the components of LangChain and how LangChain helps LLM to improve its efficiency. In RNNs, …",,"{'cited_by': {'cites_id': '1974046046742648094', 'total': 2, 'link': 'https://scholar.google.com/scholar?cites=1974046046742648094&as_sdt=2005&sciodt=0,5&hl=en&num=20'}, 'related_articles_link': 'https://scholar.google.com/scholar?q=related:HhVcqms4ZRsJ:scholar.google.com/&scioq=Langchain&hl=en&num=20&as_sdt=0,5'}",,"[{'name': 'D Sudharson', 'id': 'a1aKwW4AAAAJ', 'link': 'https://scholar.google.com/citations?user=a1aKwW4AAAAJ&hl=en&num=20&oi=sra'}]"
130,11,Embodied epistemology: A meta-cognitive exploration of chatbot-enabled document analysis,ubpzaaH0MiEJ,https://ieeexplore.ieee.org/abstract/document/10392618/,"A Ainapure, S Dhamane… - … on Evolutionary Algorithms …, 2023 - ieeexplore.ieee.org","… The research relies on the LangChain framework, while a Streamlit based homepage enhances user interactions. This work exemplifies the LangChain and LLM Model’s potential to …",,"{'cited_by': {'cites_id': '2392243326183258809', 'total': 2, 'link': 'https://scholar.google.com/scholar?cites=2392243326183258809&as_sdt=2005&sciodt=0,5&hl=en&num=20'}, 'related_articles_link': 'https://scholar.google.com/scholar?q=related:ubpzaaH0MiEJ:scholar.google.com/&scioq=Langchain&hl=en&num=20&as_sdt=0,5'}",,
131,12,Enhancing propaganda detection with open source language models: A comparative study,_OW5tLGmDA4J,https://journals.phl.univie.ac.at/meicogsci/article/view/822,"O Lytvyn - Proceedings of the MEi: CogSci Conference, 2024 - journals.phl.univie.ac.at",… F1 score compared to the base model and the model integrated with LangChain. The integration with LangChain shows promise in achieving the effectiveness of GPT-4 in precision …,,"{'cited_by': {'cites_id': '1012367298423023100', 'total': 1, 'link': 'https://scholar.google.com/scholar?cites=1012367298423023100&as_sdt=2005&sciodt=0,5&hl=en&num=20'}, 'related_articles_link': 'https://scholar.google.com/scholar?q=related:_OW5tLGmDA4J:scholar.google.com/&scioq=Langchain&hl=en&num=20&as_sdt=0,5', 'cached_page_link': 'https://scholar.googleusercontent.com/scholar?q=cache:_OW5tLGmDA4J:scholar.google.com/+Langchain&hl=en&num=20&as_sdt=0,5'}",,
132,13,Towards Generating Bebras Tasks Using Large Language Models: What Criteria to Use for Evaluation,vS7hg9ccaAIJ,https://researchportal.helsinki.fi/files/423226596/ISSEP_2024_Poster_Final.pdf,"LCY Mannila, F Strömbäck… - … on informatics in …, 2024 - researchportal.helsinki.fi","… We propose a pipeline using LangChain which is an open-source framework designed for … After the generation of a task it gets fed into the LangChain pipeline, and in each stage an …",PDF,"{'related_articles_link': 'https://scholar.google.com/scholar?q=related:vS7hg9ccaAIJ:scholar.google.com/&scioq=Langchain&hl=en&num=20&as_sdt=0,5', 'cached_page_link': 'https://scholar.googleusercontent.com/scholar?q=cache:vS7hg9ccaAIJ:scholar.google.com/+Langchain&hl=en&num=20&as_sdt=0,5'}","{'name': 'helsinki.fi', 'format': 'PDF', 'link': 'https://researchportal.helsinki.fi/files/423226596/ISSEP_2024_Poster_Final.pdf'}","[{'name': 'LCY Mannila', 'id': 'sSmaTKyAk8MC', 'link': 'https://scholar.google.com/citations?user=sSmaTKyAk8MC&hl=en&num=20&oi=sra'}, {'name': 'F Strömbäck', 'id': 'JYWlmpgAAAAJ', 'link': 'https://scholar.google.com/citations?user=JYWlmpgAAAAJ&hl=en&num=20&oi=sra'}]"
133,14,Parameter recommendation system enhanced by RAG based on process knowledge,gTisN_N-aGAJ,https://ieeexplore.ieee.org/abstract/document/10762220/,"A Su, J Sun, K Dong, W Ling - 2024 3rd International …, 2024 - ieeexplore.ieee.org","… By introducing the LangChain framework, we have developed a process parameter recommendation system that integrates the large model ChatGLM3 deployed on the server with a …",,"{'related_articles_link': 'https://scholar.google.com/scholar?q=related:gTisN_N-aGAJ:scholar.google.com/&scioq=Langchain&hl=en&num=20&as_sdt=0,5'}",,
134,15,Deriving inferences through natural language from structured datasets for asset lifecycle management,OmW5PVXD90YJ,https://www.sciencedirect.com/science/article/pii/S240589632400781X,"S Bhattacharjee, V Pandhare - IFAC-PapersOnLine, 2024 - Elsevier","Industry 4.0 is expected to revolutionize the manufacturing world in terms of improved decision-making leading to increased value extraction from assets. Yet, since its inception, its …",,"{'related_articles_link': 'https://scholar.google.com/scholar?q=related:OmW5PVXD90YJ:scholar.google.com/&scioq=Langchain&hl=en&num=20&as_sdt=0,5'}",,"[{'name': 'S Bhattacharjee', 'id': '-ZM_QRcAAAAJ', 'link': 'https://scholar.google.com/citations?user=-ZM_QRcAAAAJ&hl=en&num=20&oi=sra'}, {'name': 'V Pandhare', 'id': 'dFpKFrkAAAAJ', 'link': 'https://scholar.google.com/citations?user=dFpKFrkAAAAJ&hl=en&num=20&oi=sra'}]"
135,16,Knowledge Graph Indexing Enhanced Q&A System Based on Large Language Model,YeVxa7w4CKcJ,https://ieeexplore.ieee.org/abstract/document/10800696/,"J Sun, Q Zhang, Y Zhi, W Ling - 2024 4th International …, 2024 - ieeexplore.ieee.org","… By using the LangChain framework, we have orchestrated the large-scale language model ChatGLM3 deployed on the server with the Neo4j graph database to implement an intelligent …",,"{'related_articles_link': 'https://scholar.google.com/scholar?q=related:YeVxa7w4CKcJ:scholar.google.com/&scioq=Langchain&hl=en&num=20&as_sdt=0,5'}",,
136,17,Development of an Enterprise Knowledge Base System Based on Elasticsearch,9dD0gN6bJ3YJ,https://ieeexplore.ieee.org/abstract/document/10874232/,"Y Xu, N Xie, R Lin, W Chen - 2024 4th International Signal …, 2024 - ieeexplore.ieee.org","… The document robot module introduces retrieval enhanced generation technology, which combines the prompt word engineering and retrieval database provided by LangChain with a …",,"{'related_articles_link': 'https://scholar.google.com/scholar?q=related:9dD0gN6bJ3YJ:scholar.google.com/&scioq=Langchain&hl=en&num=20&as_sdt=0,5'}",,
137,18,Disease diagnosis with instant first aid and medicine recommender,aN0DiLOLEJcJ,https://www.taylorfrancis.com/chapters/edit/10.1201/9781032644752-28/disease-diagnosis-instant-first-aid-medicine-recommender-akanksha-shukla-shivani-agarwal-nandita-goyal-kartikeya-patel,"A Shukla, S Agarwal, N Goyal… - Advances in AI for …, 2024 - taylorfrancis.com","… Langchain library, the GPT-3.5 Turbo, and the GPT-4 models [Javaid et al. 2023]. The Langchain … questions and produce responses by using Langchain’s question and answer library. …",,"{'versions': {'cluster_id': '10885353902551850344', 'total': 2, 'link': 'https://scholar.google.com/scholar?cluster=10885353902551850344&hl=en&num=20&as_sdt=0,5'}, 'related_articles_link': 'https://scholar.google.com/scholar?q=related:aN0DiLOLEJcJ:scholar.google.com/&scioq=Langchain&hl=en&num=20&as_sdt=0,5', 'cached_page_link': 'https://scholar.googleusercontent.com/scholar?q=cache:aN0DiLOLEJcJ:scholar.google.com/+Langchain&hl=en&num=20&as_sdt=0,5'}",,"[{'name': 'A Shukla', 'id': 'AdoGyMUAAAAJ', 'link': 'https://scholar.google.com/citations?user=AdoGyMUAAAAJ&hl=en&num=20&oi=sra'}, {'name': 'S Agarwal', 'id': '-zgnONkAAAAJ', 'link': 'https://scholar.google.com/citations?user=-zgnONkAAAAJ&hl=en&num=20&oi=sra'}, {'name': 'N Goyal', 'id': 'pEI7HFwAAAAJ', 'link': 'https://scholar.google.com/citations?user=pEI7HFwAAAAJ&hl=en&num=20&oi=sra'}]"
138,19,Developing an AI-Enhanced Conversation Application on DSpace: Technical Procedure and Details,mVOhsgSaDToJ,https://link.springer.com/chapter/10.1007/978-981-96-0865-2_15,"L Yang, Z Zhang - International Conference on Asian Digital Libraries, 2025 - Springer","… When a question is provided, LangChain converts the query into vectors and searches the document vectors for the most relevant matches. Subsequently, LangChain transmits both the …",,"{'versions': {'cluster_id': '4183168973864522649', 'total': 2, 'link': 'https://scholar.google.com/scholar?cluster=4183168973864522649&hl=en&num=20&as_sdt=0,5'}, 'related_articles_link': 'https://scholar.google.com/scholar?q=related:mVOhsgSaDToJ:scholar.google.com/&scioq=Langchain&hl=en&num=20&as_sdt=0,5'}",,"[{'name': 'L Yang', 'id': 'mmaBVi8AAAAJ', 'link': 'https://scholar.google.com/citations?user=mmaBVi8AAAAJ&hl=en&num=20&oi=sra'}]"
139,20,Toward Extracting Care Records from Transcriptions of Visiting Nurses Using Large Language Models,yoks058ly9MJ,https://www.jstage.jst.go.jp/article/ijabc/2024/2/2024_19/_article/-char/ja/,"D Hamdhana, K Harada, H Oshita… - International Journal of …, 2024 - jstage.jst.go.jp","… LangChain. In addition to prompt generation, text processing, information selection, and filtering, LangChain … Through this combination of features and methods provided by LangChain, …",,"{'cited_by': {'cites_id': '15261333130647996874', 'total': 1, 'link': 'https://scholar.google.com/scholar?cites=15261333130647996874&as_sdt=2005&sciodt=0,5&hl=en&num=20'}, 'versions': {'cluster_id': '15261333130647996874', 'total': 5, 'link': 'https://scholar.google.com/scholar?cluster=15261333130647996874&hl=en&num=20&as_sdt=0,5'}, 'related_articles_link': 'https://scholar.google.com/scholar?q=related:yoks058ly9MJ:scholar.google.com/&scioq=Langchain&hl=en&num=20&as_sdt=0,5'}","{'name': 'jst.go.jp', 'format': 'PDF', 'link': 'https://www.jstage.jst.go.jp/article/ijabc/2024/2/2024_19/_pdf'}","[{'name': 'D Hamdhana', 'id': 'O5PcnWsAAAAJ', 'link': 'https://scholar.google.com/citations?user=O5PcnWsAAAAJ&hl=en&num=20&oi=sra'}]"
140,1,Detecting Health Misinformation on Social Networking Sites Using Large Language Models and Deep Learning-based Natural Language Processing,x95AxkQQOvIJ,https://ieeexplore.ieee.org/abstract/document/10852503/,"AM Alshahrani, HF Ahmad… - 2024 2nd International …, 2024 - ieeexplore.ieee.org","… The LangChain framework is integrated to enhance the model’s reasoning and decision-… LangChain Agents play a pivotal role in orchestrating interactions with external APIs, data …",,"{'related_articles_link': 'https://scholar.google.com/scholar?q=related:x95AxkQQOvIJ:scholar.google.com/&scioq=Langchain&hl=en&num=20&as_sdt=0,5'}",,"[{'name': 'HF Ahmad', 'id': '1cOXtV0AAAAJ', 'link': 'https://scholar.google.com/citations?user=1cOXtV0AAAAJ&hl=en&num=20&oi=sra'}]"
141,2,Systematic evaluation of different approaches on embedding search,PzOrFMvSc9EJ,https://link.springer.com/chapter/10.1007/978-3-031-53963-3_36,"R Aperdannier, M Koeppel, T Unger, S Schacht… - Future of Information …, 2024 - Springer","… LangChain library. Since LLMs have a limited input space, the documents must be chunked (segmented into smaller parts). The following five LangChain … following: LangChain offers …",,"{'cited_by': {'cites_id': '15092638545915622207', 'total': 6, 'link': 'https://scholar.google.com/scholar?cites=15092638545915622207&as_sdt=2005&sciodt=0,5&hl=en&num=20'}, 'related_articles_link': 'https://scholar.google.com/scholar?q=related:PzOrFMvSc9EJ:scholar.google.com/&scioq=Langchain&hl=en&num=20&as_sdt=0,5'}",,"[{'name': 'S Schacht', 'id': 'azUIizYAAAAJ', 'link': 'https://scholar.google.com/citations?user=azUIizYAAAAJ&hl=en&num=20&oi=sra'}]"
142,3,Semantic Document Retrieval Using Generative Artificial Intelligence: This study presents a comprehensive exploration and implementation of a …,RhwA3bcxZTwJ,,"S Verma - journal of research administration, 2024",,CITATION,"{'cited_by': {'cites_id': '4351939280680000582', 'total': 1, 'link': 'https://scholar.google.com/scholar?cites=4351939280680000582&as_sdt=2005&sciodt=0,5&hl=en&num=20'}, 'related_articles_link': 'https://scholar.google.com/scholar?q=related:RhwA3bcxZTwJ:scholar.google.com/&scioq=Langchain&hl=en&num=20&as_sdt=0,5'}",,
143,4,Enhancing Nursing and Elderly Care with Large Language Models: An AI-Driven Framework,V5qOLLGArgAJ,https://arxiv.org/abs/2412.09946,"Q Sun, J Xie, N Ye, Q Gu, S Guo - arXiv preprint arXiv:2412.09946, 2024 - arxiv.org","… Using LangChain, we develop a dynamic nursing assistant capable of real-time care and personalized interventions. Experimental results demonstrate significant improvements, paving …",,"{'cited_by': {'cites_id': '49118144392763991', 'total': 1, 'link': 'https://scholar.google.com/scholar?cites=49118144392763991&as_sdt=2005&sciodt=0,5&hl=en&num=20'}, 'versions': {'cluster_id': '49118144392763991', 'total': 3, 'link': 'https://scholar.google.com/scholar?cluster=49118144392763991&hl=en&num=20&as_sdt=0,5'}, 'related_articles_link': 'https://scholar.google.com/scholar?q=related:V5qOLLGArgAJ:scholar.google.com/&scioq=Langchain&hl=en&num=20&as_sdt=0,5', 'cached_page_link': 'https://scholar.googleusercontent.com/scholar?q=cache:V5qOLLGArgAJ:scholar.google.com/+Langchain&hl=en&num=20&as_sdt=0,5'}","{'name': 'arxiv.org', 'format': 'PDF', 'link': 'https://arxiv.org/pdf/2412.09946'}","[{'name': 'Q Sun', 'id': 'wEoImc8AAAAJ', 'link': 'https://scholar.google.com/citations?user=wEoImc8AAAAJ&hl=en&num=20&oi=sra'}, {'name': 'N Ye', 'id': 'zpOREFkAAAAJ', 'link': 'https://scholar.google.com/citations?user=zpOREFkAAAAJ&hl=en&num=20&oi=sra'}, {'name': 'Q Gu', 'id': 'uWe1d3YAAAAJ', 'link': 'https://scholar.google.com/citations?user=uWe1d3YAAAAJ&hl=en&num=20&oi=sra'}]"
144,5,A Preliminary Study on the Application of Large Language Models in Power System Simulations,MuGmHdPjWlgJ,https://ieeexplore.ieee.org/abstract/document/10941115/,"X Sun, Y Xu, T Xiao, H Diao, S Huang… - … on Power and …, 2024 - ieeexplore.ieee.org","… LangChain primarily focuses on providing … LangChain offers a consistent interface for these agents, allowing users to select from a diverse range of options. Additionally, LangChain …",,"{'related_articles_link': 'https://scholar.google.com/scholar?q=related:MuGmHdPjWlgJ:scholar.google.com/&scioq=Langchain&hl=en&num=20&as_sdt=0,5'}",,"[{'name': 'T Xiao', 'id': 'n1LWyKQAAAAJ', 'link': 'https://scholar.google.com/citations?user=n1LWyKQAAAAJ&hl=en&num=20&oi=sra'}, {'name': 'S Huang', 'id': 'I3KM8TwAAAAJ', 'link': 'https://scholar.google.com/citations?user=I3KM8TwAAAAJ&hl=en&num=20&oi=sra'}]"
145,6,HeCiX: Integrating Knowledge Graphs and Large Language Models for Biomedical Research,Xo6WwgXFGK8J,https://arxiv.org/abs/2407.14030,"PS Kulkarni, M Jain, D Sheshanarayana… - arXiv preprint arXiv …, 2024 - arxiv.org","… Further, we introduce HeCiX, a system that uses LangChain to integrate HeCiX-KG with GPT-4, and increase its usability. HeCiX shows high performance during evaluation against a …",,"{'cited_by': {'cites_id': '12617050984608599646', 'total': 1, 'link': 'https://scholar.google.com/scholar?cites=12617050984608599646&as_sdt=2005&sciodt=0,5&hl=en&num=20'}, 'versions': {'cluster_id': '12617050984608599646', 'total': 2, 'link': 'https://scholar.google.com/scholar?cluster=12617050984608599646&hl=en&num=20&as_sdt=0,5'}, 'related_articles_link': 'https://scholar.google.com/scholar?q=related:Xo6WwgXFGK8J:scholar.google.com/&scioq=Langchain&hl=en&num=20&as_sdt=0,5', 'cached_page_link': 'https://scholar.googleusercontent.com/scholar?q=cache:Xo6WwgXFGK8J:scholar.google.com/+Langchain&hl=en&num=20&as_sdt=0,5'}","{'name': 'arxiv.org', 'format': 'PDF', 'link': 'https://arxiv.org/pdf/2407.14030'}","[{'name': 'D Sheshanarayana', 'id': '1iXJoWwAAAAJ', 'link': 'https://scholar.google.com/citations?user=1iXJoWwAAAAJ&hl=en&num=20&oi=sra'}]"
146,7,The New World Foundation• IJGIS Fall of 2024 Conference,fYZlmxfJ1FAJ,https://www.researchgate.net/profile/Rajesh-Malviya-2/publication/383866832_Scalability_and_Performance_Benchmarking_of_LangChain_LlamaIndex_and_Haystack_for_Enterprise_AI_Customer_Support_Systems/links/6749474b3d17281c7de8312d/Scalability-and-Performance-Benchmarking-of-LangChain-LlamaIndex-and-Haystack-for-Enterprise-AI-Customer-Support-Systems.pdf,"RK Malviya, V Javalkar, R Malviya - researchgate.net","… In conclusion, the choice between LangChain, LlamaIndex, and Haystack depends largely on … LangChain is better suited for environments requiring detailed, multi-turn dialogues, while …",PDF,"{'related_articles_link': 'https://scholar.google.com/scholar?q=related:fYZlmxfJ1FAJ:scholar.google.com/&scioq=Langchain&hl=en&num=20&as_sdt=0,5', 'cached_page_link': 'https://scholar.googleusercontent.com/scholar?q=cache:fYZlmxfJ1FAJ:scholar.google.com/+Langchain&hl=en&num=20&as_sdt=0,5'}","{'name': 'researchgate.net', 'format': 'PDF', 'link': 'https://www.researchgate.net/profile/Rajesh-Malviya-2/publication/383866832_Scalability_and_Performance_Benchmarking_of_LangChain_LlamaIndex_and_Haystack_for_Enterprise_AI_Customer_Support_Systems/links/6749474b3d17281c7de8312d/Scalability-and-Performance-Benchmarking-of-LangChain-LlamaIndex-and-Haystack-for-Enterprise-AI-Customer-Support-Systems.pdf'}","[{'name': 'RK Malviya', 'id': 'DscdAAcAAAAJ', 'link': 'https://scholar.google.com/citations?user=DscdAAcAAAAJ&hl=en&num=20&oi=sra'}]"
147,8,Benchmarking OpenAI's APIs and other Large Language Models for Repeatable and Efficient Question Answering Across Multiple Documents,OJx6_Je_oYoJ,https://ieeexplore.ieee.org/abstract/document/10736054/,"E Filipovska, A Mladenovska, M Bajrami… - … 19th Conference on …, 2024 - ieeexplore.ieee.org","… Improving the basic connection to the OpenAI models, LangChain … LangChain provides several methods of recalling past … appropriate LangChain components in the following order: …",,"{'cited_by': {'cites_id': '9989476107981331512', 'total': 3, 'link': 'https://scholar.google.com/scholar?cites=9989476107981331512&as_sdt=2005&sciodt=0,5&hl=en&num=20'}, 'versions': {'cluster_id': '9989476107981331512', 'total': 5, 'link': 'https://scholar.google.com/scholar?cluster=9989476107981331512&hl=en&num=20&as_sdt=0,5'}, 'related_articles_link': 'https://scholar.google.com/scholar?q=related:OJx6_Je_oYoJ:scholar.google.com/&scioq=Langchain&hl=en&num=20&as_sdt=0,5'}","{'name': 'annals-csis.org', 'format': 'PDF', 'link': 'https://annals-csis.org/Volume_39/drp/pdf/3979.pdf'}",
