"Espacenet";"";"";"";"";"";"";"";"";
"Recherche de brevets";"";"";"";"";"";"";"";"";
"1 résultat trouvé pour ctxt all ""hydrogen"" AND ctxt all ""battery"" AND ctxt all ""electric vehicle"" AND ctxt all ""charging""";"";"";"";"";"";"";"";"";
"Résultats affichés : 1 à 500";"";"";"";"";"";"";"";"";
"Langue de la requête: en / de / fr";"";"";"";"";"";"";"";"";
"Trier par: Pertinence";"";"";"";"";"";"";"";"";
"";"";"";"";"";"";"";"";"";
"No";"Titre";"Inventeurs";"Demandeurs";"Numéro de publication";"Priorité la plus ancienne";"CIB";"CPC";"Date de publication";"Publication la plus ancienne";"Numéro de famille";
"111";"NICKEL-HYDROGEN STORAGE BATTERY AND HYBRID ELECTRIC VEHICLE";"NIIYAMA KATSUHIKO 
KIYOKU YOSHIFUMI 
KUMAGAI KIYOSHI 
TANAKA TADAYOSHI 
NAKAMURA HIROSHI";"SANYO ELECTRIC CO";"JP2005129382A";"2003-10-24";"B60L11/18 
H01M10/30 
H01M4/32 
B60L11/18 
H01M10/30 
H01M4/32";"Y02E60/10 (EP) 
Y02T10/70 (EP)";"2005-05-19";"2005-05-19";"034643354";
"112";"FUEL CELL CHARGING SYSTEM WITH AIR BREATHING CAPABILITY, AUTONOMOUS UNDERWATER VEHICLE (AUV) SYSTEM INCLUDING SAME, AND METHOD OF USE";"WOLFEL JOSEF [US] 
KAUFFMAN JUDSON A [US] 
RESNICK ANDREW [US] 
CHILDRESS KENNETH L [US] 
PEARSON DAVID L [US]";"TERRADEPTH INC [US]";"US11993354B2 
US2021284304A1";"2020-03-16";"B60L53/126 
B60L53/30 
B60L53/65 
B60L53/66 
B63G8/00 
H01M8/04082 
H01M8/04";"B60L53/126 (EP,US) 
B60L53/305 (EP,US) 
B60L53/65 (EP,US) 
B60L53/66 (EP,US) 
B63G8/001 (US) 
B63G8/08 (EP) 
H01M10/425 (EP) 
H01M10/44 (EP) 
H01M10/46 (EP) 
H01M16/006 (EP) 
H01M8/04089 (EP) 
H01M8/04156 (EP) 
H01M8/04179 (EP) 
H01M8/04201 (EP,US) 
H01M8/04753 (EP) 
H01M8/04843 (EP) 
B63G2008/004 (EP,US) 
H01M2010/4271 (EP) 
H01M2220/20 (EP) 
H01M2250/20 (EP) 
Y02E60/10 (EP) 
Y02T10/70 (EP) 
Y02T90/14 (EP) 
Y02T90/167 (EP) 
Y02T90/40 (EP) 
Y04S30/14 (EP)";"2021-09-16 
2024-05-28";"2021-09-16";"077664394";
"113";"Extended-range electric vehicle power assembly system";"HE ZHENHUA 
XU JIXIANG 
XU HAOYAO";"UNIV WUHAN TECH";"CN115817210A";"2022-11-18";"B60L50/60 
B60L50/70";"Y02T10/70 (EP)";"2023-03-21";"2023-03-21";"085528953";
"114";"Electric vehicle charging pile based on solar power generation";"LI MEICHUAN 
FENG LANSHENG";"XI AN BOYU GREEN ENERGY CO LTD";"CN204304494U";"2014-11-24";"H02J7/00";"";"2015-04-29";"2015-04-29";"053110006";
"115";"ELECTRIC VEHICLE";"MIZUSHITA YOSHINORI 
SHEN HAO 
TAKEI RIKI 
YAMAURA KIYOSHI";"MITSUBISHI MOTORS CORP";"JP2024121317A";"2023-02-27";"B60L50/75 
B60L58/13 
B60L58/40 
H01M8/00 
H01M8/04228 
H01M8/04303 
H01M8/0438 
H01M8/04537 
H01M8/04694 
H01M8/04858";"Y02E60/50 (EP)";"2024-09-06";"2024-09-06";"092594456";
"116";"Hybrid electric motor vehicle drive";"WEAVER WINSTEAD B [US]";"";"US5765656A";"1996-01-18";"B60L11/00 
B60L11/18 
B60L50/15";"B60L50/61 (EP,US) 
B60L53/11 (EP,US) 
B60L58/10 (EP,US) 
Y02T10/62 (EP,US) 
Y02T10/70 (EP,US) 
Y02T10/7072 (EP,US) 
Y02T90/12 (US) 
Y02T90/14 (EP,US)";"1998-06-16";"1998-06-16";"024351697";
"117";"Method and device for configuring capacity of light hydrogen storage comprehensive charging station equipment";"WANG MIN 
DONG XIAOBIN 
ZHOU TAO 
ZHAI YOUCHUN";"RIVER AND SEA UNIV";"CN114567009A";"2022-03-03";"C25B1/04 
C25B9/00 
G06F30/20 
G06Q10/04 
G06Q10/06 
G06Q50/06 
H02J3/28 
H02J3/32 
H02J3/38 
H02J7/00 
H02J7/32 
H02J7/35";"C25B1/04 (CN) 
C25B9/00 (CN) 
G06F30/20 (CN) 
G06Q10/04 (CN) 
G06Q10/06313 (CN) 
G06Q10/06315 (CN) 
G06Q50/06 (CN) 
H02J3/28 (CN) 
H02J3/32 (CN) 
H02J3/381 (CN) 
H02J7/0048 (CN) 
H02J7/0068 (CN) 
H02J7/32 (CN) 
H02J7/35 (CN) 
G06F2111/04 (CN) 
G06F2119/06 (CN) 
G06F2119/08 (CN) 
H02J2203/20 (CN) 
H02J2300/22 (CN) 
H02J2300/30 (CN) 
H02J2300/40 (CN) 
Y02T90/12 (EP)";"2022-05-31";"2022-05-31";"081717604";
"118";"New energy automobile charging device";"YUAN QIONG";"CHONGQING INDUSTRY POLYTECHNIC COLLEGE";"CN211530750U";"2020-03-18";"B60L50/70 
B60L53/31 
H01M8/04082 
H02J1/00 
H02J1/10 
H02J5/00 
H02J7/00 
H02J7/34 
H02J7/35";"Y02E60/50 (EP) 
Y02T10/70 (EP) 
Y02T10/7072 (EP) 
Y02T90/12 (EP) 
Y02T90/40 (EP)";"2020-09-18";"2020-09-18";"072460372";
"119";"Multifunctional supply station of electric cold chain transport vehicle";"SUN YIFEI 
CAI JIABIN";"XIAMEN GULUOPU TECH CO LTD";"CN217822895U";"2022-07-25";"B60L53/31 
H01M8/0668";"";"2022-11-15";"2022-11-15";"083968205";
"120";"Solar energy generation-based electric vehicle charging pile";"LI MEICHUAN 
FENG LANSHENG";"XI'AN BOYU GREEN ENERGY CO LTD";"CN105703406A";"2014-11-24";"H02J7/00";"";"2016-06-22";"2016-06-22";"056941377";
"121";"Overall power distribution method for hydrogen fuel cell vehicle";"CAI BIN 
DING JIALI 
CHEN JUNJIE 
ZHAO HAIMIN 
ZOU JIAHUI";"JIANGSU HAOQING CENTURY NEW ENERGY CO LTD 
ZHEJIANG TIANNENG HYDROGEN ENERGY TECH CO LTD";"CN115489343A 
CN115489343B";"2022-08-18";"B60L50/75 
B60L58/30";"B60L50/75 (CN) 
B60L58/30 (CN) 
B60L2210/10 (CN) 
B60L2210/40 (CN) 
B60L2260/44 (CN)";"2022-12-20 
2024-12-20";"2022-12-20";"084465814";
"122";"Mobile charging pile based on vehicle-mounted fuel cell energy supply";"QIN JIANG 
ZHANG PENGHAO 
LAN ZHU 
SONG YUEZE 
HARRY HELATI";"HARBIN INST TECHNOLOGY";"CN112519613A 
CN112519613B";"2020-11-26";"B60L53/30 
B60L53/31 
B60L53/54";"B60L53/30 (CN) 
B60L53/31 (CN) 
B60L53/54 (CN) 
Y02T10/70 (EP) 
Y02T10/7072 (EP) 
Y02T90/12 (EP)";"2021-03-19 
2022-02-15";"2021-03-19";"074994475";
"123";"MOBILE ELECTRIC VEHICLE CHARGING STATION SYSTEM";"GOEI ESMOND [US]";"POWER HERO CORP [US]";"US12151582B2 
US2022332210A1";"2018-05-15";"G06Q10/10 
B60L53/53 
B60L53/66 
B60L53/67 
B60L53/68 
G05B13/02 
G08G1/00 
G06Q10/1093 
H02J7/00 
H02J7/14 
H04L67/12";"B60L53/305 (EP) 
B60L53/53 (US) 
B60L53/63 (EP) 
B60L53/665 (US) 
B60L53/67 (EP,US) 
B60L53/68 (EP,US) 
G05B13/0265 (US) 
G06Q10/1095 (EP,US) 
G08G1/202 (EP,US) 
B60L2240/80 (EP) 
H04L67/12 (EP,US) 
Y02E10/50 (EP) 
Y02E60/00 (EP) 
Y02T10/70 (EP) 
Y02T10/7072 (EP) 
Y02T90/12 (EP) 
Y02T90/16 (EP) 
Y02T90/167 (EP) 
Y04S10/126 (EP)";"2022-10-20 
2024-11-26";"2019-11-21";"068534112";
"124";"Fuel cell hydrogen energy automobile direct-current charging system and control method";"YU HONGXIA 
HAO YIGUO 
CHEN HUAMING 
CHENG FEI 
YANG NAN 
QI JIANSHEN";"WUHAN GROVE HYDROGEN AUTOMOBILE CO LTD";"CN112193089A";"2020-10-21";"B60L15/20 
B60L3/00 
B60L50/75 
B60L53/14 
B60L58/10 
B60L58/12 
B60L58/24";"B60L15/20 (CN) 
B60L3/0023 (CN) 
B60L3/0046 (CN) 
B60L50/75 (CN) 
B60L53/14 (CN) 
B60L58/10 (CN) 
B60L58/12 (CN) 
B60L58/24 (CN) 
Y02T10/70 (EP) 
Y02T10/7072 (EP) 
Y02T10/72 (EP) 
Y02T90/14 (EP) 
Y02T90/16 (EP) 
Y02T90/40 (EP)";"2021-01-08";"2021-01-08";"074008710";
"125";"Hydrogen energy station capable of meeting charging and metal hydride replacing requirements";"JIA HUIPING";"SHIJIAZHUANG XINHUA ENERGY ENVIRONMENTAL TECH CO LTD";"CN107327700A 
CN107327700B";"2017-05-23";"B60L11/18 
F02B43/10 
F02B63/04 
F17C11/00 
F17C13/00 
B60L53/31 
B60L53/54";"B60L53/31 (CN) 
F02B43/10 (CN) 
F02B63/04 (CN) 
F17C11/005 (CN) 
F17C13/00 (CN) 
F17C2221/012 (CN) 
F17C2225/0123 (CN) 
F17C2265/07 (CN) 
Y02E60/32 (EP) 
Y02T10/30 (EP) 
Y02T10/70 (EP) 
Y02T10/7072 (EP) 
Y02T90/12 (EP)";"2017-11-07 
2019-04-26";"2017-11-07";"060192831";
"126";"Intelligent movable type charging vehicle with fuel cell unit as energy source";"ZHANG YAN 
ZHOU WEIDONG 
MIAO MINGMING 
DENG SHAOKUI 
TAO YE 
FU QINGQING";"ZHONGKE IRON AND STEEL RESEARCH INSTITUTE ENERGY SAVING TECH CO LTD";"CN107031488A 
CN107031488B";"2016-07-29";"B60L11/18 
B60P3/00 
B60L53/00";"B60L53/00 (CN) 
B60L53/54 (CN) 
B60P3/00 (CN) 
Y02T10/70 (EP) 
Y02T10/7072 (EP) 
Y02T90/12 (EP) 
Y02T90/14 (EP)";"2017-08-11 
2019-07-16";"2017-08-11";"059532621";
"127";"SOLAR BATTERY CHARGING SYSTEM AND OPTIONAL SOLAR HYDROGEN PRODUCTION SYSTEM FOR VEHICLE PROPULSION";"GIBSON THOMAS L [US] 
OUWERKERK DAVID B [US] 
KELLY NELSON A [US] 
SUTHERLAND IAN J [US]";"GM GLOBAL TECH OPERATIONS INC [US]";"US2009266397A1";"2008-04-23";"H01M10/44 
H02N6/00";"H01M10/465 (EP,US) 
H02S40/38 (EP,US) 
Y02E10/50 (EP) 
Y02E60/10 (EP) 
Y02E70/30 (EP)";"2009-10-29";"2009-10-29";"041213790";
"128";"Multifunctional supply station of electric cold chain transport vehicle";"SUN YIFEI 
CAI JIABIN";"XIAMEN GULUOPU TECH CO LTD";"CN115332589A";"2022-07-25";"B60L53/31 
H01M8/0668";"B60L53/31 (CN) 
H01M8/0668 (CN) 
B60L2200/36 (CN) 
B60L2210/10 (CN) 
B60L2210/40 (CN)";"2022-11-11";"2022-11-11";"083918893";
"129";"New energy vehicle charging distribution method";"PAN GUANGLIAN";"FOSHAN QINHSHENG TECH CO LTD";"CN108422890A 
CN108422890B";"2018-05-04";"B60L11/18 
B60L53/30 
B60L53/54 
B60L53/68";"B60L53/30 (CN) 
B60L53/60 (CN) 
Y02T10/70 (EP) 
Y02T10/7072 (EP) 
Y02T90/12 (EP) 
Y02T90/16 (EP)";"2018-08-21 
2021-07-30";"2018-08-21";"063162274";
"130";"EXTENSION D'AUTONOMIE AUXILIAIRE POUR VÉHICULE ÉLECTRIQUE À BATTERIE";"BURCHETT CHAD [US]";"VOLVO TRUCK CORP [SE] 
BURCHETT CHAD [US]";"WO2022211819A1";"2021-04-02";"B60L50/10 
B60L50/60 
B60L50/61 
B60L58/10 
B60L58/12 
B60L58/18 
B60L7/00";"B60L50/10 (EP) 
B60L50/60 (EP) 
B60L50/61 (EP) 
B60L58/10 (EP) 
B60L58/12 (EP) 
B60L58/18 (EP) 
B60L7/00 (EP) 
B60L2200/28 (EP) 
B60L2200/36 (EP)";"2022-10-06";"2022-10-06";"075674973";
"131";"Heat management method for fuel battery and lithium battery hybrid electric vehicle with liquid hydrogen as gas source";"JI CHANGWEI 
BAI YONGYI 
WANG SHUOFENG 
NIU HUIPENG";"UNIV BEIJING TECHNOLOGY";"CN110803070A 
CN110803070B";"2019-12-02";"B60L58/34 
H01M10/613 
H01M10/615 
H01M10/625 
H01M10/66 
H01M8/04029 
H01M8/04223";"B60L58/34 (CN) 
H01M10/613 (CN) 
H01M10/615 (CN) 
H01M10/625 (CN) 
H01M10/66 (CN) 
H01M8/04029 (CN) 
H01M8/04268 (CN) 
Y02E60/10 (EP) 
Y02E60/50 (EP) 
Y02T90/40 (EP)";"2020-02-18 
2021-04-16";"2020-02-18";"069492052";
"132";"COMPOSITE CHARGING SYSTEM AND METHOD";"JEONG BYUNG HWAN [KR] 
LEE JEONG MIN [KR] 
BYEN BYENG JOO [KR]";"HYOSUNG CORP [KR]";"US12224615B2 
US2023246472A1";"2021-05-14";"B60L53/30 
B60L53/50 
B60L53/64 
G06Q50/06 
H01M16/00 
H01M8/04082 
H01M8/04858 
H02J3/32 
H02J7/00";"B60L53/30 (EP,US) 
B60L53/50 (EP,US) 
B60L53/64 (EP,US) 
G06Q50/06 (EP,US) 
H01M10/44 (EP) 
H01M16/006 (EP,US) 
H01M8/04201 (EP,US) 
H01M8/04925 (EP,US) 
H02J3/32 (EP,US) 
H02J7/00 (EP) 
H02J7/007188 (EP,US) 
H02J7/34 (EP) 
B60L2210/10 (EP,US) 
B60L2210/30 (EP,US) 
B60L53/305 (EP) 
B60L53/63 (EP) 
B60L53/65 (EP) 
B60L58/40 (EP) 
H01M2250/20 (EP,US) 
H02J2207/20 (US) 
H02J2310/48 (EP) 
Y02T10/70 (EP) 
Y02T10/7072 (EP) 
Y02T90/12 (EP)";"2023-08-03 
2025-02-11";"2022-10-04";"083600361";
"133";"Vehicle-mounted hydrogen fuel cell pre-charge protection circuit and method and electric vehicle";"ZHONG PEIWEN 
DAI GUANGQIAO 
FU YOU 
WANG ZHENHUA";"ZHONGZHI YIKE CHENGDU AUTOMOBILE CO LTD";"CN110588352A 
CN110588352B";"2019-09-27";"B60L3/00 
B60L53/14";"B60L3/00 (CN) 
B60L53/14 (CN) 
Y02T10/70 (EP) 
Y02T10/7072 (EP) 
Y02T90/14 (EP)";"2019-12-20 
2021-08-24";"2019-12-20";"068864611";
"134";"Multifunctional off-grid type charging pile using methanol as fuel";"GUO ANZHUO 
ZHANG XUYAN 
LI HANGWEI 
LIU MINGWEI 
LIANG ZHIPING 
MA XUAN 
LI LING";"SJZ-HANTREND ENERGY TECH CO LTD";"CN105946607A 
CN105946607B";"2016-05-09";"B60L11/18";"B60L58/40 (CN) 
Y02T10/70 (EP)";"2016-09-21 
2018-01-23";"2016-09-21";"056915134";
"135";"Vehicle-to-vehicle charging system and method and electric vehicle";"ZHENG SHUAI 
WU WEI 
LIU XILONG 
HE JIN 
ZHANG YAMING";"AIWAYS AUTO CO LTD";"CN112776624A";"2021-02-03";"B60L50/40 
B60L50/60 
B60L53/14 
B60L58/10";"B60L50/40 (CN) 
B60L50/60 (CN) 
B60L53/14 (CN) 
B60L58/10 (CN) 
Y02T10/70 (EP) 
Y02T10/7072 (EP) 
Y02T90/14 (EP)";"2021-05-11";"2021-05-11";"075760777";
"136";"Plug-in type vehicle-mounted hydrogen generator";"JI CHANGWEI 
WANG SHUOFENG";"UNIV BEIJING TECHNOLOGY";"CN107190277A 
CN107190277B";"2017-06-23";"C25B1/04 
C25B15/02 
C25B9/00 
C25B9/04";"C25B1/04 (CN) 
C25B15/02 (CN) 
C25B9/00 (CN) 
C25B9/65 (CN) 
Y02E60/36 (EP)";"2017-09-22 
2019-03-22";"2017-09-22";"059878734";
"137";"ALKALINE BATTERY CHARGING DEVICE";"SAKAGAMI YUICHI 
KAWAI TOSHIYUKI 
KATO TOMOYA";"NIPPON SOKEN 
DENSO CORP";"JP3817863B2 
JPH11135157A";"1997-10-29";"H01M10/44 
H01M10/44";"Y02E60/10 (EP)";"1999-05-21 
2006-09-06";"1999-05-21";"017847551";
"138";"Power supply duration-based power supply method and system for hydrogen fuel cell stack and hydrogen fuel electric vehicle";"LU MINMIN 
QIAN CHENG 
CEN JIAN 
ZE WEIJIE 
MA QIAN";"YOUON TECH CO LTD";"CN113085661A";"2021-03-29";"B60L58/30 
H01M10/44 
H01M8/04537";"B60L58/30 (CN) 
H01M10/44 (CN) 
H01M8/04619 (CN) 
H01M2250/20 (CN) 
Y02E60/10 (EP) 
Y02E60/50 (EP) 
Y02T90/40 (EP)";"2021-07-09";"2021-07-09";"076670418";
"139";"Vehicle ammonia-hydrogen hybrid power device and energy regulation and control management method";"WANG BOWEN 
CHEN FUJUN 
JIAO KUI 
GONG ZHICHAO 
DU QING";"UNIV TIANJIN";"CN117774669A";"2023-12-27";"B60K6/22 
B60K6/24 
B60K6/26 
B60K6/28 
B60K6/32 
B60L7/10 
B60L7/18 
B60W10/06 
B60W10/08 
B60W10/26 
B60W10/28 
B60W20/15 
G06N3/043 
G06N3/092";"";"2024-03-29";"2024-03-29";"090383026";
"140";"Prevent charging system of electric motor car removal when charging";"LU SHIMIN 
DOU WANKUN 
XU WENQING 
ZHU HONGJUN";"JIANGSU KINGBON VEHICLE CO LTD";"CN208393165U";"2018-05-10";"B60L3/00 
B60L53/66";"Y02T10/70 (EP) 
Y02T10/7072 (EP) 
Y02T90/12 (EP) 
Y02T90/16 (EP)";"2019-01-18";"2019-01-18";"065062610";
"141";"Mobile charging system for electric traction vehicles";"CIMRMAN RADEK [CZ] 
VYZIBLO OLDŘICH [CZ] 
HAJSKÝ LUBOŠ [CZ] 
SOUČEK KAREL [CZ]";"SKODA AUTO AS [CZ] 
DEVINN S R O [CZ]";"CZ2018321A3 
CZ310181B6";"2018-06-29";"B60L50/50 
B60L50/52 
B60L53/54 
B60L58/30 
B60L58/40";"B60K1/04 (FI) 
B60K6/46 (FI) 
B60L1/006 (FI) 
B60L50/75 (FI) 
B60L53/14 (EP,AT,DK,PT) 
B60L53/54 (EP,DK) 
B60L53/57 (FI) 
B60L58/40 (EP,AT,DK) 
H02J7/342 (FI) 
B60L2210/10 (EP) 
Y02T10/70 (EP) 
Y02T10/7072 (EP) 
Y02T10/72 (EP) 
Y02T90/12 (EP) 
Y02T90/14 (EP) 
Y02T90/40 (EP)";"2020-01-08 
2024-10-30";"2020-01-02";"068985807";
"142";"Fuel cell electric vehicle";"LI TIANRUI 
WEI YAJUAN 
SONG ZONGNAN 
YANG JIE 
WANG SHAOTING";"BEIQI FOTON MOTOR CO LTD";"CN205292313U";"2015-11-13";"B60K1/00 
B60K1/04 
B60L11/18 
B60R16/02 
B62D21/02";"";"2016-06-08";"2016-06-08";"056463539";
"143";"Vehicle energy charging service station and method for providing vehicle energy charging service";"LI YINAN 
ZHENG NAN 
CHEN JINCHUN 
CHEN GUANNAN 
LIN XIAOFAN 
CHEN WANQING 
CHEN HAN 
CHEN SIMIN 
CHEN KEREN 
DU YI 
SHI PENGJIA 
CAI QIYUAN 
LIM CHANG-YOUNG 
LI YUANFEI 
XIANG KANGLI 
WU QIAN 
WANG QIAO 
XU DONGJIE 
HU MING";"ECONOMIC RES INST STATE GRID FUJIAN ELECTRIC POWER CO LTD";"CN116238348A";"2021-12-08";"B60L50/60 
B60L50/70 
B60L53/51 
B60L53/52 
B60L53/53 
B60S5/02 
C25B1/04 
F17C5/00 
F17C7/00 
H02J15/00 
H02J3/32 
H02J3/38";"B60L50/60 (CN) 
B60L50/70 (CN) 
B60L53/51 (CN) 
B60L53/52 (CN) 
B60L53/53 (CN) 
B60S5/02 (CN) 
C25B1/04 (CN) 
F17C5/00 (CN) 
F17C7/00 (CN) 
H02J15/008 (CN) 
H02J3/322 (CN) 
H02J3/38 (CN) 
H02J2300/24 (CN) 
H02J2300/28 (CN) 
Y02T10/70 (EP)";"2023-06-09";"2023-06-09";"086622914";
"144";"Water-to-hydrogen charging device for electric automobile";"XIANG HUA";"SHANGHAI HYDROGEN MOBILE REFORMER INSTR CO LTD";"CN105261775A";"2015-11-03";"C01B3/32 
H01M8/04089 
H01M8/22 
H02J7/00";"C01B3/32 (CN) 
H01M8/04201 (CN) 
H01M8/22 (CN) 
H02J7/0027 (CN) 
Y02E60/50 (EP)";"2016-01-20";"2016-01-20";"055101351";
"145";"Hydrogen-electricity hybrid multi-motor driven vehicle or ship or aircraft";"WANG GUANGWU";"WANG GUANGWU";"CN114312371A";"2022-02-22";"B60L50/75 
B60L8/00";"Y02T10/70 (EP) 
Y02T10/7072 (EP) 
Y02T90/40 (EP)";"2022-04-12";"2022-04-12";"081030216";
"146";"Charging system and method of electric vehicle based on wireless charging";"WU SIJUN 
XIE SHUIYING 
GAO LONGSHI";"ZHEJIANG IND POLYTECHNIC COLLEGE";"CN106945548A";"2017-03-20";"B60L11/18";"B60L53/12 (CN) 
B60L53/51 (CN) 
B60L53/52 (CN) 
B60L53/54 (CN) 
B60L53/60 (CN) 
Y02T10/70 (EP) 
Y02T10/7072 (EP) 
Y02T90/12 (EP) 
Y02T90/14 (EP) 
Y02T90/16 (EP)";"2017-07-14";"2017-07-14";"059471918";
"147";"Charge operation method of electric vehicle";"TIELIANG WANG [CN] 
HUA WANG [CN]";"TIELIANG WANG [CN]";"CN101090167A";"2007-07-09";"B60K1/04 
H01M10/44 
H02J7/00";"Y02E60/10 (EP)";"2007-12-19";"2007-12-19";"038943395";
"148";"Inter-city road charging station planning method including hydrogen energy distribution";"LIU YUQING 
HU FENG";"UNIV WUCHANG TECHNOLOGY";"CN118628166A";"2024-04-29";"G06Q10/047 
G06Q10/0631 
G06Q30/0201 
G06Q30/0204 
G06Q50/06";"G06Q10/047 (CN) 
G06Q10/06312 (CN) 
G06Q10/06315 (CN) 
G06Q30/0205 (CN) 
G06Q30/0206 (CN) 
G06Q50/06 (CN)";"2024-09-10";"2024-09-10";"092604281";
"149";"Battery charging outfit, including portable power source car and vehicle of this battery charging outfit";"ZHOU MINGQIANG";"CHINA HYDROGEN ENERGY TECH CO";"CN208571683U";"2018-09-03";"B60L50/75 
B60P3/00 
H02J7/00";"Y02T10/70 (EP) 
Y02T90/16 (EP) 
Y02T90/40 (EP)";"2019-03-01";"2019-03-01";"065451624";
"150";"Secondary battery charging system";"KIKUCHI TETSURO [JP] 
USAMI HIROYUKI [JP] 
KATO AKIRA [JP] 
OSHIMA HISAYOSHI [JP]";"DENSO CORP [JP]";"US2006170390A1 
US7576512B2";"2005-01-28";"H02J7/35 
H01M6/50 
H02J7/00";"B60R16/03 (EP,US) 
H01M10/44 (EP,US) 
H01M16/006 (EP,US) 
H01M8/04089 (EP,US) 
H01M8/04313 (EP,US) 
H01M8/04567 (EP,US) 
H01M8/04597 (EP,US) 
H01M8/04753 (EP,US) 
H01M8/0488 (EP,US) 
H01M8/04888 (EP,US) 
Y02E60/10 (EP) 
Y02E60/50 (EP)";"2006-08-03 
2009-08-18";"2006-08-03";"036755837";
"151";"Ladeeinrichtung für Elektrofahrzeuge";"ROTHFUSS FLORIAN [DE]";"FRAUNHOFER GES FORSCHUNG [DE]";"DE102013112845A1";"2013-11-21";"B60L11/18 
B60S5/00 
E04H6/00 
H02J17/00 
H02J7/00 
H02J7/34";"B60L53/34 (EP,US) 
B60L53/51 (EP,US) 
B60L53/52 (EP,US) 
B60L53/53 (EP,US) 
B60L53/54 (EP,US) 
B60L53/55 (EP,US) 
E04H1/1205 (EP,US) 
E04H1/1233 (EP) 
E04H6/02 (EP) 
E04H6/42 (EP) 
H02J7/0013 (EP,US) 
H02J7/0042 (EP,US) 
E04H2001/1283 (EP) 
H02J2310/48 (EP,US) 
Y02T10/70 (EP) 
Y02T10/7072 (EP) 
Y02T90/12 (EP)";"2015-05-21";"2015-05-21";"051982558";
"152";"Vehicle control system of hydrogen fuel cell vehicle and vehicle";"ZHAI GUANGYONG 
WANG JUNQIAO 
MO CHONGXIANG";"GEELY HOLDING GROUP CO LTD 
ZHEJIANG YINGLUN AUTOMOBILE CO LTD 
ZHEJIANG YINGLUN ELECTRIC AUTOMOBILE RES DEVELOPMENT CO LTD";"CN115172825A";"2022-08-25";"B60L58/30 
B60L58/31 
H01M10/42 
H01M8/04089 
H01M8/04119 
H01M8/04664 
H01M8/04858 
H01M8/04955 
H01M8/04992";"B60L58/30 (CN) 
B60L58/31 (CN) 
H01M10/42 (CN) 
H01M8/04089 (CN) 
H01M8/04126 (CN) 
H01M8/04664 (CN) 
H01M8/0494 (CN) 
H01M8/04955 (CN) 
H01M8/04992 (CN) 
Y02T10/70 (EP) 
Y02T90/40 (EP)";"2022-10-11";"2022-10-11";"083481796";
"153";"FUEL BATTERY SYSTEM AND ELECTRIC VEHICLE";"TAKEI RIKI 
TASHIRO KEISUKE 
KAWASHIMA KAZUHITO 
UCHIDA MAKOTO 
WATANABE MASAHIRO";"MITSUBISHI MOTORS CORP 
UNIV YAMANASHI";"JP2016027534A 
JP6254927B2";"2014-06-25";"B60L50/40 
B60L50/50 
B60L50/70 
B60L53/00 
B60L55/00 
B60L58/00 
B60L58/31 
B60L58/40 
H01M8/00 
H01M8/04 
H01M8/04225 
H01M8/04302";"Y02E60/50 (EP) 
Y02T10/70 (EP)";"2016-02-18 
2017-12-27";"2016-02-18";"055352841";
"154";"Multifunctional mobile charging vehicle";"SI HONGLEI 
LIN DAOYONG 
LI QINGHAI";"JIANGSU FGY ENERGY STORAGE RES INST CO LTD";"CN204304478U";"2014-11-06";"H02J7/00 
H02J7/35 
H02S10/10 
H02S10/40";"Y02E10/56 (EP)";"2015-04-29";"2015-04-29";"053109990";
"155";"Pure electric vehicle with built -in traction power supply dragging device";"ZHANG YONG 
WANG LIN 
MENG JIANBO 
LI LEI";"BEIJING ZHONGRUI PUDE CREATIVE TECH DEV CO LTD";"CN206242896U";"2016-07-27";"B60K1/04 
B60L11/18";"Y02T10/70 (EP)";"2017-06-13";"2017-06-13";"058997531";
"156";"Fuel cell system for charging electric vehicle batteries";"LEE WOONG MOO [KR]";"PAHPS [KR]";"KR101813231B1 
KR20170040143A";"2017-03-20";"B60K1/04 
B60L11/18 
H01M8/04298 
H01M8/0612 
H01M8/0662";"B60L50/50 (KR) 
B60L58/30 (KR) 
H01M8/04089 (KR) 
H01M8/04201 (KR) 
H01M8/04947 (KR) 
H01M8/0618 (KR) 
H01M8/0662 (KR) 
H01M8/0687 (KR) 
H01M2250/20 (KR) 
Y02E60/50 (EP) 
Y02T10/70 (EP) 
Y02T90/40 (EP)";"2017-04-12 
2018-01-30";"2017-04-12";"058580416";
"157";"Magnetic anti-collision shared charging vehicle for electric vehicle";"XU WEINAN 
XU YONGPING 
WANG ZHENXIANG";"XU WEINAN 
XU YONGPING";"CN215322985U";"2021-05-30";"B60L50/60 
B60L53/16 
B60L53/18 
B60L58/12 
B62D63/06 
B62D63/08";"Y02T10/70 (EP) 
Y02T10/7072 (EP) 
Y02T90/14 (EP)";"2021-12-28";"2021-12-28";"079549187";
