,No,Title,Inventors,Applicants,Publication number,Earliest priority,IPC,CPC,Publication date,Earliest publication,Family number,Unnamed: 11,first publication date,second publication date,first publication number,second publication number,first publication country,second publication country,first filing year,earliest priority year,applicant country,Applicant Type,Primary_CPC,Country,Publication Year,Patent Age,Assigned Cost,patent cost,Patent Value,Market Rate,Mean Value
104,106,FUEL BATTERY SYSTEM AND ELECTRIC VEHICLE,"TAKEI RIKI 
TASHIRO KEISUKE 
KAWASHIMA KAZUHITO 
UCHIDA MAKOTO 
WATANABE MASAHIRO","['MITSUBISHI MOTORS CORP ', 'UNIV YAMANASHI']","JP2016027534A 
JP6254927B2",1970,"B60L11/18 
H01M8/00 
H01M8/04 
H01M8/04225 
H01M8/04302","['Y02E60/50 (EP) ', 'Y02T10/70 (EP)']","2016-02-18 
2017-12-27",2016-02-18,55352841,,2016-02-18,2017-12-27,JP2016027534A,JP6254927B2,JP,JP,2016,2014,,Company - General,Y02E60/50 (EP),JP,,55,23000.0,23000.0,23000.0,15654.929577464789,15654.929577464789
105,107,Pure electric vehicle with built -in traction power supply dragging device,"ZHANG YONG 
WANG LIN 
MENG JIANBO 
LI LEI",['BEIJING ZHONGRUI PUDE CREATIVE TECH DEV CO LTD'],CN206242896U,1970,"B60K1/04 
B60L11/18",['Y02T10/70 (EP)'],2017-06-13,2017-06-13,58997531,,2017-06-13,,CN206242896U,,CN,,2017,2016,,Company - Limited,Y02T10/70 (EP),CN,2017.0,55,14000.0,14000.0,14000.0,15654.929577464789,15654.929577464789
106,108,Automatic energy storage charging system based on common power supply of commercial power and hydrogen fuel cell,"YU QINLU 
DENG WENCONG 
LIANG TUSHENG 
HUANG ZHAOQIU","['ZHUHAI YINLONG ELECTRICAL APPLIANCE CO LTD ', 'YINLONG ENERGY CO LTD']",CN211018374U,1970,"B60L53/53 
B60L53/54 
H02J7/00 
H02J7/02 
H02J7/34 
H02J9/04 
H02J9/06","['Y02B70/30 (EP) ', 'Y02B90/10 (EP) ', 'Y02P80/10 (EP) ', 'Y02P90/40 (EP) ', 'Y02T10/70 (EP) ', 'Y02T10/7072 (EP) ', 'Y02T90/12 (EP) ', 'Y04S20/20 (EP)']",2020-07-14,2020-07-14,71478420,,2020-07-14,,CN211018374U,,CN,,2020,2019,,Company - Limited,Y02B70/30 (EP),CN,2020.0,55,14000.0,14000.0,14000.0,15654.929577464789,15654.929577464789
107,109,Hybrid power system of vehicle-mounted molten aluminum hydrogen production fuel cell electric vehicle,"WU QIAN 
YE LIANZHONG 
WU QIANG 
WU WANYI",['GUANGDONG HONGYUAN HYDROGEN POWER EQUIPMENT MFG CO LTD'],CN210133019U,1970,"B60L50/75 
B60L58/40 
H01M8/0656","['Y02E60/50 (EP) ', 'Y02T10/70 (EP) ', 'Y02T90/40 (EP)']",2020-03-10,2020-03-10,69706382,,2020-03-10,,CN210133019U,,CN,,2020,2019,,Company - Limited,Y02E60/50 (EP),CN,2020.0,55,14000.0,14000.0,14000.0,15654.929577464789,15654.929577464789
108,110,Hydrogen energy wall-mounted hydrogen charging device for underground parking lot and magnetic attraction type hydrogen charging method of hydrogen energy wall-mounted hydrogen charging device,"DENG WEITING 
YUAN JIANGPING 
JIANG AOHUA 
DENG ZHISHENG",['XIAMEN SHENGMATE NEW ENERGY RES INSTITUTE CO LTD'],CN118423605A,1970,"F17C11/00 
F17C13/00 
F17C13/02","['F17C11/005 (CN) ', 'F17C13/002 (CN) ', 'F17C13/02 (CN) ', 'F17C13/025 (CN) ', 'F17C2221/012 (CN) ', 'F17C2223/0123 (CN) ', 'F17C2223/035 (CN) ', 'F17C2250/03 (CN) ', 'F17C2250/043 (CN) ', 'F17C2270/0184 (CN)']",2024-08-02,2024-08-02,92323539,,2024-08-02,,CN118423605A,,CN,,2024,2024,,Company - Limited,F17C11/005 (CN),CN,2024.0,55,14000.0,14000.0,14000.0,15654.929577464789,15654.929577464789
109,111,Mobile charging system for electric vehicle,XIANG HUA,['SHANGHAI HYDROGEN MOBILE REFORMER INSTR CO LTD'],CN106026329A,1970,"H02J50/10 
H02J7/32",['H02J7/32 (CN)'],2016-10-12,2016-10-12,57087923,,2016-10-12,,CN106026329A,,CN,,2016,2016,,Company - Limited,H02J7/32 (CN),CN,2016.0,55,14000.0,14000.0,14000.0,15654.929577464789,15654.929577464789
110,112,ELECTRIC VEHICLE,"KONG CHANG SUN [KR] 
YANG JAE CHOON [KR]",['LG CHEMICAL LTD [KR]'],"US11325502B2 
US2020231066A1",1970,"B60L50/71 
B60L50/75 
B60L58/40 
B60K6/32 
B60K7/00","['B60K1/02 (EP,KR) ', 'B60K17/34 (EP) ', 'B60K7/00 (EP) ', 'B60K7/0007 (KR) ', 'B60L15/20 (EP,KR) ', 'B60L50/50 (EP) ', 'B60L50/71 (US) ', 'B60L50/75 (US) ', 'B60L58/30 (KR) ', 'B60L58/40 (US) ', 'B60L7/10 (EP,KR) ', 'B60K7/0007 (US) ', 'B60L2220/44 (EP) ', 'B60L2240/547 (KR) ', 'B60Y2200/91 (KR) ', 'Y02T10/70 (EP) ', 'Y02T10/72 (EP) ', 'Y02T90/40 (EP)']","2020-07-23 
2022-05-10",2019-03-28,65811380,,2020-07-23,2022-05-10,US11325502B2,US2020231066A1,US,US,2020,2017,KR,Company - Limited,"B60K1/02 (EP,KR)",US,,55,16000.0,16000.0,16000.0,15654.929577464789,15654.929577464789
111,113,Nickel-hydrogen battery management system for electric vehicle,JIANGUO RAN [CN],['INTELLIGENT POWER SYSTEM CO LT [CN]'],"CN100568610C 
CN101114724A",1970,"B60L11/18 
G01R31/36 
G06Q90/00 
H01M10/42 
H02J7/00","['Y02E60/10 (EP) ', 'Y02T90/16 (EP)']","2008-01-30 
2009-12-09",2008-01-30,39022912,,2008-01-30,2009-12-09,CN100568610C,CN101114724A,CN,CN,2008,2007,CN,Company - General,Y02E60/10 (EP),CN,,55,14000.0,14000.0,14000.0,15654.929577464789,15654.929577464789
112,114,Hydrogen fuel and lithium ion battery combined type electric vehicle power system and control system thereof,"LU GUIBING 
ZHAO YUMIN 
WANG FUJUN 
ZHANG JIAMOU 
CHEN XUQIANG",['HANTENG AUTOMOBILE CO LTD'],CN109733211A,1970,"B60L15/20 
B60L50/60 
B60L50/75 
B60L58/10 
B60L58/30","['Y02T10/70 (EP) ', 'Y02T10/72 (EP) ', 'Y02T90/40 (EP)']",2019-05-10,2019-05-10,66362301,,2019-05-10,,CN109733211A,,CN,,2019,2018,,Company - Limited,Y02T10/70 (EP),CN,2019.0,55,14000.0,14000.0,14000.0,15654.929577464789,15654.929577464789
113,116,Electric vehicle and power system of electric vehicle,XING DANDAN,['BEIQI FOTON MOTOR CO LTD'],CN204340720U,1970,B60L11/18,"['Y02T10/70 (EP) ', 'Y02T10/72 (EP)']",2015-05-20,2015-05-20,53224014,,2015-05-20,,CN204340720U,,CN,,2015,2014,,Company - Limited,Y02T10/70 (EP),CN,2015.0,55,14000.0,14000.0,14000.0,15654.929577464789,15654.929577464789
114,117,Energy management method of hydrogen fuel cell hybrid electric vehicle,"FU ZHUMU 
SUN HAOCHEN 
GAO AIYUN 
TAO FAZHAN 
SI PENGJU 
ZHU LONGLONG 
SHI ZEHUA",['UNIV HENAN SCIENCE & TECH'],"CN111409510A 
CN111409510B",1970,"B60L58/12 
B60L58/40 
G06F17/15","['B60L58/12 (CN) ', 'B60L58/40 (CN) ', 'G06F17/15 (CN) ', 'Y02T10/70 (EP)']","2020-07-14 
2021-08-31",2020-07-14,71487833,,2020-07-14,2021-08-31,CN111409510A,CN111409510B,CN,CN,2020,2020,,Technology Company,B60L58/12 (CN),CN,,55,14000.0,14000.0,14000.0,15654.929577464789,15654.929577464789
115,118,Power battery assembly of electric automobile and electric automobile,"ICHIKAWA SHINJI 
KATAYAMA YUSUKE 
IWAMURA TORU 
OBA AKIHIKO 
LI JINGYI",['TOYOTA MOTOR CORP'],CN211468177U,1970,B60L50/75,"['Y02T10/70 (EP) ', 'Y02T90/40 (EP)']",2020-09-11,2020-09-11,72365422,,2020-09-11,,CN211468177U,,CN,,2020,2019,,Company - General,Y02T10/70 (EP),CN,2020.0,55,14000.0,14000.0,14000.0,15654.929577464789,15654.929577464789
116,119,METHOD OF CONTROLLING A BATTERY OF POWER GENERATING ELECTRIC VEHICLE,"KOBAYASHI TETSUYA 
YAMASHITA TAKASHI 
KAWAI TOSHIYUKI","['DENSO CORP ', 'NIPPON SOKEN']","JP2000312404A 
JP4433535B2",1970,"B60K6/02 
B60L11/12 
B60L3/00 
G01R31/36 
H02J7/00 
B60K6/20 
B60K6/28 
B60K6/48 
B60L3/00 
B60L50/15 
B60W10/26 
B60W20/00 
G01R31/36 
H02J7/00","['Y02T10/62 (EP) ', 'Y02T10/70 (EP)']","2000-11-07 
2010-03-17",2000-11-07,26387166,,2000-11-07,2010-03-17,JP2000312404A,JP4433535B2,JP,JP,2000,1999,,Company - General,Y02T10/62 (EP),JP,,55,23000.0,23000.0,23000.0,15654.929577464789,15654.929577464789
117,120,Five-wheeled electric vehicle capable of charging when running,"FUKANG XIE [CN] 
FUKANG XIE","['FUKANG XIE [CN] ', 'FUKANG XIE']","CN101306650A 
CN101306650B",1970,B60L5/40,,"2008-11-19 
2010-06-09",2008-11-19,40123398,,2008-11-19,2010-06-09,CN101306650A,CN101306650B,CN,CN,2008,2007,CN,Individual Inventor,,CN,,55,14000.0,14000.0,14000.0,15654.929577464789,15654.929577464789
118,121,Management method of electric automobile battery charging operation,"TIELIANG WANG 
HUA WANG",['BEIJING CREATIVE WUXIAN SOFTWA'],CN101685890A,1970,"B60L11/18 
G07F15/06 
G07F15/08 
H01M10/42 
H01M10/44 
H02J7/00","['Y02E60/10 (EP) ', 'Y02T10/70 (EP) ', 'Y02T90/12 (EP)']",2010-03-31,2010-03-31,42048928,,2010-03-31,,CN101685890A,,CN,,2010,2008,,Technology Company,Y02E60/10 (EP),CN,2010.0,55,14000.0,14000.0,14000.0,15654.929577464789,15654.929577464789
119,122,Method of controlling battery condition of self-generation electric vehicle,"KAWAI TOSHIYUKI [JP] 
KOBAYASHI TETSUYA [JP] 
YAMASHITA TAKASHI [JP]","['DENSO CORP [US] ', 'NIPPON SOKEN [US]']",US6232744B1,1970,"B60K1/00 
B60L1/00 
H02J7/00 
B60K6/28 
B60K6/445 
B60K6/48 
B60L11/18 
B60W10/26 
G01R31/36 
H02J7/00 
H02J7/14","['B60K6/28 (EP,US) ', 'B60K6/445 (EP,US) ', 'B60K6/48 (EP,US) ', 'B60L50/16 (EP,US) ', 'B60L50/61 (EP,US) ', 'B60L58/12 (EP,US) ', 'B60L58/22 (EP,US) ', 'B60W10/26 (EP,US) ', 'G01R31/3842 (EP,US) ', 'G01R31/396 (EP,US) ', 'H02J7/0069 (EP,US) ', 'H02J7/1415 (EP,US) ', 'G01R31/367 (EP,US) ', 'Y02T10/62 (EP,US) ', 'Y02T10/70 (EP,US) ', 'Y02T10/7072 (EP,US) ', 'Y10S903/907 (EP,US)']",2001-05-15,2001-05-15,27461978,,2001-05-15,,US6232744B1,,US,,2001,1999,US,Company - General,"B60K6/28 (EP,US)",US,2001.0,55,16000.0,16000.0,16000.0,15654.929577464789,15654.929577464789
120,123,Mobile electric vehicle based on methanol fuel parallel power generation,"WANG HUAFENG 
CHEN HUI 
OTHER INVENTORS HAVE WAIVED THE RIGHT TO BE MENTIONED",['SHANGHAI WEIJIA TIANYI NEW ENERGY TECH CO LTD'],CN217477109U,1970,"B60L53/30 
B60L53/50 
B60L53/51 
B60P3/00",,2022-09-23,2022-09-23,83307736,,2022-09-23,,CN217477109U,,CN,,2022,2022,,Company - Limited,,CN,2022.0,55,14000.0,14000.0,14000.0,15654.929577464789,15654.929577464789
121,124,Hydrogen fuel turbine range extender system of electric vehicle and control method,"LIAN JINYI 
FENG RUI 
LI JIE 
ZHANG XIQING 
ZHI JINNING 
LI ZHANLONG",['UNIV TAIYUAN SCIENCE & TECH'],CN110816307A,1970,"B60L50/62 
B60L53/00 
B60L58/12","['B60L50/62 (CN) ', 'B60L53/00 (CN) ', 'B60L58/12 (CN) ', 'Y02T10/62 (EP) ', 'Y02T10/70 (EP) ', 'Y02T10/7072 (EP) ', 'Y02T90/14 (EP) ', 'Y02T90/16 (EP)']",2020-02-21,2020-02-21,69557142,,2020-02-21,,CN110816307A,,CN,,2020,2019,,Technology Company,B60L50/62 (CN),CN,2020.0,55,14000.0,14000.0,14000.0,15654.929577464789,15654.929577464789
122,125,Electro-optical hydrogen storage micro-grid for transformer substation and control method of electro-optical hydrogen storage micro-grid,"YANG YANG 
SONG ZHENGXIANG 
XIAO QIUYAO",['UNIV XI AN JIAOTONG'],"CN115102153A 
CN115102153B",1970,"H02J1/10 
H02J1/14 
H02J3/00 
H02J3/28 
H02J3/38 
H02J5/00","['H02J1/10 (CN) ', 'H02J1/14 (CN) ', 'H02J3/008 (CN) ', 'H02J3/28 (CN) ', 'H02J3/388 (CN) ', 'H02J5/00 (CN) ', 'H02J2300/24 (CN)']","2022-09-23 
2024-05-24",2022-09-23,83296779,,2022-09-23,2024-05-24,CN115102153A,CN115102153B,CN,CN,2022,2022,,University/Research Institution,H02J1/10 (CN),CN,,55,14000.0,14000.0,14000.0,15654.929577464789,15654.929577464789
123,126,Charge operation method of electric vehicle,"TIELIANG WANG [CN] 
HUA WANG [CN]",['TIELIANG WANG [CN]'],CN101090167A,1970,"B60K1/04 
H01M10/44 
H02J7/00",['Y02E60/10 (EP)'],2007-12-19,2007-12-19,38943395,,2007-12-19,,CN101090167A,,CN,,2007,2007,CN,Individual Inventor,Y02E60/10 (EP),CN,2007.0,55,14000.0,14000.0,14000.0,15654.929577464789,15654.929577464789
124,127,Charging system for electric automobile,XIANG HUA,['SHANGHAI HYDROGEN MOBILE REFORMER INSTR CO LTD'],CN106025300A,1970,"B60L11/18 
H01M4/90 
H01M8/0612 
H02J7/00","['B60L53/30 (CN) ', 'B60L53/51 (CN) ', 'B60L53/52 (CN) ', 'B60L53/54 (CN) ', 'H01M4/9016 (CN) ', 'H01M8/0618 (CN) ', 'H02J7/0027 (CN) ', 'H01M2250/20 (CN) ', 'Y02E60/50 (EP) ', 'Y02T10/70 (EP) ', 'Y02T10/7072 (EP) ', 'Y02T90/12 (EP)']",2016-10-12,2016-10-12,57088883,,2016-10-12,,CN106025300A,,CN,,2016,2016,,Company - Limited,B60L53/30 (CN),CN,2016.0,55,14000.0,14000.0,14000.0,15654.929577464789,15654.929577464789
125,128,Solar electric vehicle,MAO LILONG,['MAO LILONG'],CN104385931A,1970,B60L8/00,['Y02T10/7072 (EP)'],2015-03-04,2015-03-04,52603924,,2015-03-04,,CN104385931A,,CN,,2015,2014,,Individual Inventor,Y02T10/7072 (EP),CN,2015.0,55,14000.0,14000.0,14000.0,15654.929577464789,15654.929577464789
126,129,fire extinguishing apparatus for electric vehicle,CHUNG DAE WON [KR],['CHUNG DAE WON [KR]'],KR102480842B1,1970,"A62C3/07 
A62C3/16 
A62C31/02 
A62C37/38 
H01M10/42 
H01M10/48 
H01M10/613 
H01M10/625",,2022-12-23,2022-12-23,84536394,,2022-12-23,,KR102480842B1,,KR,,2022,2021,KR,Individual Inventor,,KR,2022.0,55,25000.0,25000.0,25000.0,15654.929577464789,15654.929577464789
127,130,"Battery electric vehicle with battery charging device (Machine-translation by Google Translate, not legally binding)",SCARDELLA PIERO [IT],['SCARDELLA PIERO [IT]'],"ES1306904U 
ES1306904Y",1970,"B60L50/60 
H02J7/14","['B60K1/00 (PL) ', 'B60K1/02 (PL) ', 'B60K1/04 (PL) ', 'B60K16/00 (PL) ', 'B60K17/00 (PL) ', 'B60K25/08 (PL) ', 'B60L50/50 (PL) ', 'B60L50/60 (EP,BR,PL) ', 'B60L53/00 (PL) ', 'B60L58/14 (EP) ', 'B60L58/18 (EP) ', 'B60L7/10 (PL) ', 'B60L7/24 (PL) ', 'B60L8/00 (PL) ', 'H02J7/00 (PL) ', 'H02N11/008 (EP) ', 'Y02T10/70 (EP)']","2024-04-22 
2024-07-12",2023-11-28,89167856,,2024-04-22,2024-07-12,ES1306904U,ES1306904Y,ES,ES,2024,2022,IT,Individual Inventor,B60K1/00 (PL),ES,,55,8000.0,8000.0,8000.0,15654.929577464789,15654.929577464789
128,131,"FUEL-CELL-BASED ELECTRIC VEHICLE CHARGING SYSTEM, METHOD AND DEVICE, AND STORAGE MEDIUM","SONG FENTAO [CN] 
ZHANG KEWEI [CN]",['AIWAYS AUTOMOBILE SHANGHAI CO LTD [CN]'],WO2020042592A1,1970,B60L53/00,"['B60L53/00 (EP) ', 'Y02T10/70 (EP) ', 'Y02T10/7072 (EP) ', 'Y02T10/72 (EP) ', 'Y02T90/14 (EP) ', 'Y02T90/167 (EP) ', 'Y04S30/12 (EP)']",2020-03-05,2018-12-25,64794961,,2020-03-05,,WO2020042592A1,,WO,,2020,2018,CN,Company - Limited,B60L53/00 (EP),WO,2020.0,55,9000.0,9000.0,9000.0,15654.929577464789,15654.929577464789
129,132,Electricity-hydrogen composite energy charging station optimization scheduling strategy based on energy charging decision prediction,"ZHENG WENDI 
LEE KOO-YONG 
YUAN JIAJUN 
SHAO ZHENGUO 
LYU BOCHAO 
LIU ZHIYUAN 
ZHANG BINGTAO 
SUN JIN",['UNIV FUZHOU'],CN116674411A,1970,"B60L53/00 
B60L53/50 
B60L53/60 
B60L53/64 
G06N3/126 
G06Q10/04 
G06Q10/0631 
G06Q50/06","['B60L53/00 (CN) ', 'B60L53/50 (CN) ', 'B60L53/60 (CN) ', 'B60L53/64 (CN) ', 'G06N3/126 (CN) ', 'G06Q10/04 (CN) ', 'G06Q10/06312 (CN) ', 'G06Q50/06 (CN) ', 'B60L2260/50 (CN)']",2023-09-01,2023-09-01,87790347,,2023-09-01,,CN116674411A,,CN,,2023,2023,,University/Research Institution,B60L53/00 (CN),CN,2023.0,55,14000.0,14000.0,14000.0,15654.929577464789,15654.929577464789
130,133,Inter-city road charging station planning method including hydrogen energy distribution,"LIU YUQING 
HU FENG",['UNIV WUCHANG TECHNOLOGY'],CN118628166A,1970,"G06Q10/047 
G06Q10/0631 
G06Q30/0201 
G06Q30/0204 
G06Q50/06","['G06Q10/047 (CN) ', 'G06Q10/06312 (CN) ', 'G06Q10/06315 (CN) ', 'G06Q30/0205 (CN) ', 'G06Q30/0206 (CN) ', 'G06Q50/06 (CN)']",2024-09-10,2024-09-10,92604281,,2024-09-10,,CN118628166A,,CN,,2024,2024,,Technology Company,G06Q10/047 (CN),CN,2024.0,55,14000.0,14000.0,14000.0,15654.929577464789,15654.929577464789
131,134,Double-layer optimization scheduling method and system for micro-energy network containing electric vehicle energy charging station,"XU DA 
ZHANG MINGCAN 
LI HONGJIA 
HUANG ZHANGYOU",['UNIV CHINA GEOSCIENCES WUHAN'],CN117944503A,1970,"B60L53/31 
B60L53/62 
G06Q10/0631 
G06Q50/06 
H02J3/00","['B60L53/31 (CN) ', 'B60L53/62 (CN) ', 'G06Q10/06312 (CN) ', 'G06Q50/06 (CN) ', 'H02J3/00 (CN) ', 'H02J3/008 (CN) ', 'H02J2203/10 (CN) ', 'H02J2203/20 (CN)']",2024-04-30,2024-04-30,90796014,,2024-04-30,,CN117944503A,,CN,,2024,2024,,University/Research Institution,B60L53/31 (CN),CN,2024.0,55,14000.0,14000.0,14000.0,15654.929577464789,15654.929577464789
132,135,Power supply system and method based on electric vehicle storage array and hydrogen fuel cell,"WANG KUAN 
LIU ZHENG 
LIU ZHENGYANG 
HAN FENG 
ZHOU DAXING 
CHEN JING 
SHI LEXIAN 
WEN KAI 
KANG WEIDE 
ZHANG YAQI 
LI LUPING","['CHINA RAILWAY CONSTR GROUP CO ', 'CHINA RAILWAY CONSTRUCTION CORP LTD']",CN111697685A,1970,"A62B13/00 
B60P3/00 
F24D15/00 
F24F11/64 
F24F11/72 
F24F11/80 
H02J9/06 
H02J9/08 
F24F110/10 
F24F110/20 
F24F110/65 
F24F110/70 
F24F110/76","['A62B13/00 (CN) ', 'B60P3/00 (CN) ', 'F24D15/00 (CN) ', 'F24F11/64 (CN) ', 'F24F11/72 (CN) ', 'F24F11/80 (CN) ', 'H02J9/068 (CN) ', 'H02J9/08 (CN) ', 'F24F2110/10 (CN) ', 'F24F2110/20 (CN) ', 'F24F2110/65 (CN) ', 'F24F2110/70 (CN) ', 'F24F2110/76 (CN) ', 'Y02B70/30 (EP) ', 'Y04S20/20 (EP)']",2020-09-22,2020-09-22,72483617,,2020-09-22,,CN111697685A,,CN,,2020,2020,,Company - Limited,A62B13/00 (CN),CN,2020.0,55,14000.0,14000.0,14000.0,15654.929577464789,15654.929577464789
133,136,Hybrid power system of vehicle-mounted aluminum-water hydrogen production fuel cell electric vehicle,"WU QIAN 
YE LIANZHONG 
WU QIANG 
WU WANYI",['GUANGDONG HONGYUAN HYDROGEN ENERGY POWER EQUIPMENT MFG CO LTD'],CN110116640A,1970,"B60L50/75 
B60L58/40 
H01M8/0656","['B60L50/75 (CN) ', 'B60L58/40 (CN) ', 'H01M8/0656 (CN) ', 'Y02E60/50 (EP) ', 'Y02T10/70 (EP) ', 'Y02T90/40 (EP)']",2019-08-13,2019-08-13,67523709,,2019-08-13,,CN110116640A,,CN,,2019,2019,,Company - Limited,B60L50/75 (CN),CN,2019.0,55,14000.0,14000.0,14000.0,15654.929577464789,15654.929577464789
134,137,Magnetic anti-collision shared charging vehicle for electric vehicle,"XU WEINAN 
XU YONGPING 
WANG ZHENXIANG","['XU WEINAN ', 'XU YONGPING']",CN215322985U,1970,"B60L50/60 
B60L53/16 
B60L53/18 
B60L58/12 
B62D63/06 
B62D63/08","['Y02T10/70 (EP) ', 'Y02T10/7072 (EP) ', 'Y02T90/14 (EP)']",2021-12-28,2021-12-28,79549187,,2021-12-28,,CN215322985U,,CN,,2021,2021,,Individual Inventor,Y02T10/70 (EP),CN,2021.0,55,14000.0,14000.0,14000.0,15654.929577464789,15654.929577464789
135,138,Electric vehicle power system based on fuel cell and control method of electric vehicle power system,"JI MENGBO 
MA XUEMING 
WEI YINCANG",['YINLONG ENERGY CO LTD'],CN110015210A,1970,B60L58/40,"['B60L58/40 (CN) ', 'B60L2210/10 (CN) ', 'Y02T10/70 (EP) ', 'Y02T10/72 (EP)']",2019-07-16,2019-07-16,67186295,,2019-07-16,,CN110015210A,,CN,,2019,2017,,Company - Limited,B60L58/40 (CN),CN,2019.0,55,14000.0,14000.0,14000.0,15654.929577464789,15654.929577464789
136,139,The invention discloses an electric vehicle power battery voltage balance teaching auxiliary simulation device,"CHEN SHANQIU 
FAN JIANWEN 
FANG RUILIAN 
JIANG ZONGJUN 
FENG CIHANG 
CHEN CHUNLIN 
ZHAO HAIJING 
XIE YIJIE",['LUSHAN COLLEGE GUANGXI UNIV SCIENCE & TECHNOLOGY'],CN208908109U,1970,G09B23/18,,2019-05-28,2019-05-28,66613058,,2019-05-28,,CN208908109U,,CN,,2019,2018,,Company - General,,CN,2019.0,55,14000.0,14000.0,14000.0,15654.929577464789,15654.929577464789
137,140,Apparatus for hydrogen electric vehicle monitoring for predict abnormal or dangerous situations and method thereof,"JANG JEONG AH 
LEE HYUNMI 
OH SEI CHANG 
YI YONGJU",['UNIV AJOU IND ACADEMIC COOP FOUND [KR]'],KR102530581B1,1970,"B60L3/12 
B60L58/30 
G06F17/18 
G06Q50/10 
G06Q50/30 
G08B21/18",,2023-05-10,2023-05-10,86385982,,2023-05-10,,KR102530581B1,,KR,,2023,2021,KR,Company - General,,KR,2023.0,55,25000.0,25000.0,25000.0,15654.929577464789,15654.929577464789
138,141,"Charging temperature control device of vehicle battery pack, battery management system and electric vehicle","XIU SHUDONG 
YANG ZHENYU 
LI SHUYE",['SVOLT ENERGY TECH COMPANY LTD'],CN208986134U,1970,"H01M10/44 
H01M10/615 
H01M10/625 
H01M10/633 
H01M10/637",['Y02E60/10 (EP)'],2019-06-14,2019-06-14,66792249,,2019-06-14,,CN208986134U,,CN,,2019,2018,,Company - Limited,Y02E60/10 (EP),CN,2019.0,55,14000.0,14000.0,14000.0,15654.929577464789,15654.929577464789
139,142,Electric vehicle wind-solar complementary power generation infinite endurance system,ZHAO GUANGJUN,['ZHAO GUANGJUN'],CN112277654A,1970,"B60L58/10 
B60L8/00 
F03D9/11 
F03D9/32 
H02J7/35","['B60L58/10 (CN) ', 'B60L8/003 (CN) ', 'B60L8/006 (CN) ', 'F03D9/11 (CN) ', 'F03D9/32 (CN) ', 'H02J7/35 (CN) ', 'Y02E10/72 (EP) ', 'Y02E10/728 (EP) ', 'Y02E70/30 (EP) ', 'Y02T10/70 (EP) ', 'Y02T10/7072 (EP)']",2021-01-29,2021-01-29,74373868,,2021-01-29,,CN112277654A,,CN,,2021,2020,,Individual Inventor,B60L58/10 (CN),CN,2021.0,55,14000.0,14000.0,14000.0,15654.929577464789,15654.929577464789
140,143,Energy management method and device of hydrogen fuel electric vehicle and storage medium,"ZHANG QINGZHENG 
DONG WENWEN 
ZHANG NING 
YANG XINGUANG 
LIU YANG 
ZENG XUNNAN 
LI ZHONGYU",['XCMG CONSTR MACHINERY CO LTD SCIENCE & TECHNOLOGY BRANCH'],CN117341543A,1970,"B60L50/75 
B60L58/12 
B60L58/13 
B60L58/40","['B60L50/75 (CN) ', 'B60L58/12 (CN) ', 'B60L58/13 (CN) ', 'B60L58/40 (CN) ', 'B60L2200/40 (CN)']",2024-01-05,2024-01-05,89354817,,2024-01-05,,CN117341543A,,CN,,2024,2023,,Company - Limited,B60L50/75 (CN),CN,2024.0,55,14000.0,14000.0,14000.0,15654.929577464789,15654.929577464789
141,144,TEMPERATURE CONTROL METHOD FOR NICKEL-HYDROGEN BATTERY,"SATO NOBORU 
NAKATANI KATSUNORI",['HONDA MOTOR CO LTD'],JPH0773907A,1970,"H01M10/50 
H01M10/50",,1995-03-17,1995-03-17,17108947,,1995-03-17,,JPH0773907A,,JP,,1995,1993,,Company - Limited,,JP,1995.0,55,23000.0,23000.0,23000.0,15654.929577464789,15654.929577464789
142,145,Hydrogen energy moped control system,"TAO ANPING 
HUANG DEYUN 
XU PEI 
CEN JIAN 
JIANG BING 
MIAO HONGXIA 
LI WEI",['YOUON TECH CO LTD'],CN209505977U,1970,"B60L58/30 
B60L58/33 
B60L58/40 
B62H5/00 
B62M6/45","['Y02T10/70 (EP) ', 'Y02T90/40 (EP)']",2019-10-18,2019-10-18,68203323,,2019-10-18,,CN209505977U,,CN,,2019,2019,,Company - Limited,Y02T10/70 (EP),CN,2019.0,55,14000.0,14000.0,14000.0,15654.929577464789,15654.929577464789
143,146,ELECTRIC VEHICLE,"TAKEI RIKI 
MIZUSHITA YOSHINORI 
HIRAMITSU YUSUKE 
NAKANE KAZUYOSHI 
TASHIRO KEISUKE",['MITSUBISHI MOTORS CORP'],"JP2018147732A 
JP6950203B2",1970,"B60L11/18 
H01M8/04701 
B60K1/04 
B60K8/00 
H01M8/00 
H01M8/04 
B60L50/75 
H01M8/04291 
H01M8/043","['Y02E60/50 (EP) ', 'Y02T10/70 (EP) ', 'Y02T90/40 (EP)']","2018-09-20 
2021-10-13",2018-09-20,63591519,,2018-09-20,2021-10-13,JP2018147732A,JP6950203B2,JP,JP,2018,2017,,Company - General,Y02E60/50 (EP),JP,,55,23000.0,23000.0,23000.0,15654.929577464789,15654.929577464789
