"No";"Title";"Inventors";"Applicants";"Publication number";"Earliest priority";"IPC";"CPC";"Publication date";"Earliest publication";"Family number";
"128";"Solar electric vehicle";"MAO LILONG";"MAO LILONG";"CN104385931A";"2014-11-17";"B60L8/00";"Y02T10/7072 (EP)";"2015-03-04";"2015-03-04";"052603924";
"129";"fire extinguishing apparatus for electric vehicle";"CHUNG DAE WON [KR]";"CHUNG DAE WON [KR]";"KR102480842B1";"2021-12-24";"A62C3/07 
A62C3/16 
A62C31/02 
A62C37/38 
H01M10/42 
H01M10/48 
H01M10/613 
H01M10/625";"";"2022-12-23";"2022-12-23";"084536394";
"130";"Battery electric vehicle with battery charging device (Machine-translation by Google Translate, not legally binding)";"SCARDELLA PIERO [IT]";"SCARDELLA PIERO [IT]";"ES1306904U 
ES1306904Y";"2022-10-18";"B60L50/60 
H02J7/14";"B60K1/00 (PL) 
B60K1/02 (PL) 
B60K1/04 (PL) 
B60K16/00 (PL) 
B60K17/00 (PL) 
B60K25/08 (PL) 
B60L50/50 (PL) 
B60L50/60 (EP,BR,PL) 
B60L53/00 (PL) 
B60L58/14 (EP) 
B60L58/18 (EP) 
B60L7/10 (PL) 
B60L7/24 (PL) 
B60L8/00 (PL) 
H02J7/00 (PL) 
H02N11/008 (EP) 
Y02T10/70 (EP)";"2024-04-22 
2024-07-12";"2023-11-28";"089167856";
"131";"FUEL-CELL-BASED ELECTRIC VEHICLE CHARGING SYSTEM, METHOD AND DEVICE, AND STORAGE MEDIUM";"SONG FENTAO [CN] 
ZHANG KEWEI [CN]";"AIWAYS AUTOMOBILE SHANGHAI CO LTD [CN]";"WO2020042592A1";"2018-08-28";"B60L53/00";"B60L53/00 (EP) 
Y02T10/70 (EP) 
Y02T10/7072 (EP) 
Y02T10/72 (EP) 
Y02T90/14 (EP) 
Y02T90/167 (EP) 
Y04S30/12 (EP)";"2020-03-05";"2018-12-25";"064794961";
"132";"Electricity-hydrogen composite energy charging station optimization scheduling strategy based on energy charging decision prediction";"ZHENG WENDI 
LEE KOO-YONG 
YUAN JIAJUN 
SHAO ZHENGUO 
LYU BOCHAO 
LIU ZHIYUAN 
ZHANG BINGTAO 
SUN JIN";"UNIV FUZHOU";"CN116674411A";"2023-06-06";"B60L53/00 
B60L53/50 
B60L53/60 
B60L53/64 
G06N3/126 
G06Q10/04 
G06Q10/0631 
G06Q50/06";"B60L53/00 (CN) 
B60L53/50 (CN) 
B60L53/60 (CN) 
B60L53/64 (CN) 
G06N3/126 (CN) 
G06Q10/04 (CN) 
G06Q10/06312 (CN) 
G06Q50/06 (CN) 
B60L2260/50 (CN)";"2023-09-01";"2023-09-01";"087790347";
"133";"Inter-city road charging station planning method including hydrogen energy distribution";"LIU YUQING 
HU FENG";"UNIV WUCHANG TECHNOLOGY";"CN118628166A";"2024-04-29";"G06Q10/047 
G06Q10/0631 
G06Q30/0201 
G06Q30/0204 
G06Q50/06";"G06Q10/047 (CN) 
G06Q10/06312 (CN) 
G06Q10/06315 (CN) 
G06Q30/0205 (CN) 
G06Q30/0206 (CN) 
G06Q50/06 (CN)";"2024-09-10";"2024-09-10";"092604281";
"134";"Double-layer optimization scheduling method and system for micro-energy network containing electric vehicle energy charging station";"XU DA 
ZHANG MINGCAN 
LI HONGJIA 
HUANG ZHANGYOU";"UNIV CHINA GEOSCIENCES WUHAN";"CN117944503A";"2024-01-29";"B60L53/31 
B60L53/62 
G06Q10/0631 
G06Q50/06 
H02J3/00";"B60L53/31 (CN) 
B60L53/62 (CN) 
G06Q10/06312 (CN) 
G06Q50/06 (CN) 
H02J3/00 (CN) 
H02J3/008 (CN) 
H02J2203/10 (CN) 
H02J2203/20 (CN)";"2024-04-30";"2024-04-30";"090796014";
"135";"Power supply system and method based on electric vehicle storage array and hydrogen fuel cell";"WANG KUAN 
LIU ZHENG 
LIU ZHENGYANG 
HAN FENG 
ZHOU DAXING 
CHEN JING 
SHI LEXIAN 
WEN KAI 
KANG WEIDE 
ZHANG YAQI 
LI LUPING";"CHINA RAILWAY CONSTR GROUP CO 
CHINA RAILWAY CONSTRUCTION CORP LTD";"CN111697685A";"2020-06-24";"A62B13/00 
B60P3/00 
F24D15/00 
F24F11/64 
F24F11/72 
F24F11/80 
H02J9/06 
H02J9/08 
F24F110/10 
F24F110/20 
F24F110/65 
F24F110/70 
F24F110/76";"A62B13/00 (CN) 
B60P3/00 (CN) 
F24D15/00 (CN) 
F24F11/64 (CN) 
F24F11/72 (CN) 
F24F11/80 (CN) 
H02J9/068 (CN) 
H02J9/08 (CN) 
F24F2110/10 (CN) 
F24F2110/20 (CN) 
F24F2110/65 (CN) 
F24F2110/70 (CN) 
F24F2110/76 (CN) 
Y02B70/30 (EP) 
Y04S20/20 (EP)";"2020-09-22";"2020-09-22";"072483617";
"136";"Hybrid power system of vehicle-mounted aluminum-water hydrogen production fuel cell electric vehicle";"WU QIAN 
YE LIANZHONG 
WU QIANG 
WU WANYI";"GUANGDONG HONGYUAN HYDROGEN ENERGY POWER EQUIPMENT MFG CO LTD";"CN110116640A";"2019-05-31";"B60L50/75 
B60L58/40 
H01M8/0656";"B60L50/75 (CN) 
B60L58/40 (CN) 
H01M8/0656 (CN) 
Y02E60/50 (EP) 
Y02T10/70 (EP) 
Y02T90/40 (EP)";"2019-08-13";"2019-08-13";"067523709";
"137";"Magnetic anti-collision shared charging vehicle for electric vehicle";"XU WEINAN 
XU YONGPING 
WANG ZHENXIANG";"XU WEINAN 
XU YONGPING";"CN215322985U";"2021-05-30";"B60L50/60 
B60L53/16 
B60L53/18 
B60L58/12 
B62D63/06 
B62D63/08";"Y02T10/70 (EP) 
Y02T10/7072 (EP) 
Y02T90/14 (EP)";"2021-12-28";"2021-12-28";"079549187";
"138";"Electric vehicle power system based on fuel cell and control method of electric vehicle power system";"JI MENGBO 
MA XUEMING 
WEI YINCANG";"YINLONG ENERGY CO LTD";"CN110015210A";"2017-09-14";"B60L58/40";"B60L58/40 (CN) 
B60L2210/10 (CN) 
Y02T10/70 (EP) 
Y02T10/72 (EP)";"2019-07-16";"2019-07-16";"067186295";
"139";"The invention discloses an electric vehicle power battery voltage balance teaching auxiliary simulation device";"CHEN SHANQIU 
FAN JIANWEN 
FANG RUILIAN 
JIANG ZONGJUN 
FENG CIHANG 
CHEN CHUNLIN 
ZHAO HAIJING 
XIE YIJIE";"LUSHAN COLLEGE GUANGXI UNIV SCIENCE & TECHNOLOGY";"CN208908109U";"2018-08-16";"G09B23/18";"";"2019-05-28";"2019-05-28";"066613058";
"140";"Apparatus for hydrogen electric vehicle monitoring for predict abnormal or dangerous situations and method thereof";"JANG JEONG AH 
LEE HYUNMI 
OH SEI CHANG 
YI YONGJU";"UNIV AJOU IND ACADEMIC COOP FOUND [KR]";"KR102530581B1";"2021-12-03";"B60L3/12 
B60L58/30 
G06F17/18 
G06Q50/10 
G06Q50/30 
G08B21/18";"";"2023-05-10";"2023-05-10";"086385982";
"141";"Charging temperature control device of vehicle battery pack, battery management system and electric vehicle";"XIU SHUDONG 
YANG ZHENYU 
LI SHUYE";"SVOLT ENERGY TECH COMPANY LTD";"CN208986134U";"2018-12-14";"H01M10/44 
H01M10/615 
H01M10/625 
H01M10/633 
H01M10/637";"Y02E60/10 (EP)";"2019-06-14";"2019-06-14";"066792249";
"142";"Electric vehicle wind-solar complementary power generation infinite endurance system";"ZHAO GUANGJUN";"ZHAO GUANGJUN";"CN112277654A";"2020-10-22";"B60L58/10 
B60L8/00 
F03D9/11 
F03D9/32 
H02J7/35";"B60L58/10 (CN) 
B60L8/003 (CN) 
B60L8/006 (CN) 
F03D9/11 (CN) 
F03D9/32 (CN) 
H02J7/35 (CN) 
Y02E10/72 (EP) 
Y02E10/728 (EP) 
Y02E70/30 (EP) 
Y02T10/70 (EP) 
Y02T10/7072 (EP)";"2021-01-29";"2021-01-29";"074373868";
"143";"Energy management method and device of hydrogen fuel electric vehicle and storage medium";"ZHANG QINGZHENG 
DONG WENWEN 
ZHANG NING 
YANG XINGUANG 
LIU YANG 
ZENG XUNNAN 
LI ZHONGYU";"XCMG CONSTR MACHINERY CO LTD SCIENCE & TECHNOLOGY BRANCH";"CN117341543A";"2023-09-13";"B60L50/75 
B60L58/12 
B60L58/13 
B60L58/40";"B60L50/75 (CN) 
B60L58/12 (CN) 
B60L58/13 (CN) 
B60L58/40 (CN) 
B60L2200/40 (CN)";"2024-01-05";"2024-01-05";"089354817";
"144";"TEMPERATURE CONTROL METHOD FOR NICKEL-HYDROGEN BATTERY";"SATO NOBORU 
NAKATANI KATSUNORI";"HONDA MOTOR CO LTD";"JPH0773907A";"1993-09-03";"H01M10/50 
H01M10/50";"";"1995-03-17";"1995-03-17";"017108947";
"145";"Hydrogen energy moped control system";"TAO ANPING 
HUANG DEYUN 
XU PEI 
CEN JIAN 
JIANG BING 
MIAO HONGXIA 
LI WEI";"YOUON TECH CO LTD";"CN209505977U";"2019-01-30";"B60L58/30 
B60L58/33 
B60L58/40 
B62H5/00 
B62M6/45";"Y02T10/70 (EP) 
Y02T90/40 (EP)";"2019-10-18";"2019-10-18";"068203323";
"146";"ELECTRIC VEHICLE";"TAKEI RIKI 
MIZUSHITA YOSHINORI 
HIRAMITSU YUSUKE 
NAKANE KAZUYOSHI 
TASHIRO KEISUKE";"MITSUBISHI MOTORS CORP";"JP2018147732A 
JP6950203B2";"2017-03-06";"B60L11/18 
H01M8/04701 
B60K1/04 
B60K8/00 
H01M8/00 
H01M8/04 
B60L50/75 
H01M8/04291 
H01M8/043";"Y02E60/50 (EP) 
Y02T10/70 (EP) 
Y02T90/40 (EP)";"2018-09-20 
2021-10-13";"2018-09-20";"063591519";
"147";"AN ADAPTER, SYSTEM AND ARRANGEMENT FOR MONITORING THE BATTERY OF AN ELECTRIC VEHICLE";"ADAMS RALF ARNOLDUS ANTONIUS [NL] 
WIJNANS HENDRICUS JOHANNES BERNARDUS [NL] 
HUIJDING ERIC COENRAAD [NL]";"ADAMS RALF ARNOLDUS ANTONIUS [NL] 
WIJNANS HENDRICUS JOHANNES BERNARDUS [NL]";"EP4140801A1";"2021-08-23";"B60L53/16 
B60L53/62";"B60L53/16 (EP) 
B60L53/18 (EP) 
B60L53/305 (EP) 
B60L53/62 (EP) 
B60L2250/10 (EP) 
Y02T10/70 (EP) 
Y02T10/7072 (EP) 
Y02T90/12 (EP) 
Y02T90/14 (EP) 
Y02T90/16 (EP)";"2023-03-01";"2023-03-01";"078771101";
"148";"Extended range type electric vehicle power system based on fuel battery and control method for extended range type electric vehicle power system";"CHANGJUN XIE 
SHUHAI QUAN 
DI SHEN 
YING SHI 
LIANG HUANG 
QIHONG CHEN 
XIAOMING SUN 
LIYAN ZHANG 
JIAN DENG 
XIE CHANGJUN 
QUAN SHUHAI 
SHEN DI 
SHI YING 
HUANG LIANG 
CHEN QIHONG 
SUN XIAOMING 
ZHANG LIYAN 
DENG JIAN";"UNIV WUHAN TECH";"CN102358201A 
CN102358201B";"2011-08-08";"B60L11/18";"Y02T10/70 (EP)";"2012-02-22 
2013-09-18";"2012-02-22";"045583599";
"149";"Topological structure of extended-range hydrogen fuel cell hybrid electric vehicle and energy distribution method";"HYUN DONG-KIL 
HUANG YIN 
HU HAOQIN 
TAN JIAQI 
LU CHENLEI 
LIU SHENGNAN 
KANG ZEHAO 
MAO XUPING";"UNIV WENZHOU";"CN115610246A 
CN115610246B";"2022-10-13";"B60L50/40 
B60L50/75 
B60L58/40";"B60L50/40 (CN) 
B60L50/75 (CN) 
B60L58/40 (CN) 
B60L2240/54 (CN) 
Y02T10/70 (EP)";"2023-01-17 
2024-10-25";"2023-01-17";"084862100";
"150";"Remove quick storage battery car";"FAN PINLIANG 
FAN DEXIAN 
FAN ZHIQIANG 
ZOU GUOHUI 
HONG CHENDAN";"FAN PINLIANG 
ZOU GUOHUI";"CN205523868U";"2016-01-21";"B60L11/18 
B60P3/00 
H02J7/00";"Y02T10/70 (EP) 
Y02T90/167 (EP) 
Y04S30/12 (EP)";"2016-08-31";"2016-08-31";"056766369";
"151";"Hybrid electric vehicle, discharging control method and control device thereof and storage medium";"YIN JIANKUN 
MA YANHONG 
SONG HAOYUAN";"CHINA FAW GROUP CORP";"CN114851878A";"2022-06-07";"B60L53/20 
B60L58/40";"B60L53/20 (CN) 
B60L58/40 (CN) 
Y02T90/14 (EP)";"2022-08-05";"2022-08-05";"082623949";
"152";"Electric automobile water hydrogen charging device";"XIANG HUA";"SHANGHAI HYDROGEN MOBILE REFORMER INSTR CO LTD";"CN205429080U";"2015-11-03";"C01B3/32 
H01M8/0612 
H01M8/22 
H02J7/00";"Y02E60/50 (EP)";"2016-08-03";"2016-08-03";"056518599";
"153";"Emergency power supply system based on coupling of electric vehicle storage array and hydrogen fuel cell";"WANG KUAN 
LIU ZHENG 
LIU ZHENGYANG 
HAN FENG 
ZHOU DAXING 
CHEN JING 
SHI LEXIAN 
WEN KAI 
KANG WEIDE 
ZHANG YAQI 
LI LUPING";"CHINA RAILWAY CONSTR GROUP CO 
CHINA RAILWAY CONSTRUCTION CORP LTD";"CN212649181U";"2020-06-24";"A62B13/00 
B60P3/00 
F24D15/00 
F24F11/64 
F24F11/72 
F24F11/80 
H02J9/06 
H02J9/08 
F24F110/10 
F24F110/20 
F24F110/65 
F24F110/70 
F24F110/76";"";"2021-03-02";"2021-03-02";"074772504";
"154";"Vehicle-to-vehicle charging system and method and electric vehicle";"ZHENG SHUAI 
WU WEI 
LIU XILONG 
HE JIN 
ZHANG YAMING";"AIWAYS AUTO CO LTD";"CN112776624A";"2021-02-03";"B60L50/40 
B60L50/60 
B60L53/14 
B60L58/10";"B60L50/40 (CN) 
B60L50/60 (CN) 
B60L53/14 (CN) 
B60L58/10 (CN) 
Y02T10/70 (EP) 
Y02T10/7072 (EP) 
Y02T90/14 (EP)";"2021-05-11";"2021-05-11";"075760777";
"155";"Electric vehicle charge control method and system";"DONG WAN";"WUHU MOTIONTEC AUTOMOTIVE CO LTD";"CN102761144A";"2011-04-27";"H02J7/00";"";"2012-10-31";"2012-10-31";"047055500";
"156";"Electric vehicle charging and discharging facility fire alarm system based on monitor";"OU HIROSHI 
ZHAO XIAORONG 
ZHAO XIAOYU 
LI TAISHENG 
LIN JUPENG 
HOU LIQUN 
ZHANG YAQI 
WEN KAI";"CHINA RAILWAY CONSTR GROUP CO";"CN114333209A";"2021-11-17";"G08B17/06 
G08B17/10 
G08B21/00 
G08B21/16";"";"2022-04-12";"2022-04-12";"081046235";
"157";"High-voltage system for fuel cell dual-source electric vehicle";"SONG WEI 
XUE YUNHONG 
NING FANKUN";"SINO TRUK JINAN POWER CO LTD";"CN107444161A";"2017-08-14";"B60L11/18 
B60L3/04";"B60L3/04 (CN) 
B60L58/10 (CN) 
B60L58/40 (CN) 
B60L2210/10 (CN) 
Y02T10/70 (EP) 
Y02T10/72 (EP)";"2017-12-08";"2017-12-08";"060491072";
"158";"Wireless sensing charging system for composite multifunctional power supply of electric vehicle";"JIANXUN JIN 
JIN JIANXUN";"UNIV ELECTRONIC SCIENCE & TECH";"CN102025184A 
CN102025184B";"2010-12-28";"H02J50/12 
H02J7/02";"";"2011-04-20 
2013-06-26";"2011-04-20";"043866174";
"159";"Prevent charging system of electric motor car removal when charging";"LU SHIMIN 
DOU WANKUN 
XU WENQING 
ZHU HONGJUN";"JIANGSU KINGBON VEHICLE CO LTD";"CN208393165U";"2018-05-10";"B60L3/00 
B60L53/66";"Y02T10/70 (EP) 
Y02T10/7072 (EP) 
Y02T90/12 (EP) 
Y02T90/16 (EP)";"2019-01-18";"2019-01-18";"065062610";
"160";"GENERATION CONTROLLER FOR HYBRID ELECTRIC VEHICLE";"MATSUSHITA KENJI 
FUJITSUKA MASASHI";"MITSUBISHI ELECTRIC CORP";"JP2002058111A";"2000-08-10";"B60K6/02 
B60L11/12 
H01M10/42 
H01M10/44 
H01M10/48 
H02J7/00 
B60K6/20 
B60K6/32 
B60K6/46 
B60L50/15 
B60W10/06 
B60W10/08 
B60W10/26 
B60W20/00 
H01M10/42 
H01M10/44 
H01M10/48 
H02J7/00";"Y02E60/10 (EP) 
Y02T10/62 (EP) 
Y02T10/70 (EP) 
Y02T10/7072 (EP) 
Y02T90/40 (EP)";"2002-02-22";"2002-02-22";"018733898";
"161";"Energy management method and device for hydrogen fuel cell electric vehicle and storage medium";"ZHOU JIANHAO 
HAI BIN 
SAI YINGHUI 
SONG TINGLUN 
ZHOU ZHIGUANG 
WANG LEI 
FANG SHI";"CHERY AUTOMOBILE CO LTD";"CN112078565A 
CN112078565B";"2020-09-17";"B60W10/26 
B60W10/28 
B60W20/10 
B60W40/00 
B60W40/105";"B60W10/26 (CN) 
B60W10/28 (CN) 
B60W20/10 (CN) 
B60W40/00 (CN) 
B60W40/105 (CN) 
Y02T90/40 (EP)";"2020-12-15 
2021-07-30";"2020-12-15";"073737302";
"162";"Multi-source emergency power supply system based on electric vehicle storage array";"WANG KUAN 
LIN JUPENG 
WANG ZHENXING 
FANG HONGWEI 
HAN FENG 
CHEN JING 
SHI LEXIAN 
LI YIN";"CHINA RAILWAY CONSTR GROUP CO 
CHINA RAILWAY CONSTRUCTION CORP LTD";"CN212649184U";"2020-06-24";"A62B13/00 
B60P3/00 
F24D15/00 
F24F11/64 
F24F11/72 
F24F11/80 
H02J9/06 
H02J9/08 
F24F110/10 
F24F110/20 
F24F110/65 
F24F110/70 
F24F110/76";"";"2021-03-02";"2021-03-02";"074771133";
"163";"Solar and hydrogen fuel battery field charging pile facing small-scaled equipment";"CHEN JIAN 
ZHANG ZICHAO 
HAN YU 
WANG SHUBO 
WANG GUANGQI 
DU NANNAN 
MENG HAO 
CAO YI 
ZHOU NING 
LI YECHEN 
WANG RUI";"UNIV CHINA AGRICULTURAL";"CN109606174A";"2019-01-07";"B60L53/31 
B60L53/51 
B60L53/53 
B60L53/54 
H02J7/00";"H02J7/0027 (CN) 
Y02E60/36 (EP) 
Y02T10/70 (EP) 
Y02T10/7072 (EP) 
Y02T90/12 (EP)";"2019-04-12";"2019-04-12";"066016295";
"164";"Electric automobile removes storage battery car";"XIANG HUA";"SHANGHAI HYDROGEN MOBILE REFORMER INSTR CO LTD";"CN206938494U";"2016-06-17";"B60L11/18 
H01M8/04746 
H01M8/0612 
H02J7/32 
H02J7/35";"Y02E60/50 (EP) 
Y02T10/70 (EP)";"2018-01-30";"2018-01-30";"061365502";
"165";"Fuel battery and solar energy combined supply type electric vehicle";"LI JUNJIAO";"LI JUNJIAO";"CN104627002A";"2013-11-08";"B60L11/18 
B60L8/00";"Y02T10/70 (EP) 
Y02T10/7072 (EP) 
Y02T10/72 (EP)";"2015-05-20";"2015-05-20";"053206407";
"166";"SUPPLY STATION";"KIMURA KIYOSHI 
TAKESHIMA AYUMI";"TATSUNO CORP";"JP2024088907A";"2022-12-21";"B60L53/53 
B60L53/54 
B60L53/57 
F17C5/06 
H02J7/00";"";"2024-07-03";"2024-07-03";"091690493";
"167";"POWER SUPPLY SYSTEM FOR ELECTRIC VEHICLE, CONTROL METHOD AND ELECTRIC VEHICLE";"LI JINGYU [CN] 
WU WALTER [CN]";"SUZHOU DSM GREEN POWER LTD [CN]";"WO2019041383A1";"2017-09-01";"";"B60L50/10 (EP,US) 
B60L50/62 (KR,RU) 
B60L58/14 (EP,US) 
B60L58/19 (KR) 
B60L58/22 (RU) 
B60Y2200/91 (KR,US) 
Y02T10/62 (EP) 
Y02T10/70 (EP,KR) 
Y02T10/7072 (EP)";"2019-03-07";"2018-01-19";"061056967";
"168";"Vehicle-mounted hydrogen fuel cell pre-charge protection circuit and method and electric vehicle";"ZHONG PEIWEN 
DAI GUANGQIAO 
FU YOU 
WANG ZHENHUA";"ZHONGZHI YIKE CHENGDU AUTOMOBILE CO LTD";"CN110588352A 
CN110588352B";"2019-09-27";"B60L3/00 
B60L53/14";"B60L3/00 (CN) 
B60L53/14 (CN) 
Y02T10/70 (EP) 
Y02T10/7072 (EP) 
Y02T90/14 (EP)";"2019-12-20 
2021-08-24";"2019-12-20";"068864611";
"169";"Charging system using a hydrogen car";"KIM JIN SEON [KR]";"DAE HAE CO LTD [KR]";"KR20180051012A";"2016-11-08";"B60L11/18";"B60L50/71 (KR) 
B60L53/16 (KR) 
B60L53/18 (KR) 
B60L53/20 (KR) 
B60L53/30 (KR) 
B60L53/665 (KR) 
B60L2210/10 (KR) 
B60Y2200/91 (KR) 
B60Y2200/92 (KR) 
Y02T10/70 (EP) 
Y02T10/7072 (EP) 
Y02T90/12 (EP) 
Y02T90/14 (EP) 
Y02T90/40 (EP)";"2018-05-16";"2018-05-16";"062451788";
"170";"Fusion charging system for integrating hydrogen charging technique and electric charging echnique";"KIM YOUNG HO [KR]";"KOREA ENERGY SOLUTION [KR]";"KR20230066164A";"2021-11-05";"B60L3/00 
B60L53/54 
B60L58/30 
B60L58/40 
C01B3/38 
F17C13/02 
F17C5/06 
H01M8/0606";"B60L3/0092 (KR) 
B60L53/54 (KR) 
B60L58/30 (KR) 
B60L58/40 (KR) 
C01B3/38 (KR) 
F17C13/025 (KR) 
F17C5/06 (KR) 
H01M8/0606 (KR) 
B60Y2200/91 (KR) 
F17C2221/012 (KR) 
F17C2227/0157 (KR) 
F17C2250/0626 (KR) 
F17C2265/07 (KR) 
F17C2270/0139 (KR) 
H01M2250/10 (KR) 
Y02E60/30 (KR) 
Y02E60/50 (KR) 
Y02T10/70 (KR) 
Y02T10/7072 (KR) 
Y02T90/10 (KR) 
Y02T90/40 (KR)";"2023-05-15";"2023-05-15";"086394946";
"171";"New energy vehicle charging distribution method";"PAN GUANGLIAN";"FOSHAN QINHSHENG TECH CO LTD";"CN108422890A 
CN108422890B";"2018-05-04";"B60L11/18 
B60L53/30 
B60L53/54 
B60L53/68";"B60L53/30 (CN) 
B60L53/60 (CN) 
Y02T10/70 (EP) 
Y02T10/7072 (EP) 
Y02T90/12 (EP) 
Y02T90/16 (EP)";"2018-08-21 
2021-07-30";"2018-08-21";"063162274";
"172";"Wind/ luminous/electric integrated centralized energy storage type electric vehicle charging system";"JING HUI";"SICHUAN NEWBORN POWER MFG CO LTD";"CN203522210U";"2013-09-06";"H02J3/28 
H02J7/00";"Y02P80/10 (EP) 
Y02P80/20 (EP)";"2014-04-02";"2014-04-02";"050381085";
"173";"Charging system by hydrogen car";"LEE HAE GON [KR]";"LEE HAE GON [KR]";"KR20180043141A";"2016-10-19";"B60L11/18";"B60L50/71 (KR) 
B60L53/16 (KR) 
B60L53/18 (KR) 
B60L53/20 (KR) 
B60L53/30 (KR) 
B60L53/665 (KR) 
B60L2210/10 (KR) 
B60Y2200/91 (KR) 
B60Y2200/92 (KR) 
Y02T10/70 (EP) 
Y02T10/7072 (EP) 
Y02T10/72 (EP) 
Y02T90/12 (EP) 
Y02T90/14 (EP) 
Y02T90/40 (EP)";"2018-04-27";"2018-04-27";"062081779";
"174";"Control system and method of hydrogen energy booster";"TAO ANPING 
HUANG DEYUN 
XU PEI 
CEN JIAN 
JIANG BING 
MIAO HONGXIA 
LI WEI";"YOUON TECH CO LTD";"CN109625150A";"2019-01-30";"B60L58/30 
B60L58/33 
B60L58/40 
B62H5/00 
B62M6/45";"B62H5/00 (CN) 
B62M6/45 (CN) 
B60L2200/46 (CN) 
Y02T10/70 (EP) 
Y02T90/40 (EP)";"2019-04-16";"2019-04-16";"066062702";
"175";"Electric vehicle overall control device";"LI HUIQI 
OUYANG JIAN 
ZHOU YUANSHAN";"GUANGZHOU YIWE ELECTRIC VEHICLE CO LTD";"CN204089254U";"2014-08-21";"B60L15/00 
B60L15/20 
B60L3/00 
H02J7/00";"Y02T10/72 (EP) 
Y02T90/16 (EP)";"2015-01-07";"2015-01-07";"052181925";
"176";"ELECTRIC VEHICLE CHARGING ROADWAY POWERED BY STANDALONE DYNAMIC OUTPUT HYDROGEN FUEL CELLS";"GULATI GURJEET [US] 
HARTSFIELD BARRY [US]";"GULATI GURJEET [US] 
HARTSFIELD BARRY [US]";"US2024157830A1";"2022-11-11";"B60L53/39 
B60L53/54 
B60L53/57 
H01M8/04858 
H02J50/10 
H02J50/40";"B60L53/126 (EP) 
B60L53/39 (EP,US) 
B60L53/54 (EP,US) 
B60L53/57 (EP,US) 
H01M8/04932 (EP,US) 
H02J50/10 (EP,US) 
H02J50/40 (EP,US) 
H01M2250/10 (US) 
H02J2310/48 (EP)";"2024-05-16";"2024-05-16";"091029630";
"177";"Mobile charging vehicle";"ZHANG WEI";"SHENZHEN GUOQI AOYUAN TECH CO LTD";"CN209290251U";"2018-10-15";"B60L53/50 
B60L53/51 
B60L53/52 
B60P3/00 
H02J7/14 
H02J7/35";"Y02T10/70 (EP) 
Y02T10/7072 (EP) 
Y02T90/12 (EP)";"2019-08-23";"2019-08-23";"067654056";
"178";"Electric vehicle charging pile";"WEN MING";"SHENZHEN DIANLAN NEW ENERGY TECH CO LTD";"CN212267252U";"2020-02-26";"B60L53/16 
B60L53/302 
B60L53/31 
B60L53/66";"Y02T10/70 (EP) 
Y02T10/7072 (EP) 
Y02T90/12 (EP) 
Y02T90/14 (EP) 
Y02T90/16 (EP)";"2021-01-01";"2021-01-01";"073873712";
"179";"Hierarchical energy management method for hybrid electric vehicle based on deep reinforcement learning algorithm";"FU ZHUMU 
GONG HUIXIAN 
TAO FAZHAN 
GAO SONG 
JI BAOFENG 
DONG YONGSHENG 
FAN PENGYU 
WU YANG";"HENAN SCIENCE AND TECHNOLOGY UNIV";"CN114312370A";"2021-12-21";"B60L50/40 
B60L50/75 
B60L58/12 
B60L58/40";"Y02T10/70 (EP) 
Y02T90/40 (EP)";"2022-04-12";"2022-04-12";"081054751";
"180";"Design method for balancing dynamic performance and endurance mileage of hybrid energy electric vehicle";"ZHAO XIN";"ZHAO XIN";"CN118991557A";"2024-08-15";"B60L58/12 
B60L58/24 
B60L58/40";"Y02T10/70 (EP)";"2024-11-22";"2024-11-22";"093493841";
"181";"Hydrogen fuel and lithium ion battery combined electric vehicle power system";"LU GUIBING 
ZHAO YUMIN 
WANG FUJUN 
ZHANG JIAMOU 
CHEN XUQIANG";"HANTENG AUTOMOBILE CO LTD";"CN209336506U";"2018-12-29";"B60L15/20 
B60L50/60 
B60L50/75 
B60L58/10 
B60L58/30";"Y02T10/70 (EP) 
Y02T10/72 (EP) 
Y02T90/40 (EP)";"2019-09-03";"2019-09-03";"067760148";
"182";"INTEGRATED SOLAR-POWERED HIGH-PRESSURE HYDROGEN PRODUCTION AND BATTERY CHARGING SYSTEM";"KELLY NELSON A [US] 
GIBSON THOMAS L [US] 
CAI MEI [US]";"GM GLOBAL TECH OPERATIONS INC [US] 
KELLY NELSON A [US] 
GIBSON THOMAS L [US] 
CAI MEI [US]";"US2010230292A1 
US8721868B2";"2009-03-16";"C25B1/02 
C01B3/04 
C25B1/04";"H01M8/04208 (EP,CN,US) 
H01M8/0656 (EP,CN,US) 
H02J7/35 (EP,CN,US) 
H02S40/00 (CN) 
H02S40/38 (EP,US) 
H02S40/44 (EP,US) 
H01M2250/20 (EP,CN,US) 
H01M8/04216 (EP,CN,US) 
Y02E10/56 (EP,US) 
Y02E10/60 (EP,US) 
Y02E60/36 (EP,US) 
Y02E60/50 (EP) 
Y02E70/30 (EP) 
Y02P20/133 (EP,US) 
Y02T90/40 (EP,US)";"2010-09-16 
2014-05-13";"2010-09-16";"042729813";
