No,Title,Inventors,Applicants,Publication number,Earliest priority,IPC,CPC,Publication date,Earliest publication,Family number,first publication date,second publication date,first publication number,second publication number,first publication country,second publication country,first filing year,earliest priority year,applicant country,family_jurisdictions,family_members
107,MOBILE CHARGING STATIONS WITH FUEL-CELL GENERATORS FOR ELECTRIC-DRIVE VEHICLES,"MARTIN ALAN B [US] 
KIRKLIN MATTHEW C [US] 
FREESE V CHARLES E [US] 
MANN MARGARITA M [US] 
PETTIT WILLIAM H [US]",GM GLOBAL TECH OPERATIONS LLC [US],"US11152814B2 
US2021155108A1",2019-11-22,"['B60L53/12', 'B60L53/14', 'B60L53/30', 'B60L53/35', 'B60L53/54', 'B62D65/10', 'B62D65/12', 'H01M10/44', 'H02J7/00', 'H02J7/34', 'B60K6/22', 'G05D1/02', 'H02J50/10']","['B60L53/12 (EP,CN,US)', 'B60L53/14 (EP,US)', 'B60L53/305 (US)', 'B60L53/35 (EP,US)', 'B60L53/38 (CN)', 'B60L53/54 (EP,CN,US)', 'B60L53/57 (EP)', 'B60L53/66 (EP)', 'B62D65/10 (US)', 'B62D65/12 (US)', 'H01M10/441 (US)', 'H02J7/0042 (EP)', 'H02J7/342 (US)', 'B60K6/22 (US)', 'B60Y2200/91 (US)', 'B60Y2200/92 (US)', 'B60Y2300/91 (US)', 'G05D1/0212 (US)', 'H01M2220/20 (US)', 'H02J2300/30 (EP)', 'H02J2310/48 (EP)', 'H02J50/10 (EP,US)', 'H02J7/0045 (US)', 'Y02E60/10 (EP)', 'Y02T10/70 (EP)', 'Y02T10/7072 (EP)', 'Y02T90/12 (EP)', 'Y02T90/14 (EP)', 'Y02T90/16 (EP)']","2021-05-27 
2021-10-19",2021-05-25,75784318,2021-05-27,2021-10-19,US11152814B2,"
US2021155108A1",US,"
",2021,2019,US,"['CN', 'DE', 'US']","['CN112829624A', 'DE102020127146A1', 'US11152814B2', 'US11641128B2', 'US2021155108A1', 'US2022014038A1']"
108,Power bank for electric vehicle,WANG CIBO,WANG CIBO,CN109849717A,2019-02-14,"['B60L53/54', 'B60L53/62']","['Y02T10/70 (EP)', 'Y02T10/7072 (EP)', 'Y02T90/12 (EP)']",2019-06-07,2019-06-07,66897865,2019-06-07,,CN109849717A,,CN,,2019,2019,,['CN'],['CN109849717A']
109,Fuel cell hydrogen energy automobile alternating-current charging system and control method,"YU HONGXIA 
HAO YIGUO 
CHEN HUAMING 
CHENG FEI 
YANG NAN 
QI JIANSHEN",WUHAN GROVE HYDROGEN AUTOMOBILE CO LTD,CN112193090A,2020-10-21,"['B60L15/20', 'B60L3/00', 'B60L3/04', 'B60L50/75', 'B60L53/14', 'B60L58/10', 'B60L58/12', 'B60L58/24']","['B60L15/20 (CN)', 'B60L3/0023 (CN)', 'B60L3/0046 (CN)', 'B60L3/0084 (CN)', 'B60L3/04 (CN)', 'B60L50/75 (CN)', 'B60L53/14 (CN)', 'B60L58/10 (CN)', 'B60L58/12 (CN)', 'B60L58/24 (CN)', 'Y02T10/70 (EP)', 'Y02T10/7072 (EP)', 'Y02T10/72 (EP)', 'Y02T90/14 (EP)', 'Y02T90/16 (EP)', 'Y02T90/40 (EP)']",2021-01-08,2021-01-08,74010510,2021-01-08,,CN112193090A,,CN,,2021,2020,,['CN'],['CN112193090A']
110,Electric vehicle charging station based on electricity generation by reforming hydrogen production fuel cells,ZHANG DING,LIXING HYDROGEN TECH CO LTD,"CN110843566A 
CN110843566B",2019-10-11,"['B60L53/30', 'B60L53/54', 'B60L53/60', 'H01M8/0612']","['B60L53/30 (CN)', 'B60L53/54 (CN)', 'B60L53/60 (CN)', 'H01M8/0618 (CN)', 'Y02E60/50 (EP)', 'Y02T10/70 (EP)', 'Y02T10/7072 (EP)', 'Y02T90/12 (EP)']","2020-02-28 
2020-12-29",2020-02-28,69596141,2020-02-28,2020-12-29,CN110843566A,"
CN110843566B",CN,"
",2020,2019,,['CN'],"['CN110843566A', 'CN110843566B']"
111,NICKEL-HYDROGEN STORAGE BATTERY AND HYBRID ELECTRIC VEHICLE,"NIIYAMA KATSUHIKO 
KIYOKU YOSHIFUMI 
KUMAGAI KIYOSHI 
TANAKA TADAYOSHI 
NAKAMURA HIROSHI",SANYO ELECTRIC CO,JP2005129382A,2003-10-24,"['B60L11/18', 'H01M10/30', 'H01M4/32', 'B60L11/18', 'H01M10/30', 'H01M4/32']","['Y02E60/10 (EP)', 'Y02T10/70 (EP)']",2005-05-19,2005-05-19,34643354,2005-05-19,,JP2005129382A,,JP,,2005,2003,,['JP'],['JP2005129382A']
112,"FUEL CELL CHARGING SYSTEM WITH AIR BREATHING CAPABILITY, AUTONOMOUS UNDERWATER VEHICLE (AUV) SYSTEM INCLUDING SAME, AND METHOD OF USE","WOLFEL JOSEF [US] 
KAUFFMAN JUDSON A [US] 
RESNICK ANDREW [US] 
CHILDRESS KENNETH L [US] 
PEARSON DAVID L [US]",TERRADEPTH INC [US],"US11993354B2 
US2021284304A1",2020-03-16,"['B60L53/126', 'B60L53/30', 'B60L53/65', 'B60L53/66', 'B63G8/00', 'H01M8/04082', 'H01M8/04']","['B60L53/126 (EP,US)', 'B60L53/305 (EP,US)', 'B60L53/65 (EP,US)', 'B60L53/66 (EP,US)', 'B63G8/001 (US)', 'B63G8/08 (EP)', 'H01M10/425 (EP)', 'H01M10/44 (EP)', 'H01M10/46 (EP)', 'H01M16/006 (EP)', 'H01M8/04089 (EP)', 'H01M8/04156 (EP)', 'H01M8/04179 (EP)', 'H01M8/04201 (EP,US)', 'H01M8/04753 (EP)', 'H01M8/04843 (EP)', 'B63G2008/004 (EP,US)', 'H01M2010/4271 (EP)', 'H01M2220/20 (EP)', 'H01M2250/20 (EP)', 'Y02E60/10 (EP)', 'Y02T10/70 (EP)', 'Y02T90/14 (EP)', 'Y02T90/167 (EP)', 'Y02T90/40 (EP)', 'Y04S30/14 (EP)']","2021-09-16 
2024-05-28",2021-09-16,77664394,2021-09-16,2024-05-28,US11993354B2,"
US2021284304A1",US,"
",2021,2020,US,"['AU', 'CA', 'EP', 'JP', 'US', 'WO']","['AU2021238313A1', 'CA3161874A1', 'EP4054930A1', 'EP4054930A4', 'JP2023519055A', 'US11993354B2', 'US2021284304A1', 'US2024308633A1', 'WO2021188503A1']"
113,Extended-range electric vehicle power assembly system,"HE ZHENHUA 
XU JIXIANG 
XU HAOYAO",UNIV WUHAN TECH,CN115817210A,2022-11-18,"['B60L50/60', 'B60L50/70']",['Y02T10/70 (EP)'],2023-03-21,2023-03-21,85528953,2023-03-21,,CN115817210A,,CN,,2023,2022,,['CN'],['CN115817210A']
114,Electric vehicle charging pile based on solar power generation,"LI MEICHUAN 
FENG LANSHENG",XI AN BOYU GREEN ENERGY CO LTD,CN204304494U,2014-11-24,['H02J7/00'],['unkown)'],2015-04-29,2015-04-29,53110006,2015-04-29,,CN204304494U,,CN,,2015,2014,,['CN'],['CN204304494U']
115,ELECTRIC VEHICLE,"MIZUSHITA YOSHINORI 
SHEN HAO 
TAKEI RIKI 
YAMAURA KIYOSHI",MITSUBISHI MOTORS CORP,JP2024121317A,2023-02-27,"['B60L50/75', 'B60L58/13', 'B60L58/40', 'H01M8/00', 'H01M8/04228', 'H01M8/04303', 'H01M8/0438', 'H01M8/04537', 'H01M8/04694', 'H01M8/04858']",['Y02E60/50 (EP)'],2024-09-06,2024-09-06,92594456,2024-09-06,,JP2024121317A,,JP,,2024,2023,,['JP'],['JP2024121317A']
116,Hybrid electric motor vehicle drive,WEAVER WINSTEAD B [US],WEAVER WINSTEAD B [US],US5765656A,1996-01-18,"['B60L11/00', 'B60L11/18', 'B60L50/15']","['B60L50/61 (EP,US)', 'B60L53/11 (EP,US)', 'B60L58/10 (EP,US)', 'Y02T10/62 (EP,US)', 'Y02T10/70 (EP,US)', 'Y02T10/7072 (EP,US)', 'Y02T90/12 (US)', 'Y02T90/14 (EP,US)']",1998-06-16,1998-06-16,24351697,1998-06-16,,US5765656A,,US,,1998,1996,,['US'],['US5765656A']
117,Method and device for configuring capacity of light hydrogen storage comprehensive charging station equipment,"WANG MIN 
DONG XIAOBIN 
ZHOU TAO 
ZHAI YOUCHUN",RIVER AND SEA UNIV,CN114567009A,2022-03-03,"['C25B1/04', 'C25B9/00', 'G06F30/20', 'G06Q10/04', 'G06Q10/06', 'G06Q50/06', 'H02J3/28', 'H02J3/32', 'H02J3/38', 'H02J7/00', 'H02J7/32', 'H02J7/35']","['C25B1/04 (CN)', 'C25B9/00 (CN)', 'G06F30/20 (CN)', 'G06Q10/04 (CN)', 'G06Q10/06313 (CN)', 'G06Q10/06315 (CN)', 'G06Q50/06 (CN)', 'H02J3/28 (CN)', 'H02J3/32 (CN)', 'H02J3/381 (CN)', 'H02J7/0048 (CN)', 'H02J7/0068 (CN)', 'H02J7/32 (CN)', 'H02J7/35 (CN)', 'G06F2111/04 (CN)', 'G06F2119/06 (CN)', 'G06F2119/08 (CN)', 'H02J2203/20 (CN)', 'H02J2300/22 (CN)', 'H02J2300/30 (CN)', 'H02J2300/40 (CN)', 'Y02T90/12 (EP)']",2022-05-31,2022-05-31,81717604,2022-05-31,,CN114567009A,,CN,,2022,2022,,['CN'],['CN114567009A']
118,New energy automobile charging device,YUAN QIONG,CHONGQING INDUSTRY POLYTECHNIC COLLEGE,CN211530750U,2020-03-18,"['B60L50/70', 'B60L53/31', 'H01M8/04082', 'H02J1/00', 'H02J1/10', 'H02J5/00', 'H02J7/00', 'H02J7/34', 'H02J7/35']","['Y02E60/50 (EP)', 'Y02T10/70 (EP)', 'Y02T10/7072 (EP)', 'Y02T90/12 (EP)', 'Y02T90/40 (EP)']",2020-09-18,2020-09-18,72460372,2020-09-18,,CN211530750U,,CN,,2020,2020,,['CN'],['CN211530750U']
119,Multifunctional supply station of electric cold chain transport vehicle,"SUN YIFEI 
CAI JIABIN",XIAMEN GULUOPU TECH CO LTD,CN217822895U,2022-07-25,"['B60L53/31', 'H01M8/0668']",['unkown)'],2022-11-15,2022-11-15,83968205,2022-11-15,,CN217822895U,,CN,,2022,2022,,['CN'],['CN217822895U']
120,Solar energy generation-based electric vehicle charging pile,"LI MEICHUAN 
FENG LANSHENG",XI'AN BOYU GREEN ENERGY CO LTD,CN105703406A,2014-11-24,['H02J7/00'],['unkown)'],2016-06-22,2016-06-22,56941377,2016-06-22,,CN105703406A,,CN,,2016,2014,,['CN'],['CN105703406A']
121,Overall power distribution method for hydrogen fuel cell vehicle,"CAI BIN 
DING JIALI 
CHEN JUNJIE 
ZHAO HAIMIN 
ZOU JIAHUI","JIANGSU HAOQING CENTURY NEW ENERGY CO LTD 
ZHEJIANG TIANNENG HYDROGEN ENERGY TECH CO LTD","CN115489343A 
CN115489343B",2022-08-18,"['B60L50/75', 'B60L58/30']","['B60L50/75 (CN)', 'B60L58/30 (CN)', 'B60L2210/10 (CN)', 'B60L2210/40 (CN)', 'B60L2260/44 (CN)']","2022-12-20 
2024-12-20",2022-12-20,84465814,2022-12-20,2024-12-20,CN115489343A,"
CN115489343B",CN,"
",2022,2022,,['CN'],"['CN115489343A', 'CN115489343B']"
122,Mobile charging pile based on vehicle-mounted fuel cell energy supply,"QIN JIANG 
ZHANG PENGHAO 
LAN ZHU 
SONG YUEZE 
HARRY HELATI",HARBIN INST TECHNOLOGY,"CN112519613A 
CN112519613B",2020-11-26,"['B60L53/30', 'B60L53/31', 'B60L53/54']","['B60L53/30 (CN)', 'B60L53/31 (CN)', 'B60L53/54 (CN)', 'Y02T10/70 (EP)', 'Y02T10/7072 (EP)', 'Y02T90/12 (EP)']","2021-03-19 
2022-02-15",2021-03-19,74994475,2021-03-19,2022-02-15,CN112519613A,"
CN112519613B",CN,"
",2021,2020,,['CN'],"['CN112519613A', 'CN112519613B']"
123,MOBILE ELECTRIC VEHICLE CHARGING STATION SYSTEM,GOEI ESMOND [US],POWER HERO CORP [US],"US12151582B2 
US2022332210A1",2018-05-15,"['G06Q10/10', 'B60L53/53', 'B60L53/66', 'B60L53/67', 'B60L53/68', 'G05B13/02', 'G08G1/00', 'G06Q10/1093', 'H02J7/00', 'H02J7/14', 'H04L67/12']","['B60L53/305 (EP)', 'B60L53/53 (US)', 'B60L53/63 (EP)', 'B60L53/665 (US)', 'B60L53/67 (EP,US)', 'B60L53/68 (EP,US)', 'G05B13/0265 (US)', 'G06Q10/1095 (EP,US)', 'G08G1/202 (EP,US)', 'B60L2240/80 (EP)', 'H04L67/12 (EP,US)', 'Y02E10/50 (EP)', 'Y02E60/00 (EP)', 'Y02T10/70 (EP)', 'Y02T10/7072 (EP)', 'Y02T90/12 (EP)', 'Y02T90/16 (EP)', 'Y02T90/167 (EP)', 'Y04S10/126 (EP)']","2022-10-20 
2024-11-26",2019-11-21,68534112,2022-10-20,2024-11-26,US12151582B2,"
US2022332210A1",US,"
",2022,2018,US,"['CA', 'US', 'WO']","['CA3100361A1', 'US11413982B2', 'US12151582B2', 'US2019351783A1', 'US2022332210A1', 'WO2019222369A1', 'WO2019222369A9']"
124,Fuel cell hydrogen energy automobile direct-current charging system and control method,"YU HONGXIA 
HAO YIGUO 
CHEN HUAMING 
CHENG FEI 
YANG NAN 
QI JIANSHEN",WUHAN GROVE HYDROGEN AUTOMOBILE CO LTD,CN112193089A,2020-10-21,"['B60L15/20', 'B60L3/00', 'B60L50/75', 'B60L53/14', 'B60L58/10', 'B60L58/12', 'B60L58/24']","['B60L15/20 (CN)', 'B60L3/0023 (CN)', 'B60L3/0046 (CN)', 'B60L50/75 (CN)', 'B60L53/14 (CN)', 'B60L58/10 (CN)', 'B60L58/12 (CN)', 'B60L58/24 (CN)', 'Y02T10/70 (EP)', 'Y02T10/7072 (EP)', 'Y02T10/72 (EP)', 'Y02T90/14 (EP)', 'Y02T90/16 (EP)', 'Y02T90/40 (EP)']",2021-01-08,2021-01-08,74008710,2021-01-08,,CN112193089A,,CN,,2021,2020,,['CN'],['CN112193089A']
125,Hydrogen energy station capable of meeting charging and metal hydride replacing requirements,JIA HUIPING,SHIJIAZHUANG XINHUA ENERGY ENVIRONMENTAL TECH CO LTD,"CN107327700A 
CN107327700B",2017-05-23,"['B60L11/18', 'F02B43/10', 'F02B63/04', 'F17C11/00', 'F17C13/00', 'B60L53/31', 'B60L53/54']","['B60L53/31 (CN)', 'F02B43/10 (CN)', 'F02B63/04 (CN)', 'F17C11/005 (CN)', 'F17C13/00 (CN)', 'F17C2221/012 (CN)', 'F17C2225/0123 (CN)', 'F17C2265/07 (CN)', 'Y02E60/32 (EP)', 'Y02T10/30 (EP)', 'Y02T10/70 (EP)', 'Y02T10/7072 (EP)', 'Y02T90/12 (EP)']","2017-11-07 
2019-04-26",2017-11-07,60192831,2017-11-07,2019-04-26,CN107327700A,"
CN107327700B",CN,"
",2017,2017,,['CN'],"['CN107327700A', 'CN107327700B']"
126,Intelligent movable type charging vehicle with fuel cell unit as energy source,"ZHANG YAN 
ZHOU WEIDONG 
MIAO MINGMING 
DENG SHAOKUI 
TAO YE 
FU QINGQING",ZHONGKE IRON AND STEEL RESEARCH INSTITUTE ENERGY SAVING TECH CO LTD,"CN107031488A 
CN107031488B",2016-07-29,"['B60L11/18', 'B60P3/00', 'B60L53/00']","['B60L53/00 (CN)', 'B60L53/54 (CN)', 'B60P3/00 (CN)', 'Y02T10/70 (EP)', 'Y02T10/7072 (EP)', 'Y02T90/12 (EP)', 'Y02T90/14 (EP)']","2017-08-11 
2019-07-16",2017-08-11,59532621,2017-08-11,2019-07-16,CN107031488A,"
CN107031488B",CN,"
",2017,2016,,['CN'],"['CN107031488A', 'CN107031488B']"
127,SOLAR BATTERY CHARGING SYSTEM AND OPTIONAL SOLAR HYDROGEN PRODUCTION SYSTEM FOR VEHICLE PROPULSION,"GIBSON THOMAS L [US] 
OUWERKERK DAVID B [US] 
KELLY NELSON A [US] 
SUTHERLAND IAN J [US]",GM GLOBAL TECH OPERATIONS INC [US],US2009266397A1,2008-04-23,"['H01M10/44', 'H02N6/00']","['H01M10/465 (EP,US)', 'H02S40/38 (EP,US)', 'Y02E10/50 (EP)', 'Y02E60/10 (EP)', 'Y02E70/30 (EP)']",2009-10-29,2009-10-29,41213790,2009-10-29,,US2009266397A1,,US,,2009,2008,US,"['CN', 'DE', 'US', 'WO']","['CN102067409A', 'DE112009000985T5', 'US2009266397A1', 'WO2009131923A2', 'WO2009131923A3']"
128,Multifunctional supply station of electric cold chain transport vehicle,"SUN YIFEI 
CAI JIABIN",XIAMEN GULUOPU TECH CO LTD,CN115332589A,2022-07-25,"['B60L53/31', 'H01M8/0668']","['B60L53/31 (CN)', 'H01M8/0668 (CN)', 'B60L2200/36 (CN)', 'B60L2210/10 (CN)', 'B60L2210/40 (CN)']",2022-11-11,2022-11-11,83918893,2022-11-11,,CN115332589A,,CN,,2022,2022,,['CN'],['CN115332589A']
129,New energy vehicle charging distribution method,PAN GUANGLIAN,FOSHAN QINHSHENG TECH CO LTD,"CN108422890A 
CN108422890B",2018-05-04,"['B60L11/18', 'B60L53/30', 'B60L53/54', 'B60L53/68']","['B60L53/30 (CN)', 'B60L53/60 (CN)', 'Y02T10/70 (EP)', 'Y02T10/7072 (EP)', 'Y02T90/12 (EP)', 'Y02T90/16 (EP)']","2018-08-21 
2021-07-30",2018-08-21,63162274,2018-08-21,2021-07-30,CN108422890A,"
CN108422890B",CN,"
",2018,2018,,['CN'],"['CN108422890A', 'CN108422890B']"
130,EXTENSION D'AUTONOMIE AUXILIAIRE POUR VÉHICULE ÉLECTRIQUE À BATTERIE,BURCHETT CHAD [US],"VOLVO TRUCK CORP [SE] 
BURCHETT CHAD [US]",WO2022211819A1,2021-04-02,"['B60L50/10', 'B60L50/60', 'B60L50/61', 'B60L58/10', 'B60L58/12', 'B60L58/18', 'B60L7/00']","['B60L50/10 (EP)', 'B60L50/60 (EP)', 'B60L50/61 (EP)', 'B60L58/10 (EP)', 'B60L58/12 (EP)', 'B60L58/18 (EP)', 'B60L7/00 (EP)', 'B60L2200/28 (EP)', 'B60L2200/36 (EP)']",2022-10-06,2022-10-06,75674973,2022-10-06,,WO2022211819A1,,WO,,2022,2021,SE,['WO'],['WO2022211819A1']
131,Heat management method for fuel battery and lithium battery hybrid electric vehicle with liquid hydrogen as gas source,"JI CHANGWEI 
BAI YONGYI 
WANG SHUOFENG 
NIU HUIPENG",UNIV BEIJING TECHNOLOGY,"CN110803070A 
CN110803070B",2019-12-02,"['B60L58/34', 'H01M10/613', 'H01M10/615', 'H01M10/625', 'H01M10/66', 'H01M8/04029', 'H01M8/04223']","['B60L58/34 (CN)', 'H01M10/613 (CN)', 'H01M10/615 (CN)', 'H01M10/625 (CN)', 'H01M10/66 (CN)', 'H01M8/04029 (CN)', 'H01M8/04268 (CN)', 'Y02E60/10 (EP)', 'Y02E60/50 (EP)', 'Y02T90/40 (EP)']","2020-02-18 
2021-04-16",2020-02-18,69492052,2020-02-18,2021-04-16,CN110803070A,"
CN110803070B",CN,"
",2020,2019,,['CN'],"['CN110803070A', 'CN110803070B']"
132,COMPOSITE CHARGING SYSTEM AND METHOD,"JEONG BYUNG HWAN [KR] 
LEE JEONG MIN [KR] 
BYEN BYENG JOO [KR]",HYOSUNG CORP [KR],"US12224615B2 
US2023246472A1",2021-05-14,"['B60L53/30', 'B60L53/50', 'B60L53/64', 'G06Q50/06', 'H01M16/00', 'H01M8/04082', 'H01M8/04858', 'H02J3/32', 'H02J7/00']","['B60L53/30 (EP,US)', 'B60L53/50 (EP,US)', 'B60L53/64 (EP,US)', 'G06Q50/06 (EP,US)', 'H01M10/44 (EP)', 'H01M16/006 (EP,US)', 'H01M8/04201 (EP,US)', 'H01M8/04925 (EP,US)', 'H02J3/32 (EP,US)', 'H02J7/00 (EP)', 'H02J7/007188 (EP,US)', 'H02J7/34 (EP)', 'B60L2210/10 (EP,US)', 'B60L2210/30 (EP,US)', 'B60L53/305 (EP)', 'B60L53/63 (EP)', 'B60L53/65 (EP)', 'B60L58/40 (EP)', 'H01M2250/20 (EP,US)', 'H02J2207/20 (US)', 'H02J2310/48 (EP)', 'Y02T10/70 (EP)', 'Y02T10/7072 (EP)', 'Y02T90/12 (EP)']","2023-08-03 
2025-02-11",2022-10-04,83600361,2023-08-03,2025-02-11,US12224615B2,"
US2023246472A1",US,"
",2023,2021,KR,"['KR', 'US', 'WO']","['KR102450193B1', 'US12224615B2', 'US2023246472A1', 'WO2022239920A1']"
133,Vehicle-mounted hydrogen fuel cell pre-charge protection circuit and method and electric vehicle,"ZHONG PEIWEN 
DAI GUANGQIAO 
FU YOU 
WANG ZHENHUA",ZHONGZHI YIKE CHENGDU AUTOMOBILE CO LTD,"CN110588352A 
CN110588352B",2019-09-27,"['B60L3/00', 'B60L53/14']","['B60L3/00 (CN)', 'B60L53/14 (CN)', 'Y02T10/70 (EP)', 'Y02T10/7072 (EP)', 'Y02T90/14 (EP)']","2019-12-20 
2021-08-24",2019-12-20,68864611,2019-12-20,2021-08-24,CN110588352A,"
CN110588352B",CN,"
",2019,2019,,['CN'],"['CN110588352A', 'CN110588352B']"
134,Multifunctional off-grid type charging pile using methanol as fuel,"GUO ANZHUO 
ZHANG XUYAN 
LI HANGWEI 
LIU MINGWEI 
LIANG ZHIPING 
MA XUAN 
LI LING",SJZ-HANTREND ENERGY TECH CO LTD,"CN105946607A 
CN105946607B",2016-05-09,['B60L11/18'],"['B60L58/40 (CN)', 'Y02T10/70 (EP)']","2016-09-21 
2018-01-23",2016-09-21,56915134,2016-09-21,2018-01-23,CN105946607A,"
CN105946607B",CN,"
",2016,2016,,['CN'],"['CN105946607A', 'CN105946607B']"
135,Vehicle-to-vehicle charging system and method and electric vehicle,"ZHENG SHUAI 
WU WEI 
LIU XILONG 
HE JIN 
ZHANG YAMING",AIWAYS AUTO CO LTD,CN112776624A,2021-02-03,"['B60L50/40', 'B60L50/60', 'B60L53/14', 'B60L58/10']","['B60L50/40 (CN)', 'B60L50/60 (CN)', 'B60L53/14 (CN)', 'B60L58/10 (CN)', 'Y02T10/70 (EP)', 'Y02T10/7072 (EP)', 'Y02T90/14 (EP)']",2021-05-11,2021-05-11,75760777,2021-05-11,,CN112776624A,,CN,,2021,2021,,['CN'],['CN112776624A']
136,Plug-in type vehicle-mounted hydrogen generator,"JI CHANGWEI 
WANG SHUOFENG",UNIV BEIJING TECHNOLOGY,"CN107190277A 
CN107190277B",2017-06-23,"['C25B1/04', 'C25B15/02', 'C25B9/00', 'C25B9/04']","['C25B1/04 (CN)', 'C25B15/02 (CN)', 'C25B9/00 (CN)', 'C25B9/65 (CN)', 'Y02E60/36 (EP)']","2017-09-22 
2019-03-22",2017-09-22,59878734,2017-09-22,2019-03-22,CN107190277A,"
CN107190277B",CN,"
",2017,2017,,['CN'],"['CN107190277A', 'CN107190277B']"
137,ALKALINE BATTERY CHARGING DEVICE,"SAKAGAMI YUICHI 
KAWAI TOSHIYUKI 
KATO TOMOYA","NIPPON SOKEN 
DENSO CORP","JP3817863B2 
JPH11135157A",1997-10-29,"['H01M10/44', 'H01M10/44']",['Y02E60/10 (EP)'],"1999-05-21 
2006-09-06",1999-05-21,17847551,1999-05-21,2006-09-06,JP3817863B2,"
JPH11135157A",JP,"
",1999,1997,,['JP'],"['JP3817863B2', 'JPH11135157A']"
138,Power supply duration-based power supply method and system for hydrogen fuel cell stack and hydrogen fuel electric vehicle,"LU MINMIN 
QIAN CHENG 
CEN JIAN 
ZE WEIJIE 
MA QIAN",YOUON TECH CO LTD,CN113085661A,2021-03-29,"['B60L58/30', 'H01M10/44', 'H01M8/04537']","['B60L58/30 (CN)', 'H01M10/44 (CN)', 'H01M8/04619 (CN)', 'H01M2250/20 (CN)', 'Y02E60/10 (EP)', 'Y02E60/50 (EP)', 'Y02T90/40 (EP)']",2021-07-09,2021-07-09,76670418,2021-07-09,,CN113085661A,,CN,,2021,2021,,['CN'],['CN113085661A']
139,Vehicle ammonia-hydrogen hybrid power device and energy regulation and control management method,"WANG BOWEN 
CHEN FUJUN 
JIAO KUI 
GONG ZHICHAO 
DU QING",UNIV TIANJIN,CN117774669A,2023-12-27,"['B60K6/22', 'B60K6/24', 'B60K6/26', 'B60K6/28', 'B60K6/32', 'B60L7/10', 'B60L7/18', 'B60W10/06', 'B60W10/08', 'B60W10/26', 'B60W10/28', 'B60W20/15', 'G06N3/043', 'G06N3/092']",['unkown)'],2024-03-29,2024-03-29,90383026,2024-03-29,,CN117774669A,,CN,,2024,2023,,['CN'],['CN117774669A']
140,Prevent charging system of electric motor car removal when charging,"LU SHIMIN 
DOU WANKUN 
XU WENQING 
ZHU HONGJUN",JIANGSU KINGBON VEHICLE CO LTD,CN208393165U,2018-05-10,"['B60L3/00', 'B60L53/66']","['Y02T10/70 (EP)', 'Y02T10/7072 (EP)', 'Y02T90/12 (EP)', 'Y02T90/16 (EP)']",2019-01-18,2019-01-18,65062610,2019-01-18,,CN208393165U,,CN,,2019,2018,,['CN'],['CN208393165U']
141,Mobile charging system for electric traction vehicles,"CIMRMAN RADEK [CZ] 
VYZIBLO OLDŘICH [CZ] 
HAJSKÝ LUBOŠ [CZ] 
SOUČEK KAREL [CZ]","SKODA AUTO AS [CZ] 
DEVINN S R O [CZ]","CZ2018321A3 
CZ310181B6",2018-06-29,"['B60L50/50', 'B60L50/52', 'B60L53/54', 'B60L58/30', 'B60L58/40']","['B60K1/04 (FI)', 'B60K6/46 (FI)', 'B60L1/006 (FI)', 'B60L50/75 (FI)', 'B60L53/14 (EP,AT,DK,PT)', 'B60L53/54 (EP,DK)', 'B60L53/57 (FI)', 'B60L58/40 (EP,AT,DK)', 'H02J7/342 (FI)', 'B60L2210/10 (EP)', 'Y02T10/70 (EP)', 'Y02T10/7072 (EP)', 'Y02T10/72 (EP)', 'Y02T90/12 (EP)', 'Y02T90/14 (EP)', 'Y02T90/40 (EP)']","2020-01-08 
2024-10-30",2020-01-02,68985807,2020-01-08,2024-10-30,CZ2018321A3,"
CZ310181B6",CZ,"
",2020,2018,CZ,"['AT', 'CZ', 'DE', 'DK', 'ES', 'FI', 'PT', 'WO']","['AT17460U1', 'CZ2018321A3', 'CZ310181B6', 'DE212019000334U1', 'DK202100004U1', 'DK202100004Y3', 'ES1265374U', 'ES1265374Y', 'FI12905Y1', 'PT2020001667Y', 'WO2020001667A1']"
142,Fuel cell electric vehicle,"LI TIANRUI 
WEI YAJUAN 
SONG ZONGNAN 
YANG JIE 
WANG SHAOTING",BEIQI FOTON MOTOR CO LTD,CN205292313U,2015-11-13,"['B60K1/00', 'B60K1/04', 'B60L11/18', 'B60R16/02', 'B62D21/02']",['unkown)'],2016-06-08,2016-06-08,56463539,2016-06-08,,CN205292313U,,CN,,2016,2015,,['CN'],['CN205292313U']
